,timestamp,light
0,5000.0,16.0
1,5100.0,16.0
2,5200.0,16.0
3,5300.0,16.0
4,5400.0,15.0
5,5500.0,15.0
6,5600.0,15.0
7,5700.0,15.0
8,5800.0,16.0
9,5900.0,16.0
10,6000.0,15.0
11,6100.0,15.0
12,6200.0,17.0
13,6300.0,17.0
14,6400.0,17.0
15,6500.0,17.0
16,6600.0,17.0
17,6700.0,15.0
18,6800.0,17.0
19,6900.0,17.0
20,7000.0,15.0
21,7100.0,15.0
22,7200.0,17.0
23,7300.0,17.0
24,7400.0,16.0
25,7500.0,16.0
26,7600.0,16.0
27,7700.0,16.0
28,7800.0,16.0
29,7900.0,16.0
30,8000.0,16.0
31,8100.0,16.0
32,8200.0,16.0
33,8300.0,16.0
34,8400.0,15.0
35,8500.0,15.0
36,8600.0,15.0
37,8700.0,15.0
38,8800.0,15.0
39,8900.0,15.0
40,9000.0,16.0
41,9100.0,16.0
42,9200.0,16.0
43,9300.0,16.0
44,9400.0,16.0
45,9500.0,16.0
46,9600.0,17.0
47,9700.0,17.0
48,9800.0,15.0
49,9900.0,15.0
50,10000.0,16.0
51,10100.0,16.0
52,10200.0,16.0
53,10300.0,16.0
54,10400.0,15.0
55,10500.0,15.0
56,10600.0,15.0
57,10700.0,15.0
58,10800.0,16.0
59,10900.0,16.0
60,11000.0,15.0
61,11100.0,15.0
62,11200.0,15.0
74,12400.0,16.0
75,12500.0,16.0
76,12600.0,15.0
77,12700.0,15.0
78,12800.0,15.0
79,12900.0,15.0
80,13000.0,15.0
81,13100.0,15.0
82,13200.0,15.0
83,13300.0,15.0
84,13400.0,15.0
85,13500.0,15.0
86,13600.0,17.0
87,13700.0,17.0
88,13800.0,15.0
89,13900.0,15.0
90,14000.0,15.0
91,14100.0,15.0
92,14200.0,15.0
93,14300.0,15.0
94,14400.0,15.0
95,14500.0,15.0
96,14600.0,14.0
97,14700.0,14.0
98,14800.0,14.0
99,14900.0,14.0
100,15000.0,15.0
101,15100.0,15.0
102,15200.0,15.0
103,15300.0,15.0
104,15400.0,15.0
105,15500.0,15.0
106,15600.0,15.0
107,15700.0,15.0
108,15800.0,15.0
109,15900.0,15.0
110,16000.0,14.0
111,16100.0,14.0
112,16200.0,15.0
113,16300.0,15.0
114,16400.0,15.0
126,17600.0,16.0
