13.369	1	0
13.365	4	0
13.363	1	0
13.363	1	0
13.368	1	0
13.373	1	0
13.376	1	0
13.37	1	0
13.362	1	0
13.366	1	0
13.377	1	0
13.385	1	0
13.384	1	0
13.381	1	0
13.38	1	0
13.382	1	0
13.386	1	0
13.385	1	0
13.381	1	0
13.382	1	0
13.387	1	0
13.392	1	0
13.391	1	0
13.384	1	0
13.377	1	0
13.378	1	0
13.399	1	0
13.109	1	0
12.105	1	0
13.328	1	0
15.627	4	0
15.876	3	0
15.816	4	0
15.901	4	0
15.922	2	0
15.936	2	0
15.921	2	0
15.901	2	0
15.912	2	0
15.919	2	0
15.92	2	0
15.916	2	0
15.916	2	0
15.921	2	0
15.914	2	0
15.914	2	0
15.905	2	0
15.89	2	0
15.891	2	0
15.893	2	0
15.89	2	0
15.89	2	0
15.898	2	0
15.9	2	0
15.89	2	0
15.885	2	0
15.883	2	0
15.88	2	0
