,Unnamed: 0,timestamp,pressure
0,0.0,5000.0,1002.3599853515624
1,1.0,5100.0,1002.3599853515624
2,2.0,5200.0,1002.3599853515624
3,3.0,5300.0,1002.4099731445312
4,4.0,5400.0,1002.4099731445312
5,5.0,5500.0,1002.3599853515624
6,6.0,5600.0,1002.4600219726564
7,7.0,5700.0,1002.4600219726564
8,8.0,5800.0,1002.469970703125
9,9.0,5900.0,1002.469970703125
10,10.0,6000.0,1002.3400268554688
11,11.0,6100.0,1002.3400268554688
12,12.0,6200.0,1002.4000244140624
13,13.0,6300.0,1002.4000244140624
14,14.0,6400.0,1002.3300170898438
15,15.0,6500.0,1002.280029296875
16,16.0,6600.0,1002.280029296875
17,17.0,6700.0,1002.3499755859376
18,18.0,6800.0,1002.3499755859376
19,19.0,6900.0,1002.3400268554688
20,10.0,6000.0,1002.3400268554688
21,11.0,6100.0,1002.3400268554688
22,12.0,6200.0,1002.4000244140624
23,13.0,6300.0,1002.4000244140624
24,14.0,6400.0,1002.3300170898438
25,15.0,6500.0,1002.280029296875
26,16.0,6600.0,1002.280029296875
27,17.0,6700.0,1002.3499755859376
28,18.0,6800.0,1002.3499755859376
29,19.0,6900.0,1002.3400268554688
30,20.0,7000.0,1002.3400268554688
31,21.0,7100.0,1002.3099975585938
32,22.0,7200.0,1002.3099975585938
33,23.0,7300.0,1002.25
34,24.0,7400.0,1002.260009765625
35,25.0,7500.0,1002.260009765625
36,26.0,7600.0,1002.27001953125
37,27.0,7700.0,1002.27001953125
38,28.0,7800.0,1002.2999877929688
39,29.0,7900.0,1002.2999877929688
40,20.0,7000.0,1002.3400268554688
41,21.0,7100.0,1002.3099975585938
42,22.0,7200.0,1002.3099975585938
43,23.0,7300.0,1002.25
44,24.0,7400.0,1002.260009765625
45,25.0,7500.0,1002.260009765625
46,26.0,7600.0,1002.27001953125
47,27.0,7700.0,1002.27001953125
48,28.0,7800.0,1002.2999877929688
49,29.0,7900.0,1002.2999877929688
50,30.0,8000.0,1002.239990234375
51,31.0,8100.0,1002.239990234375
52,32.0,8200.0,1002.0399780273438
53,33.0,8300.0,1002.25
54,34.0,8400.0,1002.25
55,35.0,8500.0,1002.260009765625
56,36.0,8600.0,1002.260009765625
57,37.0,8700.0,1002.1900024414064
