,Unnamed: 0,timestamp,mx,my,mz,mAc
92,47.0,9700.0,65.51,0.95,64.13,ACCURACY_BAD
93,48.0,9800.0,64.13,3.11,64.13,ACCURACY_BAD
94,49.0,9900.0,63.41,0.05,64.55,ACCURACY_BAD
95,50.0,10000.0,63.41,2.03,63.05,ACCURACY_BAD
96,51.0,10100.0,64.13,4.61,61.79,ACCURACY_BAD
97,52.0,10200.0,63.41,3.11,64.13,ACCURACY_BAD
98,53.0,10300.0,62.75,4.25,65.22,ACCURACY_BAD
99,54.0,10400.0,64.13,4.01,63.65,ACCURACY_BAD
100,50.0,10000.0,63.41,2.03,63.05,ACCURACY_BAD
101,51.0,10100.0,64.13,4.61,61.79,ACCURACY_BAD
102,52.0,10200.0,63.41,3.11,64.13,ACCURACY_BAD
103,53.0,10300.0,62.75,4.25,65.22,ACCURACY_BAD
104,54.0,10400.0,64.13,4.01,63.65,ACCURACY_BAD
105,55.0,10500.0,66.23,4.25,65.22,ACCURACY_BAD
106,56.0,10600.0,66.23,3.77,64.37,ACCURACY_BAD
107,57.0,10700.0,65.51,2.93,64.79,ACCURACY_BAD
108,58.0,10800.0,68.33,4.85,63.29,ACCURACY_BAD
109,59.0,10900.0,66.23,0.71,64.73,ACCURACY_BAD
110,55.0,10500.0,66.23,4.25,65.22,ACCURACY_BAD
111,56.0,10600.0,66.23,3.77,64.37,ACCURACY_BAD
112,57.0,10700.0,65.51,2.93,64.79,ACCURACY_BAD
113,58.0,10800.0,68.33,4.85,63.29,ACCURACY_BAD
114,59.0,10900.0,66.23,0.71,64.73,ACCURACY_BAD
115,60.0,11000.0,65.51,-4.25,64.55,ACCURACY_BAD
116,61.0,11100.0,63.41,-10.19,62.63,ACCURACY_BAD
117,62.0,11200.0,60.65,-13.5,61.55,ACCURACY_BAD
118,63.0,11300.0,60.65,-15.83,62.21,ACCURACY_BAD
119,64.0,11400.0,58.55,-13.92,60.65,ACCURACY_BAD
120,60.0,11000.0,65.51,-4.25,64.55,ACCURACY_BAD
121,61.0,11100.0,63.41,-10.19,62.63,ACCURACY_BAD
122,62.0,11200.0,60.65,-13.5,61.55,ACCURACY_BAD
123,63.0,11300.0,60.65,-15.83,62.21,ACCURACY_BAD
124,64.0,11400.0,58.55,-13.92,60.65,ACCURACY_BAD
125,65.0,11500.0,59.93,-9.47,62.87,ACCURACY_BAD
126,66.0,11600.0,58.55,-3.11,65.63,ACCURACY_BAD
127,67.0,11700.0,59.93,2.75,65.4,ACCURACY_BAD
128,68.0,11800.0,57.18,6.65,66.72,ACCURACY_BAD
