,timestamp,ax,ay,az,acc_magnitude,pressure,grx,gry,grz,gx,gy,gz,lax,lay,laz,mx,my,mz
0,1474472144419.0,1.4532804489135742,5.1343655586242685,8.125322341918945,9.720833138824506,1004.260009765625,1.637420892715454,7.935108184814452,5.524788856506348,0.02779436856508255,-0.051312681287527084,-0.062308255583047874,-0.18414044380187988,-2.800742626190185,2.6005334854125977,-212.6230010986328,-174.83299255371094,-749.7219848632812
1,1474472144519.0,1.4532804489135742,5.1343655586242685,8.125322341918945,9.720833138824506,1004.260009765625,1.637420892715454,7.935108184814452,5.524788856506348,0.007024950347840786,-0.00366519158706069,-0.0656680166721344,-0.18414044380187988,-2.800742626190185,2.6005334854125977,-212.6230010986328,-174.83299255371094,-749.7219848632812
2,1474472144619.0,1.4532804489135742,5.1343655586242685,8.125322341918945,9.720833138824506,1004.260009765625,1.637420892715454,7.935108184814452,5.524788856506348,0.04489859566092491,-0.013133603148162363,-0.06505715101957321,-0.18414044380187988,-2.800742626190185,2.6005334854125977,-212.6230010986328,-174.52200317382812,-749.7219848632812
3,1474472144719.0,1.4532804489135742,5.1343655586242685,8.125322341918945,9.720833138824506,1004.260009765625,1.637420892715454,7.935108184814452,5.524788856506348,0.04184427112340927,-0.021074850112199783,-0.039095375686883926,-0.18414044380187988,-2.800742626190185,2.6005334854125977,-212.6230010986328,-174.52200317382812,-749.7219848632812
4,1474472144819.0,1.3317747116088867,5.006275653839111,7.588422298431396,9.188066868718032,1004.3200073242188,1.6643618345260618,8.015987396240233,5.398539066314697,-0.001832595793530345,-0.032070424407720566,-0.02443460933864117,-0.3325871229171753,-3.009711742401123,2.1898832321166988,-212.6230010986328,-174.52200317382812,-750.02197265625
5,1474472144919.0,1.3952209949493408,5.0074729919433585,8.143877029418945,9.661478171588815,1004.3099975585938,1.7215621471405032,8.061628341674805,5.31194543838501,0.020769419148564342,-0.011911871843039991,-0.1007927656173706,-0.3263411521911621,-3.0541553497314453,2.8319315910339355,-212.6230010986328,-174.52200317382812,-750.02197265625
6,1474472145019.0,1.3952209949493408,5.0074729919433585,8.143877029418945,9.661478171588815,1004.3099975585938,1.7215621471405032,8.061628341674805,5.31194543838501,0.0916297882795334,0.011911871843039991,-0.05497787147760391,-0.3263411521911621,-3.0541553497314453,2.8319315910339355,-212.6230010986328,-174.52200317382812,-750.02197265625
7,1474472145119.0,1.4532804489135742,5.098452568054199,7.510610580444336,9.193231963949094,1004.2899780273438,1.692892074584961,8.172250747680664,5.149642467498778,0.03848451003432274,-0.002748893573880196,-0.08155050873756409,-0.2396116256713867,-3.073798179626465,2.3609681129455566,-212.6230010986328,-174.52200317382812,-749.6909790039062
8,1474472145219.0,1.4532804489135742,5.098452568054199,7.510610580444336,9.193231963949094,1004.2899780273438,1.692892074584961,8.172250747680664,5.149642467498778,0.04276056587696075,-0.017409659922122955,-0.07910704612731934,-0.2396116256713867,-3.073798179626465,2.3609681129455566,-212.6230010986328,-174.52200317382812,-749.35400390625
9,1474472145319.0,1.4646528959274292,5.098452568054199,7.8787193298339835,9.498086384769657,1004.3200073242188,1.6662005186080933,8.241971969604492,5.0461931228637695,0.0507018156349659,-0.016798794269561768,-0.05619960278272629,-0.20154762268066406,-3.143519401550293,2.832526206970215,-212.3179931640625,-174.52200317382812,-749.35400390625
