,timestamp,uv
0,1474211961695.0,0.0
1,1474211961795.0,0.0
2,1474211961895.0,0.0
3,1474211961995.0,0.0
4,1474211962095.0,0.0
5,1474211962195.0,0.0
6,1474211962295.0,0.0
7,1474211962395.0,0.0
8,1474211962495.0,0.0
9,1474211962595.0,0.0
10,1474211962695.0,0.0
11,1474211962795.0,0.0
12,1474211962895.0,0.0
13,1474211962995.0,0.0
14,1474211963095.0,0.0
15,1474211963195.0,0.0
16,1474211963295.0,0.0
17,1474211963395.0,0.0
18,1474211963495.0,0.0
19,1474211963595.0,0.0
20,1474211963695.0,0.0
21,1474211963795.0,0.0
22,1474211963895.0,0.0
23,1474211963995.0,0.0
24,1474211964095.0,0.0
25,1474211964195.0,0.0
26,1474211964295.0,0.0
27,1474211964395.0,0.0
28,1474211964495.0,0.0
29,1474211964595.0,0.0
30,1474211964695.0,0.0
31,1474211964795.0,0.0
32,1474211964895.0,0.0
33,1474211964995.0,0.0
34,1474211965095.0,0.0
35,1474211965195.0,0.0
36,1474211965295.0,0.0
37,1474211965395.0,0.0
38,1474211965495.0,0.0
39,1474211965595.0,0.0
40,1474211965695.0,0.0
41,1474211965795.0,0.0
42,1474211965895.0,0.0
43,1474211965995.0,0.0
44,1474211966095.0,0.0
45,1474211966195.0,0.0
46,1474211966295.0,0.0
47,1474211966395.0,0.0
48,1474211966495.0,0.0
49,1474211966595.0,0.0
50,1474211966695.0,0.0
51,1474211966795.0,0.0
52,1474211966895.0,0.0
53,1474211966995.0,0.0
54,1474211967095.0,0.0
55,1474211967195.0,0.0
56,1474211967295.0,0.0
57,1474211967395.0,0.0
58,1474211967495.0,0.0
59,1474211967595.0,0.0
60,1474211967695.0,0.0
61,1474211967795.0,0.0
62,1474211967895.0,0.0
63,1474211967995.0,0.0
64,1474211968095.0,0.0
65,1474211968195.0,0.0
66,1474211968295.0,0.0
67,1474211968395.0,0.0
68,1474211968495.0,0.0
69,1474211968595.0,0.0
70,1474211968695.0,0.0
71,1474211968795.0,0.0
72,1474211968895.0,0.0
73,1474211968995.0,0.0
74,1474211969095.0,0.0
75,1474211969195.0,0.0
76,1474211969295.0,0.0
77,1474211969395.0,0.0
78,1474211969495.0,0.0
79,1474211969595.0,0.0
80,1474211969695.0,0.0
81,1474211969795.0,0.0
82,1474211969895.0,0.0
83,1474211969995.0,0.0
84,1474211970095.0,0.0
85,1474211970195.0,0.0
86,1474211970295.0,0.0
87,1474211970395.0,0.0
88,1474211970495.0,0.0
89,1474211970595.0,0.0
90,1474211970695.0,0.0
91,1474211970795.0,0.0
92,1474211970895.0,0.0
93,1474211970995.0,0.0
94,1474211971095.0,0.0
95,1474211971195.0,0.0
96,1474211971295.0,0.0
97,1474211971395.0,0.0
98,1474211971495.0,0.0
99,1474211971595.0,0.0
100,1474211971695.0,0.0
101,1474211971795.0,0.0
102,1474211971895.0,0.0
103,1474211971995.0,0.0
104,1474211972095.0,0.0
105,1474211972195.0,0.0
106,1474211972295.0,0.0
107,1474211972395.0,0.0
108,1474211972495.0,0.0
