,timestamp,mx,my,mz,mAc
0,5000.0,65.51,-30.29,59.63,ACCURACY_BAD
1,5100.0,60.65,-27.84,61.13,ACCURACY_BAD
2,5200.0,58.55,-25.85,59.63,ACCURACY_BAD
3,5300.0,59.27,-27.47,59.87,ACCURACY_BAD
4,5400.0,61.31,-29.81,60.47,ACCURACY_BAD
5,5500.0,61.31,-29.81,60.47,ACCURACY_BAD
6,5600.0,73.91,-31.79,59.81,ACCURACY_BAD
7,5700.0,76.68,-31.79,57.71,ACCURACY_BAD
8,5800.0,78.77,-32.75,53.87,ACCURACY_BAD
9,5900.0,80.15,-38.34,48.47,ACCURACY_BAD
10,6000.0,80.15,-40.07,47.27,ACCURACY_BAD
56,10600.0,70.43,-31.73,46.37,ACCURACY_BAD
57,10700.0,65.51,-32.81,49.61,ACCURACY_BAD
58,10800.0,64.13,-31.73,50.63,ACCURACY_BAD
59,10900.0,59.93,-34.61,48.29,ACCURACY_BAD
109,15900.0,83.63,7.44,1.67,ACCURACY_BAD
110,16000.0,78.77,10.07,4.61,ACCURACY_BAD
111,16100.0,78.77,15.71,3.0,ACCURACY_BAD
112,16200.0,77.4,16.61,4.67,ACCURACY_BAD
124,17400.0,82.97,14.15,1.01,ACCURACY_BAD
125,17500.0,80.87,15.47,3.65,ACCURACY_BAD
126,17600.0,80.87,18.18,6.59,ACCURACY_BAD
127,17700.0,78.77,23.03,7.44,ACCURACY_BAD
128,17800.0,78.05,26.09,9.11,ACCURACY_BAD
129,17900.0,75.29,29.45,12.35,ACCURACY_BAD
130,18000.0,76.68,28.31,11.27,ACCURACY_BAD
131,18100.0,79.5,28.13,11.88,ACCURACY_BAD
132,18200.0,81.59,24.35,9.96,ACCURACY_BAD
133,18300.0,85.08,21.42,5.57,ACCURACY_BAD
134,18400.0,85.08,16.85,6.17,ACCURACY_BAD
147,19700.0,87.18,22.73,3.83,ACCURACY_BAD
148,19800.0,88.55,14.15,1.01,ACCURACY_BAD
149,19900.0,92.04,5.4,1.01,ACCURACY_BAD
150,20000.0,91.31,3.17,-1.01,ACCURACY_BAD
151,20100.0,89.93,-0.59,-0.17,ACCURACY_BAD
152,20200.0,89.93,-0.59,-0.17,ACCURACY_BAD
175,22500.0,77.4,26.39,14.93,ACCURACY_BAD
176,22600.0,82.25,20.45,10.85,ACCURACY_BAD
177,22700.0,81.59,16.68,8.93,ACCURACY_BAD
178,22800.0,87.83,14.34,9.53,ACCURACY_BAD
179,22900.0,89.22,14.03,8.09,ACCURACY_BAD
180,23000.0,89.93,13.19,8.51,ACCURACY_BAD
181,23100.0,87.83,14.75,8.27,ACCURACY_BAD
182,23200.0,85.08,18.47,10.19,ACCURACY_BAD
183,23300.0,84.36,22.68,12.96,ACCURACY_BAD
184,23400.0,80.87,28.19,18.35,ACCURACY_BAD
185,23500.0,78.05,32.27,26.03,ACCURACY_BAD
186,23600.0,73.91,31.07,32.04,ACCURACY_BAD
187,23700.0,70.43,31.92,33.77,ACCURACY_BAD
188,23800.0,71.81,33.71,35.04,ACCURACY_BAD
189,23900.0,73.91,32.88,35.45,ACCURACY_BAD
190,24000.0,74.58,31.31,35.63,ACCURACY_BAD
191,24100.0,74.58,28.26,33.95,ACCURACY_BAD
192,24200.0,70.43,28.92,34.2,ACCURACY_BAD
193,24300.0,73.19,26.51,34.86,ACCURACY_BAD
194,24400.0,76.68,29.81,37.97,ACCURACY_BAD
195,24500.0,82.97,30.77,30.53,ACCURACY_BAD
196,24600.0,92.04,36.95,31.79,ACCURACY_BAD
197,24700.0,92.04,36.11,32.27,ACCURACY_BAD
198,24800.0,87.83,34.2,38.04,ACCURACY_BAD
199,24900.0,84.36,33.11,37.02,ACCURACY_BAD
200,25000.0,81.59,33.41,29.27,ACCURACY_BAD
201,25100.0,80.15,32.27,26.03,ACCURACY_BAD
202,25200.0,79.5,28.5,35.45,ACCURACY_BAD
203,25300.0,78.05,25.92,41.04,ACCURACY_BAD
204,25400.0,71.81,22.13,46.13,ACCURACY_BAD
205,25500.0,69.72,19.68,48.89,ACCURACY_BAD
206,25600.0,66.23,16.73,51.53,ACCURACY_BAD
207,25700.0,62.03,14.57,55.73,ACCURACY_BAD
208,25800.0,62.75,9.77,59.21,ACCURACY_BAD
209,25900.0,61.31,-0.35,61.55,ACCURACY_BAD
210,26000.0,61.31,-0.17,60.89,ACCURACY_BAD
211,26100.0,61.31,-2.27,60.89,ACCURACY_BAD
233,28300.0,53.69,12.0,59.21,ACCURACY_BAD
234,28400.0,54.36,13.13,58.13,ACCURACY_BAD
235,28500.0,55.73,12.23,56.45,ACCURACY_BAD
236,28600.0,54.36,5.21,57.71,ACCURACY_BAD
237,28700.0,54.36,6.17,63.71,ACCURACY_BAD
238,28800.0,55.07,10.55,61.55,ACCURACY_BAD
260,31000.0,62.03,1.07,61.31,ACCURACY_BAD
261,31100.0,60.65,3.29,61.37,ACCURACY_BAD
262,31200.0,62.75,3.72,60.05,ACCURACY_BAD
263,31300.0,64.86,2.46,61.79,ACCURACY_BAD
305,35500.0,74.58,-20.69,57.05,ACCURACY_BAD
306,35600.0,72.47,-22.19,57.29,ACCURACY_BAD
307,35700.0,71.81,-19.61,53.87,ACCURACY_BAD
308,35800.0,71.81,-19.85,54.53,ACCURACY_BAD
317,36700.0,90.65,-27.77,9.35,ACCURACY_BAD
318,36800.0,84.36,-53.27,0.35,ACCURACY_BAD
319,36900.0,68.33,-85.79,17.45,ACCURACY_BAD
320,37000.0,57.18,-89.81,36.71,ACCURACY_BAD
331,38100.0,82.97,-70.13,-1.5,ACCURACY_BAD
332,38200.0,68.33,-69.83,2.03,ACCURACY_BAD
333,38300.0,60.65,-62.57,6.53,ACCURACY_BAD
334,38400.0,53.69,-57.53,8.88,ACCURACY_BAD
347,39700.0,78.77,-24.23,-17.1,ACCURACY_BAD
348,39800.0,78.77,-22.43,-13.67,ACCURACY_BAD
349,39900.0,80.87,-20.93,-13.85,ACCURACY_BAD
350,40000.0,81.59,-22.85,-12.35,ACCURACY_BAD
351,40100.0,80.15,-24.84,-10.85,ACCURACY_BAD
352,40200.0,83.63,-18.29,-13.01,ACCURACY_BAD
353,40300.0,83.63,-3.95,-16.85,ACCURACY_BAD
354,40400.0,82.97,-1.31,-18.11,ACCURACY_BAD
355,40500.0,79.5,7.55,-16.61,ACCURACY_BAD
356,40600.0,76.01,11.69,-16.02,ACCURACY_BAD
357,40700.0,76.01,13.43,-19.02,ACCURACY_BAD
358,40800.0,75.29,16.31,-16.61,ACCURACY_BAD
369,41900.0,81.59,8.09,-11.51,ACCURACY_BAD
370,42000.0,78.05,6.29,-12.77,ACCURACY_BAD
371,42100.0,76.01,11.51,-13.25,ACCURACY_BAD
372,42200.0,73.91,15.96,-11.03,ACCURACY_BAD
404,45400.0,82.25,26.57,10.01,ACCURACY_BAD
405,45500.0,81.59,26.45,7.91,ACCURACY_BAD
406,45600.0,80.87,24.71,4.5,ACCURACY_BAD
407,45700.0,82.25,18.29,-0.41,ACCURACY_BAD
408,45800.0,84.36,15.83,-1.86,ACCURACY_BAD
409,45900.0,85.08,8.57,-4.19,ACCURACY_BAD
410,46000.0,86.45,1.01,-5.27,ACCURACY_BAD
411,46100.0,87.83,-1.13,-7.44,ACCURACY_BAD
412,46200.0,87.18,-2.7,-9.35,ACCURACY_BAD
413,46300.0,87.83,-4.44,-8.51,ACCURACY_BAD
414,46400.0,87.18,-2.03,-7.01,ACCURACY_BAD
415,46500.0,86.45,-1.79,-7.61,ACCURACY_BAD
416,46600.0,85.08,2.87,-8.93,ACCURACY_BAD
417,46700.0,82.97,13.85,-4.67,ACCURACY_BAD
426,47600.0,87.83,3.35,-5.94,ACCURACY_BAD
427,47700.0,87.83,-3.53,-6.83,ACCURACY_BAD
428,47800.0,87.83,-6.59,-6.35,ACCURACY_BAD
429,47900.0,85.08,-8.34,-5.51,ACCURACY_BAD
480,53000.0,76.01,15.05,74.4,ACCURACY_BAD
481,53100.0,75.29,17.03,70.73,ACCURACY_BAD
482,53200.0,74.58,17.39,65.22,ACCURACY_BAD
483,53300.0,74.58,17.39,65.22,ACCURACY_BAD
541,59100.0,64.86,-9.47,62.87,ACCURACY_BAD
542,59200.0,62.75,-8.39,63.89,ACCURACY_BAD
543,59300.0,60.65,-6.89,63.71,ACCURACY_BAD
544,59400.0,60.65,-6.89,63.71,ACCURACY_BAD
545,59500.0,59.93,-6.05,61.13,ACCURACY_BAD
546,59600.0,59.93,-6.11,58.97,ACCURACY_BAD
581,63100.0,65.51,-10.19,46.97,ACCURACY_BAD
582,63200.0,66.9,-9.3,46.55,ACCURACY_BAD
583,63300.0,66.9,-9.3,46.55,ACCURACY_BAD
584,63400.0,66.23,-13.73,42.29,ACCURACY_BAD
585,63500.0,66.9,-14.57,42.71,ACCURACY_BAD
586,63600.0,66.9,-13.92,42.95,ACCURACY_BAD
587,63700.0,69.72,-14.15,41.45,ACCURACY_BAD
588,63800.0,69.72,-13.07,42.54,ACCURACY_BAD
589,63900.0,69.72,-15.17,44.7,ACCURACY_BAD
590,64000.0,69.72,-14.57,47.03,ACCURACY_BAD
591,64100.0,69.72,-14.75,47.63,ACCURACY_BAD
592,64200.0,71.81,-15.17,48.89,ACCURACY_BAD
593,64300.0,71.09,-16.26,47.87,ACCURACY_BAD
594,64400.0,71.09,-17.52,47.45,ACCURACY_BAD
595,64500.0,71.09,-19.68,49.55,ACCURACY_BAD
596,64600.0,70.43,-21.05,46.97,ACCURACY_BAD
597,64700.0,70.43,-18.65,48.53,ACCURACY_BAD
598,64800.0,70.43,-21.77,44.7,ACCURACY_BAD
599,64900.0,73.19,-22.68,45.11,ACCURACY_BAD
600,65000.0,76.68,-23.57,41.27,ACCURACY_BAD
601,65100.0,80.15,-22.79,36.54,ACCURACY_BAD
602,65200.0,82.25,-22.97,35.04,ACCURACY_BAD
622,67200.0,87.83,-17.76,9.77,ACCURACY_BAD
623,67300.0,85.08,-19.02,9.35,ACCURACY_BAD
624,67400.0,82.25,-24.23,9.77,ACCURACY_BAD
625,67500.0,80.15,-23.63,10.01,ACCURACY_BAD
626,67600.0,78.77,-24.0,11.27,ACCURACY_BAD
627,67700.0,78.05,-23.39,9.3,ACCURACY_BAD
651,70100.0,77.4,1.67,1.19,ACCURACY_BAD
652,70200.0,79.5,4.73,0.83,ACCURACY_BAD
653,70300.0,78.77,6.71,1.5,ACCURACY_BAD
654,70400.0,76.68,5.81,1.86,ACCURACY_BAD
693,74300.0,88.55,0.23,-9.77,ACCURACY_BAD
