,timestamp,light
0,5000.0,73.0
1,5100.0,73.0
2,5200.0,73.0
3,5300.0,73.0
4,5400.0,73.0
5,5500.0,79.0
6,5600.0,74.0
7,5700.0,74.0
8,5800.0,61.0
9,5900.0,61.0
10,6000.0,48.0
56,10600.0,46.0
57,10700.0,46.0
58,10800.0,52.0
59,10900.0,52.0
109,15900.0,54.0
110,16000.0,54.0
111,16100.0,59.0
112,16200.0,50.0
124,17400.0,66.0
125,17500.0,70.0
126,17600.0,61.0
127,17700.0,61.0
128,17800.0,61.0
129,17900.0,61.0
130,18000.0,48.0
131,18100.0,48.0
132,18200.0,46.0
133,18300.0,46.0
134,18400.0,56.0
147,19700.0,58.0
148,19800.0,74.0
149,19900.0,74.0
150,20000.0,102.0
151,20100.0,102.0
152,20200.0,102.0
175,22500.0,71.0
176,22600.0,81.0
177,22700.0,81.0
178,22800.0,109.0
179,22900.0,109.0
180,23000.0,131.0
181,23100.0,131.0
182,23200.0,118.0
183,23300.0,118.0
184,23400.0,77.0
185,23500.0,77.0
186,23600.0,40.0
187,23700.0,40.0
188,23800.0,32.0
189,23900.0,32.0
190,24000.0,32.0
191,24100.0,32.0
192,24200.0,32.0
193,24300.0,32.0
194,24400.0,41.0
195,24500.0,41.0
196,24600.0,72.0
197,24700.0,72.0
198,24800.0,68.0
199,24900.0,68.0
200,25000.0,37.0
201,25100.0,37.0
202,25200.0,41.0
203,25300.0,41.0
204,25400.0,33.0
205,25500.0,33.0
206,25600.0,28.0
207,25700.0,28.0
208,25800.0,28.0
209,25900.0,28.0
210,26000.0,26.0
211,26100.0,26.0
233,28300.0,25.0
234,28400.0,30.0
235,28500.0,30.0
236,28600.0,31.0
237,28700.0,31.0
238,28800.0,31.0
260,31000.0,73.0
261,31100.0,73.0
262,31200.0,79.0
263,31300.0,79.0
305,35500.0,38.0
306,35600.0,56.0
307,35700.0,56.0
308,35800.0,80.0
317,36700.0,26.0
318,36800.0,26.0
319,36900.0,26.0
320,37000.0,37.0
331,38100.0,22.0
332,38200.0,23.0
333,38300.0,23.0
334,38400.0,25.0
347,39700.0,18.0
348,39800.0,20.0
349,39900.0,20.0
350,40000.0,20.0
351,40100.0,20.0
352,40200.0,21.0
353,40300.0,21.0
354,40400.0,25.0
355,40500.0,25.0
356,40600.0,18.0
357,40700.0,18.0
358,40800.0,18.0
369,41900.0,54.0
370,42000.0,53.0
371,42100.0,53.0
372,42200.0,51.0
404,45400.0,47.0
405,45500.0,47.0
406,45600.0,50.0
407,45700.0,50.0
408,45800.0,72.0
409,45900.0,72.0
410,46000.0,96.0
411,46100.0,96.0
412,46200.0,96.0
413,46300.0,96.0
414,46400.0,105.0
415,46500.0,105.0
416,46600.0,109.0
417,46700.0,109.0
426,47600.0,89.0
427,47700.0,89.0
428,47800.0,120.0
429,47900.0,120.0
480,53000.0,41.0
481,53100.0,46.0
482,53200.0,46.0
483,53300.0,46.0
541,59100.0,61.0
542,59200.0,63.0
543,59300.0,74.0
544,59400.0,74.0
545,59500.0,84.0
546,59600.0,84.0
581,63100.0,102.0
582,63200.0,102.0
583,63300.0,80.0
584,63400.0,80.0
585,63500.0,61.0
586,63600.0,61.0
587,63700.0,50.0
588,63800.0,50.0
589,63900.0,51.0
590,64000.0,51.0
591,64100.0,60.0
592,64200.0,60.0
593,64300.0,64.0
594,64400.0,64.0
595,64500.0,64.0
596,64600.0,64.0
597,64700.0,67.0
598,64800.0,67.0
599,64900.0,67.0
600,65000.0,53.0
601,65100.0,33.0
602,65200.0,33.0
622,67200.0,44.0
623,67300.0,46.0
624,67400.0,46.0
625,67500.0,46.0
626,67600.0,46.0
627,67700.0,47.0
651,70100.0,45.0
652,70200.0,45.0
653,70300.0,44.0
654,70400.0,44.0
693,74300.0,106.0
694,74400.0,106.0
695,74500.0,95.0
696,74600.0,95.0
697,74700.0,76.0
698,74800.0,76.0
699,74900.0,76.0
700,75000.0,76.0
701,75100.0,77.0
702,75200.0,77.0
703,75300.0,89.0
704,75400.0,89.0
705,75500.0,109.0
