,timestamp,uv
0,5000.0,0.0
1,5100.0,0.0
2,5200.0,0.05
3,5300.0,0.0
4,5400.0,0.0
5,5500.0,0.0
6,5600.0,0.0
7,5700.0,0.05
8,5800.0,0.0
9,5900.0,0.0
10,6000.0,0.0
56,10600.0,0.05
57,10700.0,0.0
58,10800.0,0.0
59,10900.0,0.0
109,15900.0,0.05
110,16000.0,0.0
111,16100.0,0.0
112,16200.0,0.0
124,17400.0,0.05
125,17500.0,0.0
126,17600.0,0.0
127,17700.0,0.0
128,17800.0,0.0
129,17900.0,0.0
130,18000.0,0.0
131,18100.0,0.05
132,18200.0,0.0
133,18300.0,0.0
134,18400.0,0.0
147,19700.0,0.05
148,19800.0,0.0
149,19900.0,0.16
150,20000.0,0.0
151,20100.0,0.0
152,20200.0,0.0
175,22500.0,0.05
176,22600.0,0.0
177,22700.0,0.0
178,22800.0,0.0
179,22900.0,0.05
180,23000.0,0.0
181,23100.0,0.0
182,23200.0,0.0
183,23300.0,0.0
184,23400.0,0.0
185,23500.0,0.0
186,23600.0,0.0
187,23700.0,0.11
188,23800.0,0.0
189,23900.0,0.05
190,24000.0,0.0
191,24100.0,0.0
192,24200.0,0.0
193,24300.0,0.0
194,24400.0,0.05
195,24500.0,0.0
196,24600.0,0.0
197,24700.0,0.0
198,24800.0,0.0
199,24900.0,0.0
200,25000.0,0.0
201,25100.0,0.0
202,25200.0,0.05
203,25300.0,0.0
204,25400.0,0.0
205,25500.0,0.0
206,25600.0,0.0
207,25700.0,0.05
208,25800.0,0.05
209,25900.0,0.0
210,26000.0,0.0
211,26100.0,0.0
233,28300.0,0.05
234,28400.0,0.0
235,28500.0,0.05
236,28600.0,0.0
237,28700.0,0.0
238,28800.0,0.0
260,31000.0,0.16
261,31100.0,0.0
262,31200.0,0.0
263,31300.0,0.0
305,35500.0,0.05
306,35600.0,0.0
307,35700.0,0.0
308,35800.0,0.0
317,36700.0,0.05
318,36800.0,0.0
319,36900.0,0.0
320,37000.0,0.0
331,38100.0,0.05
332,38200.0,0.0
333,38300.0,0.0
334,38400.0,0.0
347,39700.0,0.05
348,39800.0,0.0
349,39900.0,0.0
350,40000.0,0.0
351,40100.0,0.0
352,40200.0,0.0
353,40300.0,0.0
354,40400.0,0.0
355,40500.0,0.05
356,40600.0,0.0
357,40700.0,0.0
358,40800.0,0.0
369,41900.0,0.05
370,42000.0,0.0
371,42100.0,0.0
372,42200.0,0.0
404,45400.0,0.05
405,45500.0,0.0
406,45600.0,0.0
407,45700.0,0.0
408,45800.0,0.0
409,45900.0,0.0
410,46000.0,0.0
411,46100.0,0.0
412,46200.0,0.0
413,46300.0,0.0
414,46400.0,0.05
415,46500.0,0.0
416,46600.0,0.0
417,46700.0,0.0
426,47600.0,0.05
427,47700.0,0.0
428,47800.0,0.0
429,47900.0,0.0
480,53000.0,0.05
481,53100.0,0.0
482,53200.0,0.0
483,53300.0,0.0
541,59100.0,0.05
542,59200.0,0.05
543,59300.0,0.05
544,59400.0,0.0
545,59500.0,0.0
546,59600.0,0.0
581,63100.0,0.11
582,63200.0,0.11
583,63300.0,0.0
584,63400.0,0.05
585,63500.0,0.0
586,63600.0,0.0
587,63700.0,0.0
588,63800.0,0.0
589,63900.0,0.0
590,64000.0,0.0
591,64100.0,0.05
592,64200.0,0.0
593,64300.0,0.0
594,64400.0,0.0
595,64500.0,0.0
596,64600.0,0.0
597,64700.0,0.0
598,64800.0,0.0
599,64900.0,0.05
600,65000.0,0.0
