,timestamp,light,timestamp,uv,timestamp,gx,gy,gz,timestamp,mx,my,mz,mAc,timestamp,ax,ay,az,timestamp,pressure
0,5000.0,89.0,5000.0,0.0,5000.0,-0.488319993019104,0.3051999807357788,0.18311999738216397,5000.0,55.07,-21.53,14.93,ACCURACY_BAD,5000.0,0.1579262912273407,3.5030922889709486,-9.013763427734377,5000.0,1000.79
1,5100.0,89.0,5100.0,0.0,5100.0,-0.488319993019104,0.3051999807357788,0.18311999738216397,5100.0,55.07,-21.53,14.93,ACCURACY_BAD,5100.0,0.1579262912273407,3.5030922889709486,-9.013763427734377,5100.0,1000.79
2,5200.0,89.0,5200.0,0.0,5200.0,-0.488319993019104,0.3051999807357788,0.18311999738216397,5200.0,55.07,-21.53,14.93,ACCURACY_BAD,5200.0,0.1579262912273407,3.5030922889709486,-9.013763427734377,5200.0,1000.79
3,5300.0,89.0,5300.0,0.0,5300.0,-1.7091200351715088,1.3428800106048584,-0.6103999614715576,5300.0,55.07,-21.53,14.93,ACCURACY_BAD,5300.0,0.1579262912273407,3.5676987171173096,-9.059226989746094,5300.0,1000.79
4,5400.0,89.0,5400.0,0.0,5400.0,-1.7091200351715088,1.3428800106048584,-0.6103999614715576,5400.0,55.07,-21.53,14.93,ACCURACY_BAD,5400.0,0.1579262912273407,3.5676987171173096,-9.059226989746094,5400.0,1000.79
5,5500.0,89.0,5500.0,0.0,5500.0,-1.7091200351715088,1.3428800106048584,-0.6103999614715576,5500.0,55.73,-19.79,14.09,ACCURACY_BAD,5500.0,0.1579262912273407,3.5676987171173096,-9.059226989746094,5500.0,1000.79
6,5600.0,86.0,5600.0,0.0,5600.0,-0.7935199737548828,0.18311999738216397,-1.1597599983215332,5600.0,55.73,-19.79,14.09,ACCURACY_BAD,5600.0,0.11485548317432405,3.5700912475585938,-9.09511947631836,5600.0,1000.79
7,5700.0,86.0,5700.0,0.0,5700.0,-0.7935199737548828,0.18311999738216397,-1.1597599983215332,5700.0,55.73,-20.45,15.96,ACCURACY_BAD,5700.0,0.11485548317432405,3.5700912475585938,-9.09511947631836,5700.0,1000.79
8,5800.0,86.0,5800.0,0.0,5800.0,0.6103999614715576,0.122079998254776,-1.1597599983215332,5800.0,55.73,-20.45,15.96,ACCURACY_BAD,5800.0,0.13878372311592102,3.491128206253052,-9.023333549499512,5800.0,1000.8
9,5900.0,86.0,5900.0,0.05,5900.0,0.6103999614715576,0.122079998254776,-1.1597599983215332,5900.0,55.07,-21.53,14.93,ACCURACY_BAD,5900.0,0.13878372311592102,3.491128206253052,-9.023333549499512,5900.0,1000.8
10,6000.0,90.0,6000.0,0.05,6000.0,0.6103999614715576,-0.4272800087928772,0.122079998254776,6000.0,55.07,-21.53,14.93,ACCURACY_BAD,6000.0,0.22013968229293826,3.455235719680786,-9.099905014038086,6000.0,1000.8
11,6100.0,90.0,6100.0,0.0,6100.0,0.6103999614715576,-0.4272800087928772,0.122079998254776,6100.0,55.07,-20.93,15.11,ACCURACY_BAD,6100.0,0.22013968229293826,3.455235719680786,-9.099905014038086,6100.0,1000.8
12,6200.0,90.0,6200.0,0.0,6200.0,0.122079998254776,0.976639986038208,-0.3051999807357788,6200.0,55.07,-20.93,15.11,ACCURACY_BAD,6200.0,0.2297109663486481,3.517449140548706,-9.025726318359377,6200.0,1000.77
13,6300.0,90.0,6300.0,0.0,6300.0,0.122079998254776,0.976639986038208,-0.3051999807357788,6300.0,55.07,-20.93,15.11,ACCURACY_BAD,6300.0,0.2297109663486481,3.517449140548706,-9.025726318359377,6300.0,1000.77
14,6400.0,89.0,6400.0,0.0,6400.0,0.122079998254776,0.976639986038208,-0.3051999807357788,6400.0,56.45,-18.89,15.77,ACCURACY_BAD,6400.0,0.2297109663486481,3.517449140548706,-9.025726318359377,6400.0,1000.76
15,6500.0,89.0,6500.0,0.0,6500.0,-1.2207999229431152,1.2207999229431152,-0.061039999127388,6500.0,56.45,-18.89,15.77,ACCURACY_BAD,6500.0,0.16749757528305054,3.5461630821228027,-9.035298347473145,6500.0,1000.76
16,6600.0,89.0,6600.0,0.0,6600.0,-1.2207999229431152,1.2207999229431152,-0.061039999127388,6600.0,56.45,-18.89,15.77,ACCURACY_BAD,6600.0,0.16749757528305054,3.5461630821228027,-9.035298347473145,6600.0,1000.76
17,6700.0,89.0,6700.0,0.0,6700.0,-0.36623999476432795,-0.36623999476432795,-0.6714400053024292,6700.0,56.45,-20.45,15.96,ACCURACY_BAD,6700.0,0.09571290016174316,3.572484016418457,-9.073582649230957,6700.0,1000.76
18,6800.0,89.0,6800.0,0.0,6800.0,-0.36623999476432795,-0.36623999476432795,-0.6714400053024292,6800.0,56.45,-20.45,15.96,ACCURACY_BAD,6800.0,0.09571290016174316,3.572484016418457,-9.073582649230957,6800.0,1000.75
19,6900.0,89.0,6900.0,0.0,6900.0,0.061039999127388,-1.0987199544906616,0.6714400053024292,6900.0,55.73,-20.21,15.35,ACCURACY_BAD,6900.0,0.20099709928035736,3.4408791065216064,-9.135796546936037,6900.0,1000.75
20,7000.0,87.0,7000.0,0.0,7000.0,0.061039999127388,-1.0987199544906616,0.6714400053024292,7000.0,55.73,-20.21,15.35,ACCURACY_BAD,7000.0,0.20099709928035736,3.4408791065216064,-9.135796546936037,7000.0,1000.76
21,7100.0,87.0,7100.0,0.0,7100.0,0.061039999127388,-1.0987199544906616,0.6714400053024292,7100.0,55.73,-20.21,15.35,ACCURACY_BAD,7100.0,0.20099709928035736,3.4408791065216064,-9.135796546936037,7100.0,1000.76
22,7200.0,90.0,7200.0,0.0,7200.0,-0.36623999476432795,-1.0376800298690796,2.014319896697998,7200.0,55.73,-20.21,15.35,ACCURACY_BAD,7200.0,0.07657032459974289,3.6681969165802,-9.05683422088623,7200.0,1000.76
23,7300.0,90.0,7300.0,0.0,7300.0,-0.36623999476432795,-1.0376800298690796,2.014319896697998,7300.0,55.07,-20.03,14.69,ACCURACY_BAD,7300.0,0.07657032459974289,3.6681969165802,-9.05683422088623,7300.0,1000.77
24,7400.0,90.0,7400.0,0.0,7400.0,-3.662400007247925,2.1974399089813232,-0.8545600175857544,7400.0,55.07,-20.03,14.69,ACCURACY_BAD,7400.0,0.02392822504043579,3.553341627120972,-9.150154113769533,7400.0,1000.77
25,7500.0,90.0,7500.0,0.0,7500.0,-3.662400007247925,2.1974399089813232,-0.8545600175857544,7500.0,55.07,-17.39,15.53,ACCURACY_BAD,7500.0,0.02392822504043579,3.553341627120972,-9.150154113769533,7500.0,1000.77
26,7600.0,90.0,7600.0,0.0,7600.0,-4.822159767150879,0.7935199737548828,-1.2207999229431152,7600.0,55.07,-17.39,15.53,ACCURACY_BAD,7600.0,-0.028713870793581005,3.5844480991363525,-9.186046600341797,7600.0,1000.77
27,7700.0,90.0,7700.0,0.0,7700.0,-4.822159767150879,0.7935199737548828,-1.2207999229431152,7700.0,55.07,-20.03,14.69,ACCURACY_BAD,7700.0,-0.028713870793581005,3.5844480991363525,-9.186046600341797,7700.0,1000.77
28,7800.0,90.0,7800.0,0.0,7800.0,-0.6714400053024292,1.7701599597930908,-0.7935199737548828,7800.0,55.07,-20.03,14.69,ACCURACY_BAD,7800.0,0.03828516229987145,3.486342430114746,-9.020941734313963,7800.0,1000.77
29,7900.0,90.0,7900.0,0.0,7900.0,-0.6714400053024292,1.7701599597930908,-0.7935199737548828,7900.0,55.07,-20.03,14.69,ACCURACY_BAD,7900.0,0.03828516229987145,3.486342430114746,-9.020941734313963,7900.0,1000.77
30,6500.0,89.0,6500.0,0.0,6500.0,-1.2207999229431152,1.2207999229431152,-0.061039999127388,6500.0,56.45,-18.89,15.77,ACCURACY_BAD,6500.0,0.16749757528305054,3.5461630821228027,-9.035298347473145,6500.0,1000.76
31,6600.0,89.0,6600.0,0.0,6600.0,-1.2207999229431152,1.2207999229431152,-0.061039999127388,6600.0,56.45,-18.89,15.77,ACCURACY_BAD,6600.0,0.16749757528305054,3.5461630821228027,-9.035298347473145,6600.0,1000.76
32,6700.0,89.0,6700.0,0.0,6700.0,-0.36623999476432795,-0.36623999476432795,-0.6714400053024292,6700.0,56.45,-20.45,15.96,ACCURACY_BAD,6700.0,0.09571290016174316,3.572484016418457,-9.073582649230957,6700.0,1000.76
33,6800.0,89.0,6800.0,0.0,6800.0,-0.36623999476432795,-0.36623999476432795,-0.6714400053024292,6800.0,56.45,-20.45,15.96,ACCURACY_BAD,6800.0,0.09571290016174316,3.572484016418457,-9.073582649230957,6800.0,1000.75
34,6900.0,89.0,6900.0,0.0,6900.0,0.061039999127388,-1.0987199544906616,0.6714400053024292,6900.0,55.73,-20.21,15.35,ACCURACY_BAD,6900.0,0.20099709928035736,3.4408791065216064,-9.135796546936037,6900.0,1000.75
35,7000.0,87.0,7000.0,0.0,7000.0,0.061039999127388,-1.0987199544906616,0.6714400053024292,7000.0,55.73,-20.21,15.35,ACCURACY_BAD,7000.0,0.20099709928035736,3.4408791065216064,-9.135796546936037,7000.0,1000.76
36,7100.0,87.0,7100.0,0.0,7100.0,0.061039999127388,-1.0987199544906616,0.6714400053024292,7100.0,55.73,-20.21,15.35,ACCURACY_BAD,7100.0,0.20099709928035736,3.4408791065216064,-9.135796546936037,7100.0,1000.76
37,7200.0,90.0,7200.0,0.0,7200.0,-0.36623999476432795,-1.0376800298690796,2.014319896697998,7200.0,55.73,-20.21,15.35,ACCURACY_BAD,7200.0,0.07657032459974289,3.6681969165802,-9.05683422088623,7200.0,1000.76
38,7300.0,90.0,7300.0,0.0,7300.0,-0.36623999476432795,-1.0376800298690796,2.014319896697998,7300.0,55.07,-20.03,14.69,ACCURACY_BAD,7300.0,0.07657032459974289,3.6681969165802,-9.05683422088623,7300.0,1000.77
39,7400.0,90.0,7400.0,0.0,7400.0,-3.662400007247925,2.1974399089813232,-0.8545600175857544,7400.0,55.07,-20.03,14.69,ACCURACY_BAD,7400.0,0.02392822504043579,3.553341627120972,-9.150154113769533,7400.0,1000.77
40,7500.0,90.0,7500.0,0.0,7500.0,-3.662400007247925,2.1974399089813232,-0.8545600175857544,7500.0,55.07,-17.39,15.53,ACCURACY_BAD,7500.0,0.02392822504043579,3.553341627120972,-9.150154113769533,7500.0,1000.77
41,7600.0,90.0,7600.0,0.0,7600.0,-4.822159767150879,0.7935199737548828,-1.2207999229431152,7600.0,55.07,-17.39,15.53,ACCURACY_BAD,7600.0,-0.028713870793581005,3.5844480991363525,-9.186046600341797,7600.0,1000.77
42,7700.0,90.0,7700.0,0.0,7700.0,-4.822159767150879,0.7935199737548828,-1.2207999229431152,7700.0,55.07,-20.03,14.69,ACCURACY_BAD,7700.0,-0.028713870793581005,3.5844480991363525,-9.186046600341797,7700.0,1000.77
43,7800.0,90.0,7800.0,0.0,7800.0,-0.6714400053024292,1.7701599597930908,-0.7935199737548828,7800.0,55.07,-20.03,14.69,ACCURACY_BAD,7800.0,0.03828516229987145,3.486342430114746,-9.020941734313963,7800.0,1000.77
44,7900.0,90.0,7900.0,0.0,7900.0,-0.6714400053024292,1.7701599597930908,-0.7935199737548828,7900.0,55.07,-20.03,14.69,ACCURACY_BAD,7900.0,0.03828516229987145,3.486342430114746,-9.020941734313963,7900.0,1000.77
45,8000.0,90.0,8000.0,0.0,8000.0,-0.6714400053024292,1.7701599597930908,-0.7935199737548828,8000.0,56.45,-19.13,16.37,ACCURACY_BAD,8000.0,0.03828516229987145,3.486342430114746,-9.020941734313963,8000.0,1000.78
46,8100.0,90.0,8100.0,0.0,8100.0,-0.488319993019104,0.6103999614715576,-2.1974399089813232,8100.0,56.45,-19.13,16.37,ACCURACY_BAD,8100.0,0.08614162355661392,3.366701364517212,-9.059226989746094,8100.0,1000.78
47,8200.0,87.0,8200.0,0.0,8200.0,-0.488319993019104,0.6103999614715576,-2.1974399089813232,8200.0,56.45,-19.13,16.37,ACCURACY_BAD,8200.0,0.08614162355661392,3.366701364517212,-9.059226989746094,8200.0,1000.78
48,8300.0,87.0,8300.0,0.0,8300.0,2.746799945831299,-0.18311999738216397,-0.7324799895286559,8300.0,55.07,-21.95,16.19,ACCURACY_BAD,8300.0,0.17706887423992154,3.3738799095153813,-9.061619758605957,8300.0,1000.78
49,8400.0,87.0,8400.0,0.0,8400.0,2.746799945831299,-0.18311999738216397,-0.7324799895286559,8400.0,55.07,-21.95,16.19,ACCURACY_BAD,8400.0,0.17706887423992154,3.3738799095153813,-9.061619758605957,8400.0,1000.78
50,8500.0,87.0,8500.0,0.0,8500.0,-0.122079998254776,-0.18311999738216397,-0.488319993019104,8500.0,55.07,-21.95,16.19,ACCURACY_BAD,8500.0,0.2153540551662445,3.5341989994049072,-9.06401252746582,8500.0,1000.78
51,8600.0,89.0,8600.0,0.0,8600.0,-0.122079998254776,-0.18311999738216397,-0.488319993019104,8600.0,55.07,-21.95,16.19,ACCURACY_BAD,8600.0,0.2153540551662445,3.5341989994049072,-9.06401252746582,8600.0,1000.78
52,8700.0,89.0,8700.0,0.0,8700.0,-0.122079998254776,-0.18311999738216397,-0.488319993019104,8700.0,55.73,-19.19,14.27,ACCURACY_BAD,8700.0,0.2153540551662445,3.5341989994049072,-9.06401252746582,8700.0,1000.78
53,8800.0,87.0,8800.0,0.0,8800.0,-0.36623999476432795,-0.061039999127388,-0.7324799895286559,8800.0,55.73,-19.19,14.27,ACCURACY_BAD,8800.0,0.1627119481563568,3.531806230545044,-9.116654396057127,8800.0,1000.78
54,8900.0,87.0,8900.0,0.0,8900.0,-0.36623999476432795,-0.061039999127388,-0.7324799895286559,8900.0,55.07,-20.21,15.35,ACCURACY_BAD,8900.0,0.1627119481563568,3.531806230545044,-9.116654396057127,8900.0,1000.78
55,9000.0,87.0,9000.0,0.0,9000.0,-0.6103999614715576,-0.244159996509552,-0.4272800087928772,9000.0,55.07,-20.21,15.35,ACCURACY_BAD,9000.0,0.1339980661869049,3.5198421478271484,-9.018548011779783,9000.0,1000.8
56,9100.0,87.0,9100.0,0.0,9100.0,-0.6103999614715576,-0.244159996509552,-0.4272800087928772,9100.0,55.07,-20.21,15.35,ACCURACY_BAD,9100.0,0.1339980661869049,3.5198421478271484,-9.018548011779783,9100.0,1000.8
57,9200.0,89.0,9200.0,0.0,9200.0,-0.244159996509552,-0.36623999476432795,-0.061039999127388,9200.0,56.45,-20.03,14.69,ACCURACY_BAD,9200.0,0.1579262912273407,3.6323046684265137,-9.099905014038086,9200.0,1000.8
58,9300.0,89.0,9300.0,0.0,9300.0,-0.244159996509552,-0.36623999476432795,-0.061039999127388,9300.0,56.45,-20.03,14.69,ACCURACY_BAD,9300.0,0.1579262912273407,3.6323046684265137,-9.099905014038086,9300.0,1000.8
59,9400.0,89.0,9400.0,0.0,9400.0,-4.394879817962647,2.014319896697998,1.8312000036239624,9400.0,56.45,-20.03,14.69,ACCURACY_BAD,9400.0,0.057427741587162025,3.6969110965728773,-9.083154678344727,9400.0,1000.79
60,8000.0,90.0,8000.0,0.0,8000.0,-0.6714400053024292,1.7701599597930908,-0.7935199737548828,8000.0,56.45,-19.13,16.37,ACCURACY_BAD,8000.0,0.03828516229987145,3.486342430114746,-9.020941734313963,8000.0,1000.78
61,8100.0,90.0,8100.0,0.0,8100.0,-0.488319993019104,0.6103999614715576,-2.1974399089813232,8100.0,56.45,-19.13,16.37,ACCURACY_BAD,8100.0,0.08614162355661392,3.366701364517212,-9.059226989746094,8100.0,1000.78
62,8200.0,87.0,8200.0,0.0,8200.0,-0.488319993019104,0.6103999614715576,-2.1974399089813232,8200.0,56.45,-19.13,16.37,ACCURACY_BAD,8200.0,0.08614162355661392,3.366701364517212,-9.059226989746094,8200.0,1000.78
63,8300.0,87.0,8300.0,0.0,8300.0,2.746799945831299,-0.18311999738216397,-0.7324799895286559,8300.0,55.07,-21.95,16.19,ACCURACY_BAD,8300.0,0.17706887423992154,3.3738799095153813,-9.061619758605957,8300.0,1000.78
64,8400.0,87.0,8400.0,0.0,8400.0,2.746799945831299,-0.18311999738216397,-0.7324799895286559,8400.0,55.07,-21.95,16.19,ACCURACY_BAD,8400.0,0.17706887423992154,3.3738799095153813,-9.061619758605957,8400.0,1000.78
65,8500.0,87.0,8500.0,0.0,8500.0,-0.122079998254776,-0.18311999738216397,-0.488319993019104,8500.0,55.07,-21.95,16.19,ACCURACY_BAD,8500.0,0.2153540551662445,3.5341989994049072,-9.06401252746582,8500.0,1000.78
