timestamp,uv
1481520792388,0
1481520792687,0.05
1481520792888,0
1481520793186,0
1481520793406,0
1481520793682,0
1481520793984,0
1481520794284,0
1481520794580,0
1481520794804,0
1481520795080,0
1481520795381,0
1481520795682,0
1481520795978,0
1481520796200,0.11
1481520796475,0
1481520796677,0.05
1481520796976,0
1481520797176,0
1481520797377,0
1481520797675,0
1481520797876,0
1481520798174,0
1481520798374,0
1481520798678,0.05
1481520798972,0
1481520799195,0
1481520799471,0
1481520799671,0
1481520799970,0
1481520800170,0
1481520800468,0
1481520800767,0
1481520800971,0
1481520801190,0
1481520801467,0
1481520801767,0
1481520802068,0
1481520802269,0
1481520802567,0.05
1481520802787,0
1481520803063,0
1481520803364,0
1481520803666,0.05
1481520803962,0
1481520804185,0
1481520804460,0
1481520804661,0
1481520804862,0
1481520805160,0.11
1481520805459,0
1481520805661,0
1481520805959,0
1481520806259,0
1481520806557,0
1481520806759,0
1481520807058,0
1481520807378,0
1481520807654,0
1481520807855,0
1481520808055,0
1481520808255,0
1481520808571,0
1481520808852,0
1481520809154,0
1481520809454,0
1481520809752,0
1481520809971,0
1481520810249,0
1481520810551,0
1481520810849,0
1481520811051,0
1481520811346,0
1481520811567,0
1481520811847,0
1481520812148,0
1481520812448,0
1481520812649,0
1481520812946,0
1481520813168,0
1481520813444,0
1481520813744,0
1481520814049,0
1481520814342,0
1481520814562,0
1481520814840,0
1481520815040,0
1481520815341,0.05
1481520815640,0
1481520815938,0
1481520816138,0
1481520816361,0
1481520816636,0
1481520816937,0
1481520817138,0
1481520817338,0
1481520817637,0
1481520817936,0
1481520818136,0
1481520818434,0
1481520818636,0
1481520818932,0
1481520819155,0
1481520819431,0
1481520819631,0
1481520819932,0
1481520820232,0
1481520820547,0
1481520820829,0
1481520821129,0
1481520821429,0
1481520821727,0
1481520821949,0
1481520822226,0
1481520822526,0
1481520822727,0
1481520822927,0
1481520823127,0
1481520823425,0
1481520823724,0
1481520824021,0
1481520824221,0
1481520824422,0.05
1481520824623,0
1481520824824,0
1481520825119,0
1481520825420,0
1481520825718,0
1481520825919,0
1481520826217,0
1481520826420,0
1481520826721,0
1481520827017,0
1481520827218,0
1481520827418,0.05
1481520827715,0
1481520828016,0
1481520828336,0.05
1481520828613,0
1481520828814,0
1481520829113,0
1481520829415,0
1481520829711,0
1481520829933,0
1481520830210,0.05
1481520830411,0
1481520830711,0
1481520831014,0
1481520831308,0
1481520831529,0
1481520831809,0
1481520832109,0
1481520832408,0
1481520832705,0
1481520832928,0
1481520833206,0
1481520833505,0
1481520833806,0
1481520834103,0
1481520834346,0
1481520834604,0
1481520834902,0
1481520835102,0
1481520835400,0
1481520835700,0
1481520836002,0
1481520836320,0
1481520836597,0.05
1481520836797,0
1481520837002,0
1481520837296,0
1481520837596,0
1481520837797,0
1481520838098,0
1481520838399,0
1481520838693,0
1481520838995,0.05
1481520839293,0
1481520839592,0
1481520839892,0
1481520840195,0
1481520840489,0
1481520840709,0
1481520840989,0
1481520841289,0
1481520841592,0
1481520841887,0.05
1481520842100,0
1481520842386,0.11
1481520842687,0
1481520842988,0
1481520843285,0
1481520843500,0
1481520843783,0
1481520844085,0
1481520844386,0
1481520844684,0
1481520844982,0
1481520845184,0
1481520845481,0
1481520845781,0
1481520846079,0
1481520846284,0
1481520846580,0.11
1481520846900,0
1481520847177,0
1481520847476,0
1481520847676,0
1481520847977,0.05
1481520848178,0
1481520848495,0
1481520848774,0
1481520849075,0.05
1481520849375,0
1481520849672,0
1481520849894,0
1481520850170,0
1481520850370,0
1481520850671,0
1481520850971,0
1481520851269,0
1481520851570,0
1481520851870,0
1481520852089,0
1481520852366,0
1481520852666,0
1481520852968,0
1481520853168,0
1481520853478,0
1481520853765,0
1481520854062,0
1481520854262,0
1481520854564,0
1481520854884,0
1481520855161,0
1481520855460,0
1481520855660,0
1481520855961,0
1481520856281,0
1481520856558,0
1481520856859,0
1481520857157,0
1481520857365,0
1481520857660,0.11
1481520857879,0
1481520858155,0
1481520858355,0
1481520858556,0
1481520858756,0
1481520858956,0
1481520859277,0
1481520859553,0
1481520859754,0
1481520860052,0
1481520860352,0
1481520860553,0
1481520860850,0.05
1481520861062,0
1481520861349,0
1481520861649,0
1481520861849,0.05
1481520862148,0
1481520862349,0
1481520862659,0
1481520862946,0
1481520863247,0
1481520863543,0
1481520863746,0
1481520863951,0
1481520864243,0
1481520864465,0
1481520864741,0.05
1481520865043,0
1481520865344,0
1481520865640,0
1481520865941,0
1481520866251,0.05
1481520866539,0
1481520866837,0.05
1481520867039,0
1481520867341,0
1481520867635,0
1481520867857,0
1481520868136,0
1481520868435,0
1481520868635,0
1481520868936,0
1481520869232,0
1481520869457,0
1481520869732,0
1481520869932,0
1481520870233,0
1481520870531,0
1481520870854,0
1481520871129,0
1481520871429,0
1481520871630,0
1481520871929,0
1481520872250,0.05
1481520872524,0
1481520872725,0
1481520872930,0
1481520873227,0
1481520873527,0
1481520873837,0
1481520874124,0
1481520874422,0
1481520874625,0
1481520874926,0
1481520875221,0
1481520875446,0
1481520875721,0
1481520876020,0
1481520876220,0
1481520876521,0
1481520876841,0
1481520877118,0
1481520877418,0
1481520877716,0.05
1481520877918,0.11
1481520878119,0
1481520878420,0
1481520878635,0
1481520878914,0
1481520879115,0
1481520879316,0
1481520879613,0
1481520879829,0
1481520880111,0
1481520880311,0
1481520880515,0
1481520880808,0
1481520881009,0
1481520881234,0
1481520881508,0
1481520881709,0
1481520882008,0
1481520882209,0
1481520882507,0
1481520882708,0
