timestamp,pressure
1482153872540,1006.93
1482153872741,1006.95
1482153872970,1006.96
1482153873353,1006.97
1482153873742,1006.99
1482153874141,1006.97
1482153874587,1006.97
1482153874938,1006.95
1482153875346,1006.94
1482153875734,1006.97
1482153875948,1006.98
1482153876167,1006.99
1482153876554,1006.99
1482153876933,1006.97
1482153877341,1006.96
1482153877560,1006.97
1482153877941,1006.97
1482153878331,1006.96
1482153878734,1006.94
1482153879152,1006.92
1482153879552,1006.93
1482153879774,1006.94
1482153880127,1006.95
1482153880327,1006.95
1482153880726,1006.97
1482153880931,1006.97
1482153881151,1006.97
1482153881525,1006.97
1482153881739,1006.96
1482153882124,1006.93
1482153882523,1006.92
1482153882729,1006.93
1482153882945,1006.93
1482153883331,1006.97
1482153883720,1006.99
1482153884142,1007
1482153884541,1006.99
1482153884749,1006.99
1482153885117,1006.99
1482153885518,1006.99
1482153885720,1006.99
1482153885948,1006.98
1482153886341,1006.97
1482153886714,1006.96
1482153886914,1006.96
1482153887114,1006.96
1482153887536,1006.98
1482153887912,1006.99
1482153888313,1006.99
1482153888514,1006.98
1482153888717,1006.98
1482153888940,1006.99
1482153889319,1006.97
1482153889708,1006.98
1482153890121,1006.99
1482153890332,1006.99
1482153890714,1007.01
1482153891106,1007.01
1482153891525,1007
1482153891927,1007
1482153892150,1006.99
1482153892501,1006.99
1482153892711,1006.99
1482153892912,1006.98
1482153893299,1006.98
1482153893514,1006.99
1482153893722,1006.99
1482153894108,1006.98
1482153894499,1006.96
1482153894895,1006.97
1482153895097,1006.98
1482153895546,1006.98
1482153895897,1006.99
1482153896105,1006.99
1482153896305,1006.99
1482153896696,1006.97
1482153896906,1006.97
1482153897126,1006.97
1482153897512,1006.99
1482153897895,1007
1482153898311,1007
1482153898522,1006.99
1482153898900,1006.99
1482153899291,1007
1482153899499,1006.99
1482153899717,1006.99
1482153900097,1006.99
1482153900487,1006.99
1482153900694,1006.99
1482153901109,1006.98
1482153901503,1006.99
1482153901884,1007
1482153902282,1007.02
1482153902494,1007.03
1482153902704,1007.02
1482153903090,1007.01
1482153903481,1007.01
1482153903889,1007
1482153904101,1007
1482153904491,1007.01
1482153904882,1007
1482153905292,1007
1482153905509,1007
1482153905887,1007.02
1482153906276,1007.01
1482153906675,1007.01
1482153907088,1006.99
1482153907294,1006.99
1482153907672,1007.03
1482153907882,1007.03
1482153908272,1007.04
1482153908673,1007.04
1482153908880,1007.03
1482153909090,1007.03
1482153909469,1007.03
1482153909680,1007.04
1482153910068,1007.03
1482153910276,1007.01
1482153910500,1007.01
1482153910867,1007.02
1482153911278,1007.03
1482153911666,1007.03
1482153911883,1007.05
1482153912095,1007.03
1482153912472,1007.02
1482153912863,1007
1482153913270,1006.98
1482153913481,1006.98
1482153913860,1006.99
1482153914060,1007
1482153914268,1007.01
1482153914659,1007
1482153914866,1007
1482153915089,1007
1482153915458,1007.02
1482153915868,1007.03
1482153916255,1007.03
1482153916463,1007.03
1482153916683,1007.01
1482153917063,1007
1482153917454,1006.99
1482153917852,1006.99
1482153918052,1006.99
1482153918260,1006.99
1482153918480,1007
1482153918869,1007.02
1482153919251,1007.02
1482153919664,1007.02
1482153920071,1006.99
1482153920285,1007
1482153920648,1006.99
1482153921058,1006.99
1482153921444,1007
1482153921680,1007
1482153922045,1007
1482153922251,1007
1482153922642,1007.01
1482153923065,1007.01
1482153923283,1007.02
1482153923640,1007.01
1482153923841,1007.01
1482153924255,1007.01
1482153924462,1007
1482153924849,1006.99
1482153925239,1006.98
1482153925638,1006.99
1482153926059,1006.99
1482153926436,1007.01
1482153926848,1007.01
1482153927233,1007.02
1482153927446,1007.03
1482153927651,1007.03
1482153927862,1007.02
1482153928274,1007.01
1482153928631,1007
1482153928834,1006.99
1482153929243,1006.99
1482153929629,1006.99
1482153929839,1006.99
1482153930059,1006.99
1482153930436,1006.98
1482153930827,1006.99
1482153931237,1006.98
1482153931448,1006.97
1482153931825,1006.99
1482153932244,1006.98
1482153932622,1007
1482153932833,1007
1482153933053,1006.99
1482153933441,1007
1482153933822,1007
1482153934234,1007
1482153934450,1007
1482153934839,1007
1482153935218,1007
1482153935625,1006.98
1482153936039,1006.98
1482153936250,1006.97
1482153936615,1006.99
1482153937023,1007.01
1482153937412,1007.01
1482153937624,1007.01
1482153938035,1007.01
1482153938412,1006.99
1482153938825,1007.01
1482153939212,1007.02
1482153939420,1007.02
1482153939634,1007.03
1482153940019,1007.02
1482153940408,1007
1482153940804,1007
1482153941006,1007
1482153941215,1007.01
1482153941430,1007.02
1482153941806,1007.03
1482153942216,1007.04
1482153942602,1007.02
1482153942808,1007.02
1482153943032,1007.01
1482153943402,1007.01
1482153943609,1007.01
1482153943811,1007.01
1482153944202,1007.01
1482153944614,1007
1482153944820,1007
1482153945201,1006.99
1482153945610,1006.99
1482153945999,1006.98
1482153946207,1006.98
1482153946427,1006.98
1482153946813,1006.99
1482153947195,1006.99
1482153947614,1006.99
1482153947815,1007
1482153948201,1006.99
1482153948591,1006.98
1482153948792,1006.99
1482153949192,1006.99
1482153949399,1006.99
1482153949618,1007
1482153949999,1006.98
1482153950390,1006.97
1482153950802,1006.97
1482153951017,1006.96
1482153951405,1006.98
1482153951786,1006.96
1482153952186,1006.97
1482153952606,1006.97
1482153952832,1006.97
1482153953183,1006.98
1482153953383,1006.98
1482153953592,1006.99
1482153953982,1006.98
1482153954192,1006.98
1482153954602,1007
1482153954823,1007
1482153955039,1007.01
1482153955389,1007.03
1482153955778,1007.01
1482153955991,1007
1482153956204,1007
1482153956577,1007
1482153956798,1006.99
1482153957175,1007
1482153957575,1006.99
1482153957972,1006.99
1482153958205,1007
1482153958572,1007.01
1482153958971,1007.02
1482153959395,1007.02
1482153959605,1007.01
1482153959979,1007.01
1482153960369,1007
1482153960793,1007.01
1482153961167,1007.01
1482153961377,1007.01
1482153961767,1007.01
1482153961968,1007.01
1482153962186,1007.02
1482153962387,1007.02
1482153962774,1007.02
1482153963162,1007.03
1482153963572,1007.03
1482153963982,1007.02
1482153964197,1007
1482153964560,1006.99
1482153964764,1006.99
1482153965172,1007
1482153965556,1007.02
1482153965765,1007.02
1482153965981,1007.02
1482153966366,1007.01
1482153966758,1007
1482153967154,1007
1482153967594,1007.02
1482153967954,1007.02
1482153968353,1007.03
1482153968752,1007.03
1482153969174,1007.02
1482153969385,1007
1482153969751,1007
1482153970175,1007
1482153970549,1007.01
1482153970750,1007.02
1482153970956,1007.03
1482153971349,1007.02
1482153971557,1007.02
1482153971775,1007.02
1482153972146,1007
1482153972556,1007.01
1482153972943,1007
1482153973153,1007.01
1482153973373,1007.01
1482153973752,1007
1482153974142,1007.01
1482153974561,1007.02
1482153974940,1007.03
1482153975353,1007.03
1482153975739,1007.01
1482153975942,1007.01
1482153976165,1007
1482153976537,1007
1482153976937,1007.01
1482153977334,1007
1482153977549,1007.01
1482153977764,1007
1482153978142,1007.01
1482153978532,1007.01
1482153978734,1007
1482153978944,1007
1482153979160,1007
1482153979531,1007.01
1482153979942,1006.99
1482153980328,1006.99
1482153980554,1006.97
1482153980929,1006.98
1482153981340,1006.99
1482153981728,1007.01
1482153981938,1007.02
1482153982157,1007.01
1482153982525,1007.02
1482153982937,1007.01
1482153983322,1007.01
1482153983535,1007
1482153983745,1006.99
1482153984122,1006.99
1482153984335,1006.99
1482153984719,1007
1482153984932,1007.01
1482153985150,1007.01
1482153985532,1007.01
1482153985920,1007.01
1482153986328,1007.01
1482153986738,1007.03
1482153986955,1007.03
1482153987317,1007.04
1482153987526,1007.03
1482153987917,1007.01
1482153988324,1007.01
1482153988734,1007.01
1482153988942,1007.01
1482153989314,1007.01
1482153989523,1007
1482153989912,1007.01
1482153990309,1007.01
1482153990719,1007
1482153990932,1007
1482153991319,1006.98
1482153991709,1006.99
1482153992107,1006.99
1482153992531,1006.98
1482153992905,1006.98
1482153993113,1006.99
1482153993502,1007
1482153993901,1007.02
1482153994322,1007.02
1482153994539,1007.01
1482153994901,1007.02
1482153995312,1007.02
1482153995700,1007.03
1482153996120,1007.05
1482153996497,1007.04
1482153996698,1007.03
1482153996910,1007.03
1482153997309,1007.01
