,Unnamed: 0,timestamp,light
0,0.0,5000.0,32.0
1,1.0,5100.0,32.0
2,2.0,5200.0,32.0
3,3.0,5300.0,32.0
4,4.0,5400.0,32.0
5,5.0,5500.0,32.0
6,6.0,5600.0,32.0
7,7.0,5700.0,32.0
8,8.0,5800.0,33.0
9,9.0,5900.0,33.0
10,10.0,6000.0,33.0
11,11.0,6100.0,33.0
12,12.0,6200.0,33.0
13,13.0,6300.0,33.0
14,14.0,6400.0,33.0
15,15.0,6500.0,33.0
16,16.0,6600.0,32.0
17,17.0,6700.0,32.0
18,18.0,6800.0,32.0
19,19.0,6900.0,33.0
20,20.0,7000.0,33.0
21,21.0,7100.0,33.0
22,22.0,7200.0,31.0
23,23.0,7300.0,31.0
24,24.0,7400.0,31.0
25,25.0,7500.0,31.0
26,26.0,7600.0,35.0
27,27.0,7700.0,35.0
28,28.0,7800.0,34.0
29,29.0,7900.0,34.0
30,15.0,6500.0,33.0
31,16.0,6600.0,32.0
32,17.0,6700.0,32.0
33,18.0,6800.0,32.0
34,19.0,6900.0,33.0
35,20.0,7000.0,33.0
36,21.0,7100.0,33.0
37,22.0,7200.0,31.0
38,23.0,7300.0,31.0
39,24.0,7400.0,31.0
40,25.0,7500.0,31.0
41,26.0,7600.0,35.0
42,27.0,7700.0,35.0
43,28.0,7800.0,34.0
44,29.0,7900.0,34.0
45,30.0,8000.0,34.0
46,31.0,8100.0,35.0
47,32.0,8200.0,35.0
48,33.0,8300.0,35.0
49,34.0,8400.0,33.0
50,35.0,8500.0,33.0
51,36.0,8600.0,33.0
52,37.0,8700.0,33.0
53,38.0,8800.0,35.0
54,39.0,8900.0,35.0
55,40.0,9000.0,35.0
56,41.0,9100.0,35.0
57,42.0,9200.0,35.0
58,43.0,9300.0,33.0
59,44.0,9400.0,33.0
60,30.0,8000.0,34.0
61,31.0,8100.0,35.0
62,32.0,8200.0,35.0
63,33.0,8300.0,35.0
64,34.0,8400.0,33.0
65,35.0,8500.0,33.0
66,36.0,8600.0,33.0
67,37.0,8700.0,33.0
68,38.0,8800.0,35.0
69,39.0,8900.0,35.0
70,40.0,9000.0,35.0
71,41.0,9100.0,35.0
72,42.0,9200.0,35.0
73,43.0,9300.0,33.0
74,44.0,9400.0,33.0
75,45.0,9500.0,32.0
76,46.0,9600.0,32.0
77,47.0,9700.0,32.0
78,48.0,9800.0,33.0
79,49.0,9900.0,33.0
80,50.0,10000.0,33.0
81,51.0,10100.0,33.0
82,52.0,10200.0,34.0
83,53.0,10300.0,34.0
84,54.0,10400.0,33.0
85,55.0,10500.0,33.0
86,56.0,10600.0,33.0
87,57.0,10700.0,32.0
88,58.0,10800.0,32.0
89,59.0,10900.0,32.0
90,45.0,9500.0,32.0
91,46.0,9600.0,32.0
92,47.0,9700.0,32.0
93,48.0,9800.0,33.0
94,49.0,9900.0,33.0
95,50.0,10000.0,33.0
96,51.0,10100.0,33.0
97,52.0,10200.0,34.0
98,53.0,10300.0,34.0
99,54.0,10400.0,33.0
100,55.0,10500.0,33.0
101,56.0,10600.0,33.0
102,57.0,10700.0,32.0
103,58.0,10800.0,32.0
104,59.0,10900.0,32.0
105,60.0,11000.0,31.0
106,61.0,11100.0,31.0
107,62.0,11200.0,31.0
108,63.0,11300.0,31.0
109,64.0,11400.0,32.0
110,65.0,11500.0,32.0
111,66.0,11600.0,30.0
112,67.0,11700.0,30.0
113,68.0,11800.0,30.0
114,69.0,11900.0,33.0
115,70.0,12000.0,33.0
116,71.0,12100.0,33.0
117,72.0,12200.0,33.0
118,73.0,12300.0,33.0
119,74.0,12400.0,33.0
120,60.0,11000.0,31.0
121,61.0,11100.0,31.0
122,62.0,11200.0,31.0
123,63.0,11300.0,31.0
124,64.0,11400.0,32.0
125,65.0,11500.0,32.0
126,66.0,11600.0,30.0
127,67.0,11700.0,30.0
128,68.0,11800.0,30.0
129,69.0,11900.0,33.0
130,70.0,12000.0,33.0
131,71.0,12100.0,33.0
132,72.0,12200.0,33.0
133,73.0,12300.0,33.0
134,74.0,12400.0,33.0
135,75.0,12500.0,33.0
136,76.0,12600.0,34.0
137,77.0,12700.0,34.0
