,Unnamed: 0,timestamp,ax,ay,az,acc_magnitude,gx,gy,gz,light,pressure,mx,my,mz,mAc,uv
0,0.0,1474472144419.0,1.765903115272522,-8.779266357421875,-3.517449140548706,9.621142346074897,-1.8922399282455444,-0.122079998254776,1.6480799913406372,43.0,1006.66,27.18,14.34,25.19,ACCURACY_BAD,0.0
1,1.0,1474472144519.0,1.765903115272522,-8.779266357421875,-3.517449140548706,9.621142346074897,-1.8922399282455444,-0.122079998254776,1.6480799913406372,43.0,1006.66,27.18,14.34,25.19,ACCURACY_BAD,0.0
2,2.0,1474472144619.0,1.765903115272522,-8.779266357421875,-3.517449140548706,9.621142346074897,-1.8922399282455444,-0.122079998254776,1.6480799913406372,43.0,1006.66,27.84,14.09,23.69,ACCURACY_BAD,0.0
3,3.0,1474472144719.0,1.8664016723632808,-8.807979583740234,-3.641876220703125,9.712220238293,-1.4039199352264404,-0.122079998254776,0.3051999807357788,43.0,1006.66,27.18,14.57,24.53,ACCURACY_BAD,0.0
4,4.0,1474472144819.0,1.8664016723632808,-8.807979583740234,-3.641876220703125,9.712220238293,-1.4039199352264404,-0.122079998254776,0.3051999807357788,41.0,1006.67,26.45,15.17,24.71,ACCURACY_BAD,0.0
5,5.0,1474472144919.0,1.8664016723632808,-8.807979583740234,-3.641876220703125,9.712220238293,-1.4039199352264404,-0.122079998254776,0.3051999807357788,41.0,1006.67,25.79,12.77,25.37,ACCURACY_BAD,0.0
6,6.0,1474472145019.0,1.8616160154342647,-8.71226692199707,-3.5509488582611084,9.59053944796806,0.244159996509552,0.6714400053024292,0.6103999614715576,43.0,1006.66,27.84,15.59,23.45,ACCURACY_BAD,0.0
7,7.0,1474472145119.0,1.8616160154342647,-8.71226692199707,-3.5509488582611084,9.59053944796806,0.244159996509552,0.6714400053024292,0.6103999614715576,43.0,1006.66,27.84,12.96,24.77,ACCURACY_BAD,0.0
8,8.0,1474472145219.0,1.8376877307891848,-8.731410026550293,-3.476771354675293,9.576145169133913,-0.7935199737548828,-0.6714400053024292,-1.0987199544906616,43.0,1006.66,27.18,12.17,25.19,ACCURACY_BAD,0.0
9,9.0,1474472145319.0,1.8376877307891848,-8.731410026550293,-3.476771354675293,9.576145169133913,-0.7935199737548828,-0.6714400053024292,-1.0987199544906616,43.0,1006.66,25.07,14.34,25.19,ACCURACY_BAD,0.0
