timestamp,light
1482902417615,54
1482902418014,15
1482902418411,33
1482902418614,20
1482902418835,12
1482902419212,12
1482902419611,14
1482902420008,18
1482902420210,20
1482902420433,23
1482902420807,26
1482902421009,25
1482902421403,25
1482902421605,25
1482902421830,25
1482902422204,25
1482902422405,25
1482902422801,23
1482902423003,21
1482902423226,21
1482902423603,21
1482902424001,21
1482902424399,20
1482902424601,21
1482902424998,22
1482902425222,22
1482902425598,23
1482902425798,23
1482902426000,23
1482902426394,23
1482902426596,25
1482902426819,25
1482902427195,31
1482902427396,33
1482902427793,34
1482902427993,33
1482902428214,35
1482902428592,33
1482902428793,33
1482902429196,33
1482902429588,32
1482902429791,32
1482902430014,32
1482902430387,31
1482902430588,33
1482902430985,30
1482902431186,31
1482902431406,30
1482902431784,30
1482902431987,30
1482902432382,31
1482902432584,30
1482902432808,30
1482902433183,30
1482902433383,30
1482902433782,30
1482902434184,27
1482902434398,27
1482902434781,21
1482902434992,35
1482902435381,41
1482902435778,33
1482902435979,28
1482902436190,28
1482902436576,26
1482902436976,24
1482902437372,26
1482902437574,28
1482902437797,30
1482902438173,29
1482902438374,29
1482902438770,29
1482902438972,29
1482902439194,30
1482902439571,30
1482902439772,30
1482902440170,29
1482902440581,29
1482902440968,27
1482902441169,29
1482902441578,25
1482902441989,23
1482902442364,23
1482902442766,23
1482902443163,23
1482902443562,24
1482902443783,23
1482902444161,24
1482902444362,25
1482902444761,25
1482902445176,23
1482902445557,23
1482902445763,23
1482902446154,22
1482902446358,23
1482902446578,23
1482902446956,23
1482902447158,22
1482902447593,23
1482902447953,23
1482902448153,23
1482902448355,23
1482902448752,24
1482902449151,24
1482902449354,23
1482902449750,24
1482902449966,24
1482902450350,25
1482902450747,36
1482902451149,31
1482902451547,28
1482902451770,28
1482902452144,29
1482902452346,29
1482902452741,30
1482902452945,30
1482902453174,30
1482902453542,30
1482902453743,30
1482902453943,30
1482902454144,30
1482902454538,30
1482902454763,30
1482902455141,30
1482902455341,30
1482902455738,31
1482902456140,31
1482902456360,31
1482902456735,30
1482902456937,30
1482902457332,30
1482902457556,29
1482902457933,30
1482902458135,30
1482902458531,30
1482902458734,30
1482902459130,32
1482902459354,32
1482902459731,31
1482902459931,30
1482902460331,31
1482902460742,32
1482902461129,32
1482902461330,31
1482902461536,33
1482902461924,34
1482902462154,33
1482902462526,33
1482902462727,32
1482902463122,32
1482902463323,34
1482902463544,31
1482902463923,26
1482902464322,36
1482902464721,30
1482902465123,32
1482902465345,33
1482902465717,33
1482902465920,32
1482902466314,33
1482902466516,32
1482902466741,33
1482902467114,35
1482902467316,35
1482902467714,34
1482902468113,33
1482902468314,33
1482902468535,33
1482902468913,32
1482902469114,33
1482902469511,33
1482902469715,34
1482902470111,33
1482902470335,34
1482902470709,36
1482902470910,36
1482902471304,35
1482902471512,35
1482902471725,36
1482902472106,35
1482902472503,36
1482902472704,35
1482902473102,36
1482902473321,36
1482902473703,36
1482902474103,36
1482902474500,29
1482902474722,27
1482902475103,28
1482902475496,29
1482902475698,29
1482902475922,28
1482902476299,33
1482902476499,43
1482902476896,41
1482902477098,36
1482902477308,33
1482902477694,35
1482902477896,36
1482902478292,38
1482902478492,38
1482902478719,37
1482902479093,36
1482902479293,36
1482902479691,34
1482902479894,33
1482902480287,33
1482902480511,33
1482902480889,32
1482902481089,31
1482902481484,31
1482902481690,30
1482902481900,30
1482902482286,31
1482902482487,30
1482902482885,31
1482902483283,30
1482902483483,30
1482902483695,30
1482902484081,30
1482902484282,30
1482902484483,30
1482902484684,30
1482902485078,31
1482902485305,29
1482902485680,30
1482902486079,30
1482902486476,32
1482902486873,30
1482902487100,31
1482902487473,30
1482902487678,31
1482902488071,32
1482902488275,30
1482902488496,31
1482902488873,30
1482902489074,25
1482902489469,41
1482902489671,41
1482902489893,36
1482902490270,24
1482902490472,26
1482902490871,31
1482902491281,30
1482902491671,31
1482902492064,25
1482902492484,22
1482902492864,20
1482902493065,20
1482902493462,20
1482902493663,20
1482902493882,19
1482902494263,18
1482902494662,20
1482902495064,19
1482902495282,20
1482902495660,20
1482902495861,20
1482902496062,19
1482902496456,18
1482902496658,18
1482902496875,19
1482902497257,19
1482902497458,18
1482902497853,18
1482902498055,18
1482902498277,18
1482902498653,17
1482902498853,18
1482902499251,10
1482902499452,25
1482902499672,22
1482902500052,34
1482902500449,23
1482902500853,30
1482902501071,30
1482902501446,30
1482902501648,29
1482902502044,26
1482902502248,27
1482902502470,28
1482902502844,26
1482902503048,27
1482902503443,25
1482902503644,27
1482902503865,26
1482902504243,25
1482902504444,25
1482902504841,25
1482902505244,25
1482902505460,25
1482902505836,25
1482902506040,25
1482902506438,24
1482902506638,24
1482902507034,23
1482902507260,23
1482902507636,25
1482902507836,23
1482902508233,25
1482902508433,23
1482902508655,23
1482902509033,24
1482902509234,23
1482902509633,23
1482902510049,24
1482902510431,24
1482902510632,25
1482902510886,25
1482902511228,24
1482902511432,24
1482902511651,23
1482902512028,38
1482902512229,42
1482902512625,28
1482902512826,23
1482902513039,22
1482902513422,23
1482902513624,26
1482902514022,28
1482902514223,29
1482902514442,30
1482902514822,30
1482902515218,30
1482902515420,29
1482902515635,25
1482902516020,21
1482902516221,21
1482902516615,22
1482902516818,21
1482902517040,21
1482902517415,22
1482902517618,23
1482902517818,23
1482902518214,22
1482902518415,22
1482902518635,21
1482902519013,23
1482902519213,21
1482902519615,22
1482902520015,22
1482902520232,22
1482902520611,21
1482902521010,21
1482902521212,21
1482902521607,21
1482902521830,21
1482902522205,21
1482902522406,21
1482902522815,20
1482902523204,21
1482902523424,21
1482902523803,21
1482902524005,21
1482902524403,21
1482902524604,23
1482902524812,22
1482902525026,23
1482902525405,24
1482902525803,27
1482902526212,23
1482902526599,40
1482902526800,41
1482902527195,33
1482902527396,24
1482902527618,26
1482902527994,31
1482902528196,33
1482902528604,33
1482902529011,30
1482902529394,22
1482902529794,22
1482902530190,23
1482902530416,23
1482902530792,22
1482902530992,23
1482902531392,21
1482902531806,23
1482902532186,22
1482902532389,21
1482902532784,21
1482902532987,20
1482902533209,20
1482902533585,23
1482902533791,24
1482902534184,23
1482902534384,21
1482902534597,21
1482902534983,20
1482902535183,19
1482902535584,18
1482902536003,17
1482902536380,19
1482902536778,20
1482902537179,20
1482902537401,18
1482902537775,20
1482902537978,15
1482902538375,14
1482902538575,11
1482902538971,18
1482902539177,37
1482902539396,43
1482902539773,32
1482902539973,32
1482902540173,32
1482902540571,32
1482902540771,33
1482902540993,33
1482902541370,33
1482902541570,31
1482902541966,26
1482902542190,28
1482902542566,25
1482902542768,25
1482902543167,23
1482902543563,23
1482902543985,21
1482902544363,21
1482902544763,20
1482902545161,20
1482902545365,20
1482902545761,21
1482902545982,19
1482902546361,18
1482902546760,20
1482902547156,20
1482902547360,19
1482902547755,38
1482902547979,46
1482902548353,36
1482902548554,30
1482902548953,35
1482902549153,32
1482902549376,20
1482902549754,16
1482902550151,18
1482902550351,19
1482902550551,20
1482902550752,23
1482902551147,29
1482902551372,34
1482902551751,38
1482902552149,38
1482902552349,36
1482902552749,30
1482902552970,32
1482902553346,30
1482902553746,28
1482902554143,27
1482902554344,29
1482902554564,29
1482902554943,27
1482902555143,28
1482902555542,28
1482902555939,28
1482902556352,28
1482902556740,29
1482902557153,25
1482902557535,22
1482902557737,16
1482902557955,16
1482902558336,18
1482902558736,20
1482902559134,18
1482902559535,10
1482902559756,10
1482902560133,32
1482902560333,36
1482902560735,20
1482902561135,36
1482902561353,37
1482902561731,22
1482902562127,14
1482902562526,14
1482902562727,15
1482902562951,15
1482902563326,16
1482902563725,18
1482902564124,18
1482902564348,18
1482902564723,20
1482902564924,20
1482902565321,18
1482902565523,16
1482902565745,15
1482902566122,16
1482902566520,17
1482902566721,19
1482902566921,20
1482902567316,20
1482902567535,20
1482902567918,18
1482902568317,37
1482902568712,36
1482902568915,23
1482902569313,36
1482902569535,36
1482902569913,35
1482902570113,20
1482902570509,15
1482902570712,16
1482902571134,21
1482902571507,21
1482902571713,21
1482902572110,22
1482902572524,22
1482902572906,23
1482902573108,22
1482902573506,21
1482902573707,23
1482902573928,21
1482902574305,21
1482902574706,22
1482902575104,16
1482902575514,28
1482902575902,43
1482902576102,43
1482902576497,25
1482902576699,21
1482902576911,25
1482902577297,39
1482902577499,39
1482902577896,38
1482902578097,40
1482902578320,39
1482902578697,41
1482902579095,40
1482902579493,38
1482902579694,36
1482902580091,37
1482902580508,41
1482902580711,40
1482902581093,41
1482902581490,25
1482902581902,18
1482902582290,15
1482902582490,18
1482902582885,21
1482902583088,22
1482902583311,26
1482902583686,32
1482902583887,33
1482902584281,30
1482902584483,28
1482902584705,27
1482902585083,21
1482902585284,18
1482902585683,7
1482902586084,7
1482902586303,10
1482902586682,25
1482902587080,26
1482902587476,23
1482902587682,18
1482902587891,16
1482902588278,15
1482902588478,25
1482902588874,30
1482902589075,30
1482902589292,30
1482902589676,27
1482902590072,36
1482902590469,38
1482902590672,37
1482902590884,37
1482902591273,39
1482902591674,37
1482902592066,38
1482902592269,36
1482902592489,36
1482902592868,38
1482902593069,37
1482902593464,38
1482902593667,37
1482902593879,33
1482902594264,21
1482902594466,18
1482902594863,17
1482902595064,15
1482902595280,21
1482902595663,40
1482902596064,36
1482902596458,30
1482902596683,35
1482902597061,39
1482902597458,38
1482902597658,36
1482902598059,33
1482902598280,33
1482902598656,30
1482902598857,28
1482902599252,22
1482902599454,16
1482902599676,18
1482902600053,15
1482902600255,16
1482902600653,15
1482902600855,15
1482902601250,14
1482902601452,15
1482902601670,15
1482902602053,20
1482902602450,33
1482902602860,28
1482902603248,35
1482902603448,37
1482902603843,34
1482902604045,30
1482902604245,23
1482902604466,21
1482902604843,19
1482902605053,18
1482902605439,20
1482902605644,20
1482902605869,19
1482902606243,21
1482902606643,21
1482902607038,18
1482902607262,12
1482902607638,32
1482902607840,39
