1418458190928	1418458200947	1									
1418907481853	1418907517361	1									
1418907539322	1418907565155	1									
1419149375212	1419149385228	1									
1419149405854	1419149415867	2									
1419152286755	1419152296789	1									
1419153172829	1419153182832	1									
1419153367302	1419153377305	1									
1419153660099	1419153670115	1									
1419156713603	1419156723604	1									
1419157565032	1419157575056	1									
1419157593632	1419157603657	3									
1419158075482	1419158085498	1									
1419388200973	1419388210974	3									
1419388250626	1419388260634	4									
1419388278890	1419388288907	4									
1419388386261	1419388506263	4									
1419388604790	1419388724818	4									
1419388758201	1419388878210	5									
1419388920735	1419389040738	5									
1419389150876	1419389270880	2									
1419389304043	1419389424070	2									
1419389460072	1419389580084	3									
1419389604685	1419389724711	3									
1419389752211	1419389872228	1									
1419389900781	1419390020788	1									
1419395695885	1419395995916	4									
1419395995975	1419396295906	4									
1419396730921	1419397030936	5									
1419473411949	1419473711976	2									
1419473840819	1419474140820	2									
1419474255292	1419474555298	2									
1419474652693	1419475068641	2									
1419475153354	1419475453372	2									
1419475544590	1419475844608	2									
1419475922516	1419476222529	2									
1419476303507	1419476603519	2									
1419476937310	1419477237311	3									
1419477307760	1419477607761	3									
1419477723586	1419478023597	1									
1419478101543	1419478401564	1									
1419479101505	1419479401509	1									
1419479526949	1419479826971	1									
1419479927806	1419480227837	1									
1419481456815	1419481756838	5									
1419482304808	1419482604809	4									
1419482678519	1419482978520	3									
1419483067350	1419483367369	1									
1419483454958	1419483754990	1									
1419483953320	1419484253345	1									
1419484850836	1419485150856	1									
1419485212497	1419485512500	1									
1419485990710	1419486290739	1									
1419582654107	1419582954118	1									
1419583063582	1419583363585	2									
1419583437639	1419583737643	2									
1419584687942	1419584987964	3									
1419585702861	1419586002864	3									
1419586245182	1419586545183	3									
1420160965719	1420161261669	4									
1420167190090	1420167489459	4									
1420167540974	1420167840480	4									
1420336353692	1420336653313	2									
1420339837284	1420340136952	5									
1420340460975	1420340760665	5									
1420340782147	1420341081875	4									
1420341160168	1420341459913	3									
1420341579260	1420341878917	2									
