,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
96,9.196574687957764,1.1132208585739136,-2.8275187174479166,9.687928717876515,0.010069376058160327,0.012040219087566922,0.029056179070831058,0.004765008021315958,-0.004759325687195044,0.012007565596385203,-0.008439204863325077,0.005781912159859701,-0.0009820525224368013,0.002435906012721037,0.6726892784485302,0.6852021691710973,0.8295770984712787,0.565807456186046,3.1075741566885795,3.0439034585643294,3.0371885538917254,3.1568018809597707
97,9.205348364512126,1.1458429972330728,-2.8236104170481364,9.697429292714967,0.0036797258574948984,0.006615922477418997,0.009535096172368546,0.003315833876811691,0.0011795146292097416,0.002049961772612634,0.000656046430913264,0.0030420873303365395,0.0017179985472543556,-0.0007501507379118318,0.51414203081108,0.5882123453862708,0.637170131675427,0.49738477587359914,3.083965876795564,3.052851282702048,3.062067042226115,3.1153754757736656
98,9.271390215555828,1.1960125048955281,-2.7243082761764525,9.737641770921329,0.004858976798047614,0.006977762735168555,0.003826959473498808,0.004605870547146993,0.0034735177752072952,0.0019811834781319647,-0.00032155998536099935,0.004503083015313169,0.004259228404898634,0.000762880245863301,0.5468988897199127,0.6062997952852576,0.5402875304520793,0.5331435871677348,3.1075299457712737,3.1288881535474737,3.1795179178553092,3.049741163655003
99,9.277930609385173,1.2315857927004497,-2.7038097540537516,9.742621368985256,0.006583502818133035,0.0077079036877912305,0.0055524435935755045,0.008170750847127749,0.0025718907937047637,-0.0015608024945312257,-0.003343104628694999,0.007010856096731639,0.004357426272586221,-0.0034519796603760355,0.5635970252483303,0.63130966070387,0.5647346822719866,0.6069558455413286,2.9396178107601445,3.154995027967158,3.0809797354410837,3.015231774990317
100,9.209336217244466,1.2670793056488037,-2.727339227994283,9.688448907299083,0.006410274633108438,0.005963204979513906,0.005967028975086575,0.007685919897103698,-4.0621433651785125e-05,-0.0022129206112937562,-0.002555832243818322,0.006698074301631712,0.0014469967596811735,-0.004089944366366254,0.6008603164012465,0.5936704539379791,0.6042802085676902,0.6302384415399457,3.1453535431240907,3.1520004156161,3.1999818818474863,3.1521320442502625
101,9.184610335032145,1.2999407370885214,-2.739462900161743,9.672547250718072,0.0028010207958896107,0.006003559024253034,0.0014806550102877834,0.0034572248066662373,0.00040530669516347884,-0.001047115783689915,-0.0003022829765302115,0.0030161665859488747,0.001289499299175494,-0.0014562753896728915,0.5007270688598061,0.6050574602557267,0.4329422557705353,0.5261669124063302,3.1997169739583198,3.1767968832985054,3.242159467929993,3.194170010405749
102,9.202795855204265,1.3138988892237344,-2.7172096331914264,9.685398987081756,0.0015620928374704645,0.005197404410929312,0.0012587139985509757,0.001869758225073003,0.0002211404834628139,-0.0003060254608446863,-0.00042987397951259657,0.0016028230558184032,0.0010497583689175782,-0.0007072316606942951,0.4240364399307,0.5734621322897681,0.405751425481049,0.4386944905667558,3.160513476202416,3.1675699037550533,3.1818690435710697,3.154088887010389
103,9.233424123128255,1.304327627023061,-2.6667210976282756,9.699238263894774,0.0018710414983730771,0.004348042625449976,0.002392801033565623,0.0019602736928927716,4.1382171382630965e-05,0.0001550297871170099,-0.0009819597611586794,0.0017475011860838875,0.0008948508990538907,-0.0006356497757749253,0.437055316671155,0.5550329571255644,0.4655313123712713,0.45178348420727643,3.103681325232843,3.1797801555526273,3.11039362092961,3.1589934386921845
104,9.257990455627441,1.2808779756228128,-2.638964358965556,9.711905024992808,0.002728893966634823,0.0037975158661535326,0.0029977461885832414,0.0033889887809442076,0.0016312781863619,-0.0003432000536483001,-0.0004963899974896211,0.0029106953676437362,0.0021976332084579077,-0.0011972119053890692,0.4965435929955411,0.5456065881137605,0.5086190641605884,0.5051627742775826,3.170720777906873,3.219175137832698,3.185441100053466,3.0878323186095633
105,9.238688214619954,1.2472986777623494,-2.640798870722453,9.689596815497492,0.004371577361619563,0.0023146966461243717,0.0036760324910806693,0.004823838100670043,0.002161511891532521,-9.339148802462063e-05,0.0005654655833479487,0.004472999798538684,0.002206546462358004,-0.0010108813814883335,0.5720937936281616,0.45334189727152685,0.5401595794664484,0.5886108690935543,3.2477235362458523,3.0856925877239223,3.212749812755944,3.258355392021497
106,9.224012247721355,1.1873185833295186,-2.692962368329366,9.682701266792872,0.0028220191282898534,0.005185575626456897,0.0060259660144298425,0.003140312202630955,-0.000827086004369955,-0.000800936587739156,0.0032402092518715006,0.002821759696265005,-0.0010632266530330278,-0.0020491732702539274,0.46802515030445163,0.5669274390579787,0.5669734578941397,0.49752439915678054,3.0484256338782387,3.1207848968666014,3.0244881328287665,3.1159746549021046
107,9.23485968907674,1.1637094060579936,-2.7461627165476483,9.704919040160428,0.003933143276153866,0.004173502501222174,0.002470824265844184,0.003138658012543824,-0.0014266606764382515,0.0006776029876122093,2.381851372859832e-05,0.0033852224466633537,-0.0008672557964608039,-5.503011017649317e-05,0.5276685274978415,0.5326120700428291,0.48638151623132264,0.5185331008421156,3.136533869534774,3.1357186723804116,3.1978168071234827,3.2272341613905273
108,9.225128777821858,1.193380387624105,-2.726382040977478,9.693617502371588,0.00422564549961715,0.0024090706235259463,0.0029893915151054926,0.0035170056134156357,-0.00010175070942855927,0.0011384156277683796,-0.0005508839647487084,0.0036954142406595055,0.0003554261215452382,0.0001764289392268528,0.5457509784044194,0.46696471982282534,0.47221557804248676,0.5219940474840218,3.165372219178921,3.0998504363371886,3.0259982748781677,3.1741603450219635
109,9.201041348775227,1.3351152658462524,-2.793779977162679,9.711127770624925,0.013235213046456267,0.03557196692635705,0.032681589535434444,0.02034945056996422,-0.006529293385775098,-0.01396146664874532,0.009919587366785994,0.01566170592827642,-0.0038862664900980093,-0.02105745034710154,0.6937112554458478,0.9058730885122955,0.9105360501168785,0.7835488161778781,3.0513173817654526,3.1213131981108937,3.147881484504233,3.068156393516797
