,Unnamed: 0,timestamp,grx,gry,grz
1757,980.0,103000.0,5.107672214508057,-8.348333358764647,0.6224415898323059
1758,981.0,103100.0,5.01964807510376,-8.396858215332031,0.6828729510307312
1759,982.0,103200.0,5.01964807510376,-8.396858215332031,0.6828729510307312
1760,973.0,102300.0,5.161180019378662,-8.316401481628418,0.6083511114120483
1761,974.0,102400.0,5.136529445648193,-8.328594207763674,0.6488362550735474
1762,975.0,102500.0,5.136529445648193,-8.328594207763674,0.6488362550735474
1763,976.0,102600.0,5.13209342956543,-8.329258918762207,0.674866795539856
1764,977.0,102700.0,5.07904863357544,-8.356245040893555,0.7394686937332153
1765,978.0,102800.0,5.07904863357544,-8.356245040893555,0.7394686937332153
1766,979.0,102900.0,5.107672214508057,-8.348333358764647,0.6224415898323059
1767,980.0,103000.0,5.107672214508057,-8.348333358764647,0.6224415898323059
1768,981.0,103100.0,5.01964807510376,-8.396858215332031,0.6828729510307312
1769,982.0,103200.0,5.01964807510376,-8.396858215332031,0.6828729510307312
1770,983.0,103300.0,4.983661651611328,-8.398044586181639,0.8979600667953491
1771,984.0,103400.0,4.983661651611328,-8.398044586181639,0.8979600667953491
1772,985.0,103500.0,4.959843158721924,-8.402030944824219,0.9880495071411132
1773,986.0,103600.0,4.86812686920166,-8.473649978637695,0.8179238438606262
1774,987.0,103700.0,4.86812686920166,-8.473649978637695,0.8179238438606262
1775,988.0,103800.0,4.736794948577881,-8.552075386047362,0.7714531421661377
1776,989.0,103900.0,4.736794948577881,-8.552075386047362,0.7714531421661377
1777,990.0,104000.0,4.620627880096436,-8.629579544067383,0.5920628309249878
1778,991.0,104100.0,4.620627880096436,-8.629579544067383,0.5920628309249878
1779,992.0,104200.0,4.574448108673097,-8.674365043640138,-0.014599603600800037
1780,983.0,103300.0,4.983661651611328,-8.398044586181639,0.8979600667953491
1781,984.0,103400.0,4.983661651611328,-8.398044586181639,0.8979600667953491
1782,985.0,103500.0,4.959843158721924,-8.402030944824219,0.9880495071411132
1783,986.0,103600.0,4.86812686920166,-8.473649978637695,0.8179238438606262
1784,987.0,103700.0,4.86812686920166,-8.473649978637695,0.8179238438606262
1785,988.0,103800.0,4.736794948577881,-8.552075386047362,0.7714531421661377
1786,989.0,103900.0,4.736794948577881,-8.552075386047362,0.7714531421661377
1787,990.0,104000.0,4.620627880096436,-8.629579544067383,0.5920628309249878
1788,991.0,104100.0,4.620627880096436,-8.629579544067383,0.5920628309249878
1789,992.0,104200.0,4.574448108673097,-8.674365043640138,-0.014599603600800037
1790,993.0,104300.0,4.574448108673097,-8.674365043640138,-0.014599603600800037
1791,994.0,104400.0,4.434213638305664,-8.734145164489746,-0.4720399975776672
1792,995.0,104500.0,4.422914505004883,-8.751401901245117,0.14553894102573395
1793,996.0,104600.0,4.422914505004883,-8.751401901245117,0.14553894102573395
1794,997.0,104700.0,4.264205455780028,-8.823066711425781,0.374796599149704
1795,998.0,104800.0,4.264205455780028,-8.823066711425781,0.374796599149704
1796,999.0,104900.0,4.288454532623291,-8.812385559082031,0.3483779728412628
1797,1000.0,105000.0,4.288454532623291,-8.812385559082031,0.3483779728412628
1798,1001.0,105100.0,4.323653221130371,-8.775491714477539,0.6834826469421387
1799,1002.0,105200.0,4.323653221130371,-8.775491714477539,0.6834826469421387
1800,993.0,104300.0,4.574448108673097,-8.674365043640138,-0.014599603600800037
