,timestamp,pressure
0,5000.0,1001.03
1,5100.0,1001.03
2,5200.0,1001.03
17,6700.0,1001.06
18,6800.0,1001.05
19,6900.0,1001.05
20,7000.0,1001.04
21,7100.0,1001.04
22,7200.0,1001.03
23,7300.0,1001.03
24,7400.0,1001.03
2078,212800.0,1001.05
2079,212900.0,1001.05
2080,213000.0,1001.03
2081,213100.0,1001.03
2082,213200.0,1001.03
2083,213300.0,1001.03
39,8900.0,1001.01
40,9000.0,1001.01
41,9100.0,1001.01
42,9200.0,1001.01
53,10300.0,1001.03
54,10400.0,1001.03
55,10500.0,1001.02
56,10600.0,1001.03
2105,215500.0,1000.98
2106,215600.0,1000.97
2107,215700.0,1000.97
2108,215800.0,1000.96
2119,216900.0,1001.03
2120,217000.0,1001.03
2121,217100.0,1001.06
2122,217200.0,1001.08
75,12500.0,1001.04
76,12600.0,1001.05
77,12700.0,1001.05
78,12800.0,1001.06
79,12900.0,1001.06
80,13000.0,1001.06
81,13100.0,1001.07
82,13200.0,1001.07
83,13300.0,1001.07
84,13400.0,1001.05
85,13500.0,1001.05
2125,217500.0,1001.07
2126,217600.0,1001.08
2127,217700.0,1001.08
2128,217800.0,1001.07
2129,217900.0,1001.07
2130,218000.0,1001.06
110,16000.0,1001.05
111,16100.0,1001.05
112,16200.0,1001.04
113,16300.0,1001.04
2170,222000.0,1001.04
2171,222100.0,1001.04
2172,222200.0,1001.03
2173,222300.0,1001.03
132,18200.0,1001.06
133,18300.0,1001.06
134,18400.0,1001.06
135,18500.0,1001.06
136,18600.0,1001.07
137,18700.0,1001.07
138,18800.0,1001.07
139,18900.0,1001.07
140,19000.0,1001.07
141,19100.0,1001.06
142,19200.0,1001.05
143,19300.0,1001.05
167,21700.0,1001.08
168,21800.0,1001.09
169,21900.0,1001.09
170,22000.0,1001.09
171,22100.0,1001.09
172,22200.0,1001.09
2224,227400.0,1001.02
2225,227500.0,1001.02
2226,227600.0,1001.01
2227,227700.0,1001.01
2253,230300.0,1000.92
2254,230400.0,1000.95
2255,230500.0,1000.95
2256,230600.0,1000.99
2284,233400.0,1001.07
2285,233500.0,1001.07
2286,233600.0,1001.06
239,28900.0,1001.05
240,29000.0,1001.06
241,29100.0,1001.06
242,29200.0,1001.07
2287,233700.0,1001.06
260,31000.0,1001.03
261,31100.0,1001.03
262,31200.0,1001.03
263,31300.0,1001.03
303,35300.0,1001.04
304,35400.0,1001.04
305,35500.0,1001.04
306,35600.0,1001.05
322,37200.0,1001.05
323,37300.0,1001.05
324,37400.0,1001.03
325,37500.0,1001.03
2383,243300.0,1001.1
2384,243400.0,1001.12
2385,243500.0,1001.12
