,timestamp,mx,my,mz
0,5000.0,-20.631000518798828,-1.805999994277954,-27.375
1,5100.0,-20.631000518798828,-1.805999994277954,-27.375
2,5200.0,-20.631000518798828,-1.805999994277954,-27.375
17,6700.0,-19.628000259399414,-2.505000114440918,-26.336000442504886
18,6800.0,-19.628000259399414,-2.505000114440918,-26.336000442504886
19,6900.0,-19.628000259399414,-2.505000114440918,-26.336000442504886
20,7000.0,-19.937000274658203,-2.505000114440918,-26.336000442504886
21,7100.0,-19.937000274658203,-2.505000114440918,-26.336000442504886
22,7200.0,-19.937000274658203,-2.505000114440918,-26.336000442504886
23,7300.0,-19.937000274658203,-2.505000114440918,-26.336000442504886
24,7400.0,-19.937000274658203,-2.505000114440918,-26.336000442504886
2078,212800.0,-18.628999710083008,-0.30300000309944153,-26.058000564575195
2079,212900.0,-18.628999710083008,-0.30300000309944153,-26.058000564575195
2080,213000.0,-18.628999710083008,-0.30300000309944153,-26.058000564575195
2081,213100.0,-18.628999710083008,-0.30300000309944153,-26.37400054931641
2082,213200.0,-18.628999710083008,-0.30300000309944153,-26.37400054931641
2083,213300.0,-18.327999114990234,-0.30300000309944153,-26.37400054931641
39,8900.0,-19.93099975585937,-2.2039999961853027,-26.32699966430664
40,9000.0,-19.93099975585937,-2.2039999961853027,-26.32699966430664
41,9100.0,-19.618000030517575,-2.2039999961853027,-26.32699966430664
42,9200.0,-19.618000030517575,-2.2039999961853027,-26.32699966430664
53,10300.0,-19.618000030517575,-2.2039999961853027,-26.32699966430664
54,10400.0,-19.618000030517575,-2.2039999961853027,-26.32699966430664
55,10500.0,-19.920000076293945,-2.2039999961853027,-26.32699966430664
56,10600.0,-19.920000076293945,-2.2039999961853027,-26.32699966430664
2105,215500.0,-18.631999969482425,-0.3089999854564667,-26.0939998626709
2106,215600.0,-18.631999969482425,-0.3089999854564667,-26.0939998626709
2107,215700.0,-18.631999969482425,-0.3089999854564667,-26.0939998626709
2108,215800.0,-18.631999969482425,-0.3089999854564667,-26.0939998626709
2119,216900.0,-18.631999969482425,-0.3089999854564667,-26.0939998626709
2120,217000.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2121,217100.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2122,217200.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
75,12500.0,-20.222999572753906,-2.2039999961853027,-26.32699966430664
76,12600.0,-20.222999572753906,-2.2039999961853027,-26.32699966430664
77,12700.0,-20.222999572753906,-2.2039999961853027,-26.32699966430664
78,12800.0,-20.222999572753906,-2.2039999961853027,-26.32699966430664
79,12900.0,-20.222999572753906,-2.2039999961853027,-26.32699966430664
80,13000.0,-19.917999267578125,-2.2039999961853027,-26.663000106811523
81,13100.0,-19.917999267578125,-2.2039999961853027,-26.663000106811523
82,13200.0,-19.917999267578125,-2.2039999961853027,-26.663000106811523
83,13300.0,-19.917999267578125,-2.2039999961853027,-26.663000106811523
84,13400.0,-19.917999267578125,-2.2039999961853027,-26.663000106811523
85,13500.0,-19.917999267578125,-2.2039999961853027,-26.663000106811523
2125,217500.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2126,217600.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2127,217700.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2128,217800.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2129,217900.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
2130,218000.0,-18.320999145507812,-0.3089999854564667,-26.0939998626709
110,16000.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
111,16100.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
112,16200.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
113,16300.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
2170,222000.0,-18.312000274658203,0.001000000047497451,-25.76499938964844
2171,222100.0,-18.312000274658203,0.001000000047497451,-25.76499938964844
2172,222200.0,-18.312000274658203,0.001000000047497451,-25.76499938964844
2173,222300.0,-18.312000274658203,0.001000000047497451,-25.76499938964844
132,18200.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
133,18300.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
134,18400.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
135,18500.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
136,18600.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
137,18700.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
138,18800.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
139,18900.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
140,19000.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
141,19100.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
142,19200.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
143,19300.0,-19.91699981689453,-2.2039999961853027,-26.358999252319336
167,21700.0,-19.91699981689453,-1.89900004863739,-26.358999252319336
168,21800.0,-19.91699981689453,-1.89900004863739,-26.358999252319336
169,21900.0,-19.91699981689453,-1.89900004863739,-26.358999252319336
170,22000.0,-19.91699981689453,-1.89900004863739,-26.358999252319336
171,22100.0,-19.91699981689453,-1.89900004863739,-26.358999252319336
172,22200.0,-19.91699981689453,-1.89900004863739,-26.358999252319336
2224,227400.0,-18.584999084472656,-0.29899999499320984,-25.763999938964844
2225,227500.0,-18.584999084472656,-0.29899999499320984,-26.114999771118164
2226,227600.0,-18.905000686645508,-0.29899999499320984,-26.114999771118164
2227,227700.0,-18.905000686645508,0.020999999716877937,-26.114999771118164
2253,230300.0,-18.562000274658203,0.020999999716877937,-26.10400009155273
2254,230400.0,-18.562000274658203,0.020999999716877937,-26.10400009155273
2255,230500.0,-18.562000274658203,0.020999999716877937,-26.10400009155273
2256,230600.0,-18.562000274658203,0.020999999716877937,-26.10400009155273
2284,233400.0,-18.86899948120117,0.020999999716877937,-25.79800033569336
2285,233500.0,-18.86899948120117,0.020999999716877937,-25.79800033569336
2286,233600.0,-18.86899948120117,0.020999999716877937,-25.79800033569336
239,28900.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
240,29000.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
241,29100.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
242,29200.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
2287,233700.0,-18.86899948120117,0.020999999716877937,-25.79800033569336
260,31000.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
261,31100.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
262,31200.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
263,31300.0,-19.58699989318848,-1.8849999904632568,-26.382999420166016
303,35300.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
304,35400.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
305,35500.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
306,35600.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
322,37200.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
323,37300.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
324,37400.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
325,37500.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
2383,243300.0,-18.86899948120117,0.012000000104308128,-26.12700080871582
2384,243400.0,-18.86899948120117,0.012000000104308128,-26.12700080871582
2385,243500.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2386,243600.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2387,243700.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2388,243800.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2389,243900.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2390,244000.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2391,244100.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2392,244200.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2393,244300.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
346,39600.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
347,39700.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
348,39800.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
349,39900.0,-19.586000442504886,-1.8849999904632568,-26.382999420166016
2394,244400.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2395,244500.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
2396,244600.0,-18.86899948120117,0.32899999618530273,-26.12700080871582
375,42500.0,-19.589000701904297,-1.5759999752044678,-26.08300018310547
376,42600.0,-19.589000701904297,-1.5759999752044678,-26.08300018310547
377,42700.0,-19.589000701904297,-1.5759999752044678,-26.08300018310547
378,42800.0,-19.589000701904297,-1.5759999752044678,-26.08300018310547
2431,248100.0,-18.53899955749512,0.32899999618530273,-26.13599967956543
2432,248200.0,-18.53899955749512,0.32899999618530273,-26.13599967956543
2433,248300.0,-18.53899955749512,0.32899999618530273,-26.13599967956543
2434,248400.0,-18.53899955749512,0.32899999618530273,-26.13599967956543
2435,248500.0,-18.53899955749512,0.32899999618530273,-26.13599967956543
400,45000.0,-19.589000701904297,-1.5759999752044678,-26.39900016784668
401,45100.0,-19.589000701904297,-1.5759999752044678,-26.39900016784668
402,45200.0,-19.589000701904297,-1.5759999752044678,-26.39900016784668
