,timestamp,uv
0,5000.0,0.0
1,5100.0,0.0
2,5200.0,0.0
17,6700.0,0.11
18,6800.0,0.11
19,6900.0,0.0
20,7000.0,0.0
21,7100.0,0.11
22,7200.0,0.0
23,7300.0,0.0
24,7400.0,0.0
2078,212800.0,0.05
2079,212900.0,0.0
2080,213000.0,0.05
2081,213100.0,0.0
2082,213200.0,0.0
2083,213300.0,0.0
39,8900.0,0.11
40,9000.0,0.0
41,9100.0,0.0
42,9200.0,0.0
53,10300.0,0.11
54,10400.0,0.0
55,10500.0,0.0
56,10600.0,0.0
2105,215500.0,0.05
2106,215600.0,0.0
2107,215700.0,0.0
2108,215800.0,0.0
2119,216900.0,0.05
2120,217000.0,0.0
2121,217100.0,0.0
2122,217200.0,0.0
75,12500.0,0.11
76,12600.0,0.0
77,12700.0,0.0
78,12800.0,0.0
79,12900.0,0.0
80,13000.0,0.0
81,13100.0,0.05
82,13200.0,0.05
83,13300.0,0.0
84,13400.0,0.0
85,13500.0,0.0
2125,217500.0,0.0
2126,217600.0,0.0
2127,217700.0,0.05
2128,217800.0,0.0
2129,217900.0,0.0
2130,218000.0,0.0
110,16000.0,0.11
111,16100.0,0.0
112,16200.0,0.0
113,16300.0,0.0
2170,222000.0,0.05
2171,222100.0,0.0
2172,222200.0,0.0
2173,222300.0,0.0
132,18200.0,0.05
133,18300.0,0.0
134,18400.0,0.0
135,18500.0,0.0
136,18600.0,0.0
137,18700.0,0.0
138,18800.0,0.0
139,18900.0,0.0
140,19000.0,0.05
141,19100.0,0.0
142,19200.0,0.0
143,19300.0,0.0
167,21700.0,0.11
168,21800.0,0.0
169,21900.0,0.05
170,22000.0,0.0
171,22100.0,0.0
172,22200.0,0.0
2224,227400.0,0.11
2225,227500.0,0.0
2226,227600.0,0.0
2227,227700.0,0.0
2253,230300.0,0.05
2254,230400.0,0.0
2255,230500.0,0.0
2256,230600.0,0.0
2284,233400.0,0.05
2285,233500.0,0.0
2286,233600.0,0.0
239,28900.0,0.11
240,29000.0,0.0
241,29100.0,0.0
242,29200.0,0.0
2287,233700.0,0.0
260,31000.0,0.05
261,31100.0,0.0
262,31200.0,0.0
263,31300.0,0.0
303,35300.0,0.05
304,35400.0,0.0
305,35500.0,0.0
306,35600.0,0.0
322,37200.0,0.11
323,37300.0,0.0
324,37400.0,0.0
325,37500.0,0.0
2383,243300.0,0.11
2384,243400.0,0.0
2385,243500.0,0.0
2386,243600.0,0.0
2387,243700.0,0.0
2388,243800.0,0.0
2389,243900.0,0.0
2390,244000.0,0.0
2391,244100.0,0.0
2392,244200.0,0.0
2393,244300.0,0.05
346,39600.0,0.11
347,39700.0,0.0
348,39800.0,0.0
349,39900.0,0.0
2394,244400.0,0.0
2395,244500.0,0.0
2396,244600.0,0.0
375,42500.0,0.05
376,42600.0,0.0
377,42700.0,0.0
378,42800.0,0.0
2431,248100.0,0.05
2432,248200.0,0.05
2433,248300.0,0.0
2434,248400.0,0.0
2435,248500.0,0.0
400,45000.0,0.05
401,45100.0,0.0
402,45200.0,0.0
403,45300.0,0.0
437,48700.0,0.05
438,48800.0,0.0
439,48900.0,0.0
440,49000.0,0.0
441,49100.0,0.0
2123,217300.0,0.0
442,49200.0,0.0
2492,254200.0,0.0
2493,254300.0,0.0
2494,254400.0,0.0
2491,254100.0,0.16
443,49300.0,0.0
444,49400.0,0.0
445,49500.0,0.0
446,49600.0,0.0
447,49700.0,0.05
448,49800.0,0.0
449,49900.0,0.0
