,timestamp,lax,lay,laz
0,5000.0,0.008329391479492188,0.14859485626220706,-0.3049125671386719
1,5100.0,0.008329391479492188,0.14859485626220706,-0.3049125671386719
2,5200.0,0.008329391479492188,0.14859485626220706,-0.3049125671386719
17,6700.0,0.21288061141967773,0.2900683879852295,-0.10219097137451172
18,6800.0,0.21288061141967773,0.2900683879852295,-0.10219097137451172
19,6900.0,0.12113714218139647,0.25729548931121826,-0.1495513916015625
20,7000.0,0.12113714218139647,0.25729548931121826,-0.1495513916015625
21,7100.0,0.14067554473876953,0.2995798587799072,-0.2081003189086914
22,7200.0,0.14067554473876953,0.2995798587799072,-0.2081003189086914
23,7300.0,0.14206218719482422,0.247589111328125,-0.14187145233154294
24,7400.0,0.13282251358032227,0.17741405963897705,-0.16756582260131836
2078,212800.0,0.1731414794921875,0.053446352481842034,-0.16541385650634766
2079,212900.0,0.1731414794921875,0.053446352481842034,-0.16541385650634766
2080,213000.0,0.22122621536254886,-0.028320968151092533,-0.13360881805419922
2081,213100.0,0.22122621536254886,-0.028320968151092533,-0.13360881805419922
2082,213200.0,0.16475820541381836,0.0599702000617981,-0.21802663803100586
2083,213300.0,0.16475820541381836,0.0599702000617981,-0.21802663803100586
39,8900.0,0.1400294303894043,0.11948621273040773,-0.2095489501953125
40,9000.0,0.1400294303894043,0.11948621273040773,-0.2095489501953125
41,9100.0,0.13852739334106445,0.026595234870910645,-0.10294675827026367
42,9200.0,0.17623472213745114,0.07236063480377197,-0.14641523361206055
53,10300.0,0.12718820571899414,0.053197264671325684,-0.2334690093994141
54,10400.0,0.12718820571899414,0.053197264671325684,-0.2334690093994141
55,10500.0,0.1333317756652832,0.08056986331939697,-0.18245887756347656
56,10600.0,0.1333317756652832,0.08056986331939697,-0.18245887756347656
2105,215500.0,0.19799280166625974,0.05231380462646485,-0.1621561050415039
2106,215600.0,0.19799280166625974,0.05231380462646485,-0.1621561050415039
2107,215700.0,0.2015080451965332,0.07536298036575317,-0.16758394241333008
2108,215800.0,0.2015080451965332,0.07536298036575317,-0.16758394241333008
2119,216900.0,0.21935606002807614,0.14364421367645264,-0.1806621551513672
2120,217000.0,0.17093801498413086,0.058143556118011475,-0.2441282272338867
2121,217100.0,0.25690603256225586,0.16174477338790896,-0.08873224258422853
2122,217200.0,0.25690603256225586,0.16174477338790896,-0.08873224258422853
75,12500.0,-0.1390986442565918,0.051871061325073235,-0.4685635566711426
