,timestamp,grx,gry,grz
0,5000.0,-6.2215633392333975,-1.673078536987305,7.393465995788574
1,5100.0,-6.2215633392333975,-1.673078536987305,7.393465995788574
2,5200.0,-6.2215633392333975,-1.673078536987305,7.393465995788574
17,6700.0,-6.299856662750244,-1.4191113710403442,7.380265235900879
18,6800.0,-6.299856662750244,-1.4191113710403442,7.380265235900879
19,6900.0,-6.2941527366638175,-1.3896055221557615,7.390739440917969
20,7000.0,-6.2941527366638175,-1.3896055221557615,7.390739440917969
21,7100.0,-6.296980381011963,-1.3634166717529297,7.393208503723144
22,7200.0,-6.296980381011963,-1.3634166717529297,7.393208503723144
23,7300.0,-6.302153587341309,-1.333276391029358,7.394296646118164
24,7400.0,-6.3029417991638175,-1.3082205057144165,7.398098468780518
2078,212800.0,-6.472981452941895,-0.8976622819900513,7.311983108520508
2079,212900.0,-6.472981452941895,-0.8976622819900513,7.311983108520508
2080,213000.0,-6.478271484375,-0.8926140666007996,7.3079161643981925
2081,213100.0,-6.478271484375,-0.8926140666007996,7.3079161643981925
2082,213200.0,-6.468297004699707,-0.9018263816833496,7.315615177154541
2083,213300.0,-6.468297004699707,-0.9018263816833496,7.315615177154541
39,8900.0,-6.324450969696045,-1.1842323541641235,7.400627613067628
40,9000.0,-6.324450969696045,-1.1842323541641235,7.400627613067628
41,9100.0,-6.32784366607666,-1.1741321086883545,7.399336814880371
42,9200.0,-6.324545860290527,-1.1734178066253662,7.40226936340332
53,10300.0,-6.321409225463867,-1.1349709033966064,7.410938739776611
54,10400.0,-6.321409225463867,-1.1349709033966064,7.410938739776611
55,10500.0,-6.3263750076293945,-1.1323837041854858,7.407095909118652
56,10600.0,-6.3263750076293945,-1.1323837041854858,7.407095909118652
2105,215500.0,-6.469422340393066,-0.95248281955719,7.308197021484375
2106,215600.0,-6.469422340393066,-0.95248281955719,7.308197021484375
2107,215700.0,-6.466611385345459,-0.9435554146766664,7.311841011047362
2108,215800.0,-6.466611385345459,-0.9435554146766664,7.311841011047362
2119,216900.0,-6.46755313873291,-0.920693576335907,7.313923835754394
2120,217000.0,-6.4388933181762695,-0.9840090274810792,7.3309454917907715
2121,217100.0,-6.4533233642578125,-0.9829039573669434,7.3183956146240225
2122,217200.0,-6.4533233642578125,-0.9829039573669434,7.3183956146240225
75,12500.0,-6.064620018005371,-1.091294527053833,7.62888240814209
76,12600.0,-6.064620018005371,-1.091294527053833,7.62888240814209
77,12700.0,-6.031956195831299,-1.0035662651062012,7.666730880737305
78,12800.0,-6.00590181350708,-0.9339520335197448,7.695925235748291
79,12900.0,-6.00590181350708,-0.9339520335197448,7.695925235748291
80,13000.0,-5.974658012390138,-0.882800817489624,7.726223468780518
81,13100.0,-5.974658012390138,-0.882800817489624,7.726223468780518
82,13200.0,-5.945993423461914,-0.8121387958526611,7.756028652191162
83,13300.0,-5.945993423461914,-0.8121387958526611,7.756028652191162
84,13400.0,-5.913219451904298,-0.7282397747039795,7.789344787597656
85,13500.0,-5.913219451904298,-0.7282397747039795,7.789344787597656
2125,217500.0,-6.486372470855713,-1.0581498146057131,7.278577327728271
2126,217600.0,-6.486372470855713,-1.0581498146057131,7.278577327728271
2127,217700.0,-6.538585662841798,-1.0635671615600586,7.2309136390686035
2128,217800.0,-6.538585662841798,-1.0635671615600586,7.2309136390686035
2129,217900.0,-6.552733421325684,-0.9612918496131896,7.2324256896972665
2130,218000.0,-6.494391441345215,-0.9467957019805908,7.286758899688722
110,16000.0,-5.7133445739746085,0.30252954363822937,7.964706897735597
111,16100.0,-5.703835487365723,0.35132309794425964,7.969517707824707
112,16200.0,-5.703835487365723,0.35132309794425964,7.969517707824707
113,16300.0,-5.708305358886719,0.38560032844543457,7.964731693267822
2170,222000.0,-6.5093421936035165,-0.8380830883979797,7.286731719970702
2171,222100.0,-6.5093421936035165,-0.8380830883979797,7.286731719970702
2172,222200.0,-6.515620231628418,-0.816188395023346,7.28360652923584
2173,222300.0,-6.515620231628418,-0.816188395023346,7.28360652923584
132,18200.0,-5.6806817054748535,0.6298378109931946,7.968911647796631
133,18300.0,-5.6806817054748535,0.6298378109931946,7.968911647796631
134,18400.0,-5.698100090026856,0.6330614686012268,7.956209659576416
135,18500.0,-5.698100090026856,0.6330614686012268,7.956209659576416
136,18600.0,-5.682643413543701,0.6418547034263611,7.966553211212157
137,18700.0,-5.682643413543701,0.6418547034263611,7.966553211212157
138,18800.0,-5.673277378082275,0.6354358196258545,7.973740100860597
139,18900.0,-5.673277378082275,0.6354358196258545,7.973740100860597
140,19000.0,-5.67728328704834,0.6314490437507629,7.971205234527588
141,19100.0,-5.690559387207031,0.6311495304107666,7.9617576599121085
142,19200.0,-5.690559387207031,0.6311495304107666,7.9617576599121085
143,19300.0,-5.711734294891357,0.5961194038391113,7.949284076690674
167,21700.0,-5.890063285827638,0.2107362151145935,7.837928771972656
168,21800.0,-5.896393775939941,0.1789277046918869,7.833959102630615
169,21900.0,-5.896393775939941,0.1789277046918869,7.833959102630615
170,22000.0,-5.927918434143066,0.1337798237800598,7.811035633087157
171,22100.0,-5.927918434143066,0.1337798237800598,7.811035633087157
172,22200.0,-5.944218158721924,0.09389058500528336,7.799220561981201
2224,227400.0,-6.463868618011475,-0.8862488865852356,7.321431159973144
2225,227500.0,-6.463868618011475,-0.8862488865852356,7.321431159973144
2226,227600.0,-6.471208095550537,-0.8422799706459045,7.320137977600098
2227,227700.0,-6.471208095550537,-0.8422799706459045,7.320137977600098
2253,230300.0,-6.421468734741211,-0.8859031200408936,7.358688831329347
2254,230400.0,-6.421468734741211,-0.8859031200408936,7.358688831329347
2255,230500.0,-6.419246196746826,-0.8813640475273132,7.361172676086426
2256,230600.0,-6.419246196746826,-0.8813640475273132,7.361172676086426
2284,233400.0,-6.3766913414001465,-0.6952551603317261,7.4178709983825675
2285,233500.0,-6.383755207061768,-0.6950152516365051,7.411816120147705
2286,233600.0,-6.383755207061768,-0.6950152516365051,7.411816120147705
239,28900.0,-6.355213642120361,-0.9310945868492126,7.410445213317871
240,29000.0,-6.355213642120361,-0.9310945868492126,7.410445213317871
241,29100.0,-6.356363296508789,-0.9530550837516784,7.406667709350586
242,29200.0,-6.370536804199219,-0.9627931714057922,7.39321756362915
2287,233700.0,-6.396620750427246,-0.6963175535202026,7.400592803955077
260,31000.0,-6.35509729385376,-1.0673247575759888,7.392154216766357
261,31100.0,-6.35509729385376,-1.0673247575759888,7.392154216766357
262,31200.0,-6.361420631408691,-1.052765130996704,7.388802051544189
263,31300.0,-6.361420631408691,-1.052765130996704,7.388802051544189
303,35300.0,-6.326878070831299,-1.1364221572875977,7.406047821044923
304,35400.0,-6.333528518676758,-1.132752537727356,7.400923252105713
305,35500.0,-6.334449768066406,-1.1671186685562134,7.394793033599853
306,35600.0,-6.334449768066406,-1.1671186685562134,7.394793033599853
322,37200.0,-6.3900465965271,-1.1655986309051514,7.347044944763184
323,37300.0,-6.4034361839294425,-1.15429949760437,7.337164878845215
324,37400.0,-6.4034361839294425,-1.15429949760437,7.337164878845215
325,37500.0,-6.406228065490723,-1.1619465351104736,7.33351993560791
2383,243300.0,-6.408804416656494,-0.7080792784690857,7.388927459716798
2384,243400.0,-6.396672248840332,-0.6976666450500488,7.400420665740968
2385,243500.0,-6.396672248840332,-0.6976666450500488,7.400420665740968
2386,243600.0,-6.40329122543335,-0.6884449124336243,7.395559310913086
2387,243700.0,-6.40329122543335,-0.6884449124336243,7.395559310913086
2388,243800.0,-6.395148754119872,-0.6965922713279724,7.401838779449463
2389,243900.0,-6.395148754119872,-0.6965922713279724,7.401838779449463
2390,244000.0,-6.404212474822997,-0.6876716017723083,7.394834041595459
2391,244100.0,-6.404212474822997,-0.6876716017723083,7.394834041595459
2392,244200.0,-6.399172306060791,-0.7070724964141846,7.397367000579834
2393,244300.0,-6.399172306060791,-0.7070724964141846,7.397367000579834
346,39600.0,-6.424317836761475,-1.1329431533813477,7.322224140167236
347,39700.0,-6.402510166168213,-1.131736159324646,7.34148645401001
348,39800.0,-6.402510166168213,-1.131736159324646,7.34148645401001
349,39900.0,-6.402754783630371,-1.1109689474105835,7.3444437980651855
2394,244400.0,-6.396561145782472,-0.7058002352714539,7.399746894836426
2395,244500.0,-6.408167362213135,-0.6991332173347473,7.390330791473389
2396,244600.0,-6.408167362213135,-0.6991332173347473,7.390330791473389
375,42500.0,-6.324382781982423,-1.0602955818176272,7.419456958770753
376,42600.0,-6.304613590240479,-1.0690385103225708,7.435011386871338
377,42700.0,-6.316558837890625,-1.059531569480896,7.426228523254394
378,42800.0,-6.316558837890625,-1.059531569480896,7.426228523254394
2431,248100.0,-6.457306861877441,-0.8504515886306763,7.331459999084473
2432,248200.0,-6.457306861877441,-0.8504515886306763,7.331459999084473
2433,248300.0,-6.546391487121582,-0.8126134276390076,7.2563629150390625
2434,248400.0,-6.546391487121582,-0.8126134276390076,7.2563629150390625
2435,248500.0,-6.488766670227051,-0.8524404168128967,7.3034000396728525
400,45000.0,-6.3887577056884775,-1.0168827772140503,7.370218276977539
401,45100.0,-6.4077186584472665,-1.0057442188262942,7.3552703857421875
402,45200.0,-6.4077186584472665,-1.0057442188262942,7.3552703857421875
403,45300.0,-6.41392707824707,-1.0212521553039549,7.347718715667725
437,48700.0,-6.3898987770080575,-0.9447525143623352,7.378823280334473
438,48800.0,-6.3898987770080575,-0.9447525143623352,7.378823280334473
439,48900.0,-6.378836154937744,-0.9625649452209472,7.386088371276855
440,49000.0,-6.378836154937744,-0.9625649452209472,7.386088371276855
441,49100.0,-6.383776664733888,-0.973816692829132,7.380342960357666
2123,217300.0,-6.501582622528076,-0.9919342398643494,7.274330139160156
442,49200.0,-6.398239135742188,-0.9623171091079712,7.369318962097168
2492,254200.0,-6.444486141204834,-0.7949562072753906,7.348947048187256
2493,254300.0,-6.450116157531737,-0.7735323309898376,7.346293449401855
2494,254400.0,-6.437470436096191,-0.769917368888855,7.357756614685059
2491,254100.0,-6.444486141204834,-0.7949562072753906,7.348947048187256
443,49300.0,-6.398239135742188,-0.9623171091079712,7.369318962097168
444,49400.0,-6.3890419006347665,-0.9761556386947632,7.375477313995361
