,timestamp,mx,my,mz,mAc,pressure,light,gx,gy,gz,ax,ay,az,uv
0,5000.0,65.51,-30.29,59.63,ACCURACY_BAD,1002.76,73.0,12.635279655456545,-3.1130399703979488,-7.935199737548827,8.685946464538574,1.6342979669570925,-3.1752755641937256,0.0
1,5100.0,60.65,-27.84,61.13,ACCURACY_BAD,1002.76,73.0,12.635279655456545,-3.1130399703979488,-7.935199737548827,8.685946464538574,1.6342979669570925,-3.1752755641937256,0.0
2,5200.0,58.55,-25.85,59.63,ACCURACY_BAD,1002.76,73.0,12.635279655456545,-3.1130399703979488,-7.935199737548827,8.685946464538574,1.6342979669570925,-3.1752755641937256,0.05
3,5300.0,59.27,-27.47,59.87,ACCURACY_BAD,1002.76,73.0,12.635279655456545,-3.1130399703979488,-7.935199737548827,8.685946464538574,1.6342979669570925,-3.1752755641937256,0.0
4,5400.0,61.31,-29.81,60.47,ACCURACY_BAD,1002.76,73.0,12.635279655456545,-3.1130399703979488,-7.935199737548827,8.685946464538574,1.6342979669570925,-3.1752755641937256,0.0
5,5500.0,61.31,-29.81,60.47,ACCURACY_BAD,1002.78,79.0,-35.891517639160156,-18.55615997314453,-84.6624755859375,9.107083320617676,2.306681156158448,-2.9216365814208984,0.0
6,5600.0,73.91,-31.79,59.81,ACCURACY_BAD,1002.79,74.0,-35.891517639160156,-18.55615997314453,-84.6624755859375,9.107083320617676,2.306681156158448,-2.9216365814208984,0.0
7,5700.0,76.68,-31.79,57.71,ACCURACY_BAD,1002.79,74.0,-49.86967849731445,-10.987199783325195,-39.79808044433594,8.70508861541748,1.8759729862213133,-2.6608188152313232,0.05
8,5800.0,78.77,-32.75,53.87,ACCURACY_BAD,1002.8,61.0,-49.86967849731445,-10.987199783325195,-39.79808044433594,8.70508861541748,1.8759729862213133,-2.6608188152313232,0.0
9,5900.0,80.15,-38.34,48.47,ACCURACY_BAD,1002.8,61.0,-49.86967849731445,-10.987199783325195,-39.79808044433594,8.70508861541748,1.8759729862213133,-2.6608188152313232,0.0
10,6000.0,80.15,-40.07,47.27,ACCURACY_BAD,1002.8,48.0,-17.76263999938965,-7.874159812927246,-12.146960258483887,12.696316719055176,2.6847469806671143,-2.68953275680542,0.0
11,10600.0,70.43,-31.73,46.37,ACCURACY_BAD,1002.88,46.0,124.5826416015625,5.55463981628418,77.09352111816406,8.987441062927246,0.8781659603118896,-2.5914268493652344,0.05
12,10700.0,65.51,-32.81,49.61,ACCURACY_BAD,1002.88,46.0,55.97367858886719,8.057279586791992,32.41223907470703,8.939584732055664,1.0384850502014158,-3.5557346343994136,0.0
13,10800.0,64.13,-31.73,50.63,ACCURACY_BAD,1002.88,52.0,55.97367858886719,8.057279586791992,32.41223907470703,8.939584732055664,1.0384850502014158,-3.5557346343994136,0.0
14,10900.0,59.93,-34.61,48.29,ACCURACY_BAD,1002.88,52.0,-21.11984062194824,19.65488052368164,63.542640686035156,5.613561630249023,2.100898265838623,-3.0149567127227783,0.0
15,15900.0,83.63,7.44,1.67,ACCURACY_BAD,1002.9,54.0,-25.636798858642567,8.972879409790039,-67.14399719238281,7.278966426849365,1.4644075632095337,-1.4404792785644531,0.05
16,16000.0,78.77,10.07,4.61,ACCURACY_BAD,1002.9,54.0,-25.636798858642567,8.972879409790039,-67.14399719238281,7.278966426849365,1.4644075632095337,-1.4404792785644531,0.0
17,16100.0,78.77,15.71,3.0,ACCURACY_BAD,1002.9,59.0,-7.32480001449585,-5.066319942474365,-88.9352798461914,14.538790702819824,2.1391832828521733,-2.4023938179016118,0.0
18,16200.0,77.4,16.61,4.67,ACCURACY_BAD,1002.91,50.0,-7.32480001449585,-5.066319942474365,-88.9352798461914,14.538790702819824,2.1391832828521733,-2.4023938179016118,0.0
19,17400.0,82.97,14.15,1.01,ACCURACY_BAD,1002.91,66.0,33.633041381835945,-5.249439716339111,-32.35120010375977,9.399007797241213,2.426322221755981,-1.4141581058502195,0.05
20,6000.0,80.15,-40.07,47.27,ACCURACY_BAD,1002.8,48.0,-17.76263999938965,-7.874159812927246,-12.146960258483887,12.696316719055176,2.6847469806671143,-2.68953275680542,0.0
21,10600.0,70.43,-31.73,46.37,ACCURACY_BAD,1002.88,46.0,124.5826416015625,5.55463981628418,77.09352111816406,8.987441062927246,0.8781659603118896,-2.5914268493652344,0.05
22,10700.0,65.51,-32.81,49.61,ACCURACY_BAD,1002.88,46.0,55.97367858886719,8.057279586791992,32.41223907470703,8.939584732055664,1.0384850502014158,-3.5557346343994136,0.0
23,10800.0,64.13,-31.73,50.63,ACCURACY_BAD,1002.88,52.0,55.97367858886719,8.057279586791992,32.41223907470703,8.939584732055664,1.0384850502014158,-3.5557346343994136,0.0
24,10900.0,59.93,-34.61,48.29,ACCURACY_BAD,1002.88,52.0,-21.11984062194824,19.65488052368164,63.542640686035156,5.613561630249023,2.100898265838623,-3.0149567127227783,0.0
25,15900.0,83.63,7.44,1.67,ACCURACY_BAD,1002.9,54.0,-25.636798858642567,8.972879409790039,-67.14399719238281,7.278966426849365,1.4644075632095337,-1.4404792785644531,0.05
26,16000.0,78.77,10.07,4.61,ACCURACY_BAD,1002.9,54.0,-25.636798858642567,8.972879409790039,-67.14399719238281,7.278966426849365,1.4644075632095337,-1.4404792785644531,0.0
27,16100.0,78.77,15.71,3.0,ACCURACY_BAD,1002.9,59.0,-7.32480001449585,-5.066319942474365,-88.9352798461914,14.538790702819824,2.1391832828521733,-2.4023938179016118,0.0
28,16200.0,77.4,16.61,4.67,ACCURACY_BAD,1002.91,50.0,-7.32480001449585,-5.066319942474365,-88.9352798461914,14.538790702819824,2.1391832828521733,-2.4023938179016118,0.0
29,17400.0,82.97,14.15,1.01,ACCURACY_BAD,1002.91,66.0,33.633041381835945,-5.249439716339111,-32.35120010375977,9.399007797241213,2.426322221755981,-1.4141581058502195,0.05
30,17500.0,80.87,15.47,3.65,ACCURACY_BAD,1002.91,70.0,-20.021120071411133,-7.32480001449585,-37.66167831420898,8.666803359985353,2.366501569747925,-1.306481122970581,0.0
31,17600.0,80.87,18.18,6.59,ACCURACY_BAD,1002.89,61.0,-20.021120071411133,-7.32480001449585,-37.66167831420898,8.666803359985353,2.366501569747925,-1.306481122970581,0.0
32,17700.0,78.77,23.03,7.44,ACCURACY_BAD,1002.89,61.0,-42.605918884277344,6.775439739227295,-50.9073600769043,8.633303642272951,1.8448662757873533,-2.256431579589844,0.0
33,17800.0,78.05,26.09,9.11,ACCURACY_BAD,1002.88,61.0,-42.605918884277344,6.775439739227295,-50.9073600769043,8.633303642272951,1.8448662757873533,-2.256431579589844,0.0
34,17900.0,75.29,29.45,12.35,ACCURACY_BAD,1002.88,61.0,-42.605918884277344,6.775439739227295,-50.9073600769043,8.633303642272951,1.8448662757873533,-2.256431579589844,0.0
35,18000.0,76.68,28.31,11.27,ACCURACY_BAD,1002.91,48.0,45.47480010986328,-3.0520000457763667,5.981919765472412,12.753745079040527,3.062812805175781,-3.9744782447814937,0.0
