,timestamp,gx,gy,gz,pressure,light,uv,ax,ay,az,mx,my,mz,mAc
0,5000.0,-4.028639793395996,-30.031679153442386,-49.01511764526367,1001.02,56.0,0.0,10.389636039733887,1.7682960033416748,-3.1178479194641118,4.13,17.39,-24.84,ACCURACY_VERYGOOD
1,5100.0,-4.028639793395996,-30.031679153442386,-49.01511764526367,1001.02,56.0,0.0,10.389636039733887,1.7682960033416748,-3.1178479194641118,4.13,17.39,-24.84,ACCURACY_VERYGOOD
2,5200.0,-4.028639793395996,-30.031679153442386,-49.01511764526367,1001.02,56.0,0.0,10.389636039733887,1.7682960033416748,-3.1178479194641118,4.13,17.39,-24.84,ACCURACY_VERYGOOD
3,5300.0,-4.028639793395996,-30.031679153442386,-49.01511764526367,1001.02,56.0,0.0,10.389636039733887,1.7682960033416748,-3.1178479194641118,-2.09,21.11,-25.07,ACCURACY_VERYGOOD
4,5400.0,-4.028639793395996,-30.031679153442386,-49.01511764526367,1001.02,56.0,0.0,10.389636039733887,1.7682960033416748,-3.1178479194641118,0.59,22.02,-23.39,ACCURACY_VERYGOOD
5,5500.0,4.944240093231201,11.353440284729006,25.941999435424805,1001.03,40.0,0.0,10.112068176269533,2.5507488250732417,-1.871187210083008,2.7,18.71,-24.47,ACCURACY_VERYGOOD
6,5600.0,4.944240093231201,11.353440284729006,25.941999435424805,1001.02,38.0,0.0,10.112068176269533,2.5507488250732417,-1.871187210083008,4.79,11.27,-26.21,ACCURACY_VERYGOOD
7,5700.0,27.223838806152344,59.26984024047852,83.075439453125,1001.02,38.0,0.0,9.504291534423828,1.308874011039734,-1.043270707130432,8.27,8.27,-27.84,ACCURACY_VERYGOOD
8,5800.0,27.223838806152344,59.26984024047852,83.075439453125,1001.02,46.0,0.0,9.504291534423828,1.308874011039734,-1.043270707130432,12.47,7.67,-23.81,ACCURACY_VERYGOOD
9,5900.0,-15.809359550476074,-16.847040176391598,-37.66167831420898,1001.02,46.0,0.0,10.514062881469727,1.3998013734817505,-0.916451096534729,14.57,4.61,-23.39,ACCURACY_VERYGOOD
10,6000.0,-15.809359550476074,-16.847040176391598,-37.66167831420898,1001.03,57.0,0.0,10.514062881469727,1.3998013734817505,-0.916451096534729,11.81,10.61,-24.23,ACCURACY_VERYGOOD
11,6100.0,-15.809359550476074,-16.847040176391598,-37.66167831420898,1001.03,57.0,0.0,10.514062881469727,1.3998013734817505,-0.916451096534729,9.0,13.31,-23.39,ACCURACY_VERYGOOD
12,6200.0,15.809359550476074,-29.60439872741699,-48.58784103393555,1001.01,54.0,0.0,9.489934921264648,1.5433706045150757,-2.25403904914856,6.96,14.03,-21.05,ACCURACY_VERYGOOD
13,6300.0,15.809359550476074,-29.60439872741699,-48.58784103393555,1001.01,54.0,0.0,9.489934921264648,1.5433706045150757,-2.25403904914856,3.41,18.65,-19.55,ACCURACY_VERYGOOD
14,6400.0,26.06407928466797,-32.107040405273445,-46.08519744873047,1001.03,44.0,0.0,9.30329418182373,1.5242280960083008,-3.2662029266357417,-1.37,19.68,-22.85,ACCURACY_VERYGOOD
15,6500.0,26.06407928466797,-32.107040405273445,-46.08519744873047,1001.03,44.0,0.0,9.30329418182373,1.5242280960083008,-3.2662029266357417,-3.48,21.29,-23.03,ACCURACY_VERYGOOD
16,6600.0,26.12512016296387,16.847040176391598,-19.715919494628906,1001.08,36.0,0.0,11.322836875915527,0.9260223507881165,-3.6370904445648193,-3.53,21.0,-24.53,ACCURACY_VERYGOOD
