,Unnamed: 0,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_yz,sp_cov_a_xz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,Unnamed: 0r_,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
0,0,4.925531268119811,-9.575789308547973,-0.08397662746720018,11.001001393194585,7.097532918387802,3.7090711663227296,1.2562114032351186,6.738204515123671,-2.1144709072311385,-1.4140484423403723,1.1369425341450814,5.605138763250623,-4.3276719494808935,-1.7782666262219444,3.2579217886671548,2.6565631781189847,2.174264321635284,3.171606983807896,2.8256401733312653,2.729704615343541,2.8767996417006327,2.7884161700487677,0,10.2419988155365,1.6039090543985366,-2.3742782890796663,10.689623541610043,0.4186180581284013,0.22459062673894253,1.0847209116297545,0.5070979384802573,-0.0819568267108543,-0.19642679675061592,0.11402399710089042,0.4419762977849928,-0.07453687181535701,-0.3977607832305109,1.5420627809361755,1.3711464422258002,1.8676897091969267,1.58352191632967,2.7182673225230167,2.805169608064087,2.6273244022998186,2.669425360343132
1,1,4.252730679512024,-9.171169209480286,0.012449843110516669,10.380639567089002,3.9334263248171473,2.974008282683235,4.089027498069227,5.142293766792566,-1.4498188004793535,-3.0029523414721253,1.2804695687208285,3.3864485669043893,-3.5448622560089533,-2.507209705008873,2.777208841925111,2.4085956080900486,2.8126460028920803,2.9160846120325745,2.7777457986112686,2.6272662037372942,2.7875785070789094,2.755474453051089,1,10.058708715438843,1.653919044137001,-2.5238296866416934,10.56025082844074,1.4373213731055066,0.3702375808534841,1.262661011158989,1.7690493905863844,0.1932869934593441,-0.5456564348058928,-0.13722662750465098,1.5641084816839468,0.2841103910665767,-0.83675878172913,2.0375708898440865,1.5336417971117662,2.0166016378045217,2.1603532253063578,2.6947689946826805,2.780327871228064,2.728064076000545,2.7135707795140585
2,2,4.206582432985305,-9.65387020111084,0.18968061208724984,11.072992395476655,4.725966817779949,7.967580781700798,7.867715475032602,8.263751253160018,0.8260178663535459,-2.230326088662028,-3.532718109946258,0.6156900206631536,-7.8094520026992145,3.3933414282105527,2.8761647517175484,3.4778643429692853,3.3650317719413327,3.4780514581894533,2.777893310262822,2.8999879354469758,2.8077106747145173,2.8771928228998247,2,9.460024452209472,1.810648912191391,-2.283949190378189,9.952457222387329,1.6042644313023964,0.5085858775986728,1.1170617543936598,2.1094186531900267,0.7267380637787471,-0.5448738393960643,-0.21261653764645164,1.81629265159158,0.8526253516952599,-0.8215830596817321,2.105645368587344,1.5831073918274106,1.9098145799939317,2.257849602645985,2.6958419375842895,2.672540541469812,2.6595247671167788,2.699023920541289
3,3,2.9180829226970677,-8.978046774864197,1.3169605791568757,10.137226584098405,5.007983599629225,11.478907048638995,9.6439937875647,13.595678314872375,-0.23778343386710424,-0.7657451778202251,-7.0462108941036865,1.809646882429124,-12.121302081033257,8.083116422755882,2.8907231381602894,3.5794249903266437,3.4867400753245064,3.7550742039300515,2.7353149169816393,2.7272467286191393,2.7575861666307304,2.7486488778366005,3,9.693802785873412,1.8157934606075288,-2.01021032333374,10.121445571486728,1.20226065423022,0.5435205483888028,0.8281856779698389,1.3783915442325234,0.3945666671316181,-0.1389459965271957,0.00789883154471843,1.2621985212055602,0.4798065479199778,-0.3217878668130369,2.0003493377385846,1.5622965219090021,1.780363964076795,2.07379613243037,2.7052496348812096,2.6215990246907146,2.6591618362038023,2.7203544040000898
4,4,2.582445818185806,-8.8979008436203,0.8838794197887182,9.663797115534962,1.0716728231782493,6.305165011371927,7.499080736395983,7.753743797544395,-1.2799855040620307,-0.4863141832081673,-1.7812453204303071,1.483526510229229,-6.845186568087605,2.8638383686897715,1.9162542552313435,2.992335379229204,3.2788800234916646,3.0220380893535315,2.6771469760060573,2.670322353961075,2.769243018959543,2.5480669044646347,4,10.461180830001831,1.732044696807861,-2.146840524673462,10.876111475731816,2.1934070707427167,0.5751162635564736,1.0378462022975423,2.4962712161472584,0.3384680235192081,-0.6455943328395815,-0.3560340347690856,2.306441693914163,0.4923611839903978,-0.9037613844209196,2.354535320301254,1.6501409227821748,1.9050874093608818,2.4249070215425186,2.7264719908561976,2.7178567079811327,2.6502419815742564,2.7078079144426663
5,5,3.045005577802658,-9.187898564338685,0.5310339067131281,9.916092403874558,0.7048406942005752,2.8370016662485016,3.946217488330588,2.901372949123333,-0.5107124947682723,-0.8258650389134244,1.263191998312846,0.6294501750575465,-2.8082964842915925,-0.9998453520789494,1.824035528623947,2.6932472079053067,2.7811884941598644,2.664238006461201,2.8122310978556126,2.9042090384149484,2.7703511504861056,2.8653557674815,5,9.861061072349548,1.606780457496643,-2.361476665735245,10.324314909966821,3.3857928933785755,0.5083920958199913,0.8705654372894186,3.509342630540153,0.6489002132546617,-0.2762061208690175,-0.2960223439839919,3.4145408966980795,0.760050512155891,-0.5042014116053507,2.4689040937734905,1.6229365302786496,1.868226869945382,2.4914548943494843,2.588824421084864,2.6973491823383338,2.7467318285122864,2.584473823438229
6,6,2.3409007787704468,-8.743295478820801,1.4580688364803795,9.48148749416528,0.8156547935616179,4.8457386072995945,6.695960665930506,6.20197713618012,0.43124140282892975,-1.5252832687624283,-2.8999111613524615,-0.6162114167105779,-5.425010788750224,3.9034254723824646,1.8227104377425751,2.9611287679817746,2.9701099970808844,3.1441497297420637,2.6853668335630108,2.792341419491019,2.635312974297262,2.7973548289797634,6,9.181978106498716,1.803590089082718,-2.3428125917911533,9.693816543474501,1.4280901565663784,0.33425204600006064,0.6649602307424822,1.4592506642294436,0.4007108464161537,-0.0010237958606716536,-0.1601406840533388,1.413627173807792,0.4744041386163084,-0.19038951814374214,2.2237356064023643,1.4603122420857224,1.6748422579190976,2.206722767605084,2.8558380754728154,2.700033006255365,2.6768053008263686,2.83607632272967
7,7,2.2816143631935115,-9.235902523994444,2.4247277796268465,10.180467100542412,1.0440760090940524,6.216380528518619,9.517022172816397,9.140693400034928,0.8562145418199925,-1.7168217598067843,-5.825629192722495,-1.1808168546606663,-7.447206636641392,7.779682897598886,1.9177776024903441,3.1477456561366512,3.3879941751881097,3.4605239070315057,2.6304129538997683,2.8094393864429583,2.729712593390752,2.811440992074719,7,9.147042894363404,1.7808582544326783,-2.158924180269241,9.596900673032717,1.3184620982846569,0.24613022604057974,0.5363794717212856,1.469709608468011,0.2916687536321099,-0.23591288168452,-0.3036616431754197,1.364400403022286,0.3976483474174644,-0.4081605763330618,2.063599212718949,1.3158707372510745,1.5781731632008364,2.104760482531073,2.7188086090256607,2.6266391649433114,2.6393337250866287,2.7186744253106596
8,8,2.573617172241211,-8.807100844383239,1.5654487729072568,9.654353158450398,0.7575040314626174,4.681995038871773,8.288247701125284,6.814721071361233,0.19198451230665173,-0.9362573478404684,-4.250281219020468,-0.33636601091818363,-5.55779168195288,5.7369235573256505,1.803573153728211,2.9562545083716434,3.3382819557395136,3.258858863955544,2.7527454487973433,2.8237484236737296,2.749445658660933,2.8254437988136734,8,9.334161806106568,1.7468801617622376,-2.0433508515357968,9.751882571857708,1.537352544819487,0.2406369794463156,0.6149658793221555,1.6079405923322825,0.3983043115210824,0.010249953487712632,-0.05266768243110493,1.554961458730865,0.4394007261359229,-0.12622556082602476,2.025928614552379,1.4017198041210903,1.6887153090534344,2.095511391510994,2.60059064065851,2.802051040757016,2.7254004395324314,2.6664498148678417
9,9,4.1184758067131035,-8.860521459579466,0.002094930410385132,10.0495084537724,6.373986869876273,5.352868408834762,1.7432088176063072,7.657503814675115,-2.1712258342324287,0.7141312942453809,-0.6435263459796788,5.065971702536488,-5.805437618142622,0.9350647068831494,3.0982125448238964,2.877011771843041,2.290225648784832,3.2352840322629715,2.735544031538566,2.6696854975769666,2.8028332446289124,2.739569710116315,9,9.653843164443972,1.9087546467781067,-1.9434505075216293,10.095837274051519,0.9199289410934238,0.3138864660447563,1.112981701986498,0.9690094842158752,0.3445788969373332,0.14205766216815266,0.2152526952027113,0.9265789392218268,0.3436165263903717,-0.041632726881919775,1.7652663219905589,1.4304753030611668,1.9336197912804487,1.813516314439644,2.546817803740792,2.708205400181623,2.647041990335965,2.5830990120695887
