,Unnamed: 0,timestamp,mx,my,mz,mAc
0,0.0,5000.0,64.86,9.65,5.87,ACCURACY_BAD
1,1.0,5100.0,64.86,9.65,5.87,ACCURACY_BAD
2,2.0,5200.0,66.9,9.42,4.44,ACCURACY_BAD
3,3.0,5300.0,69.0,5.69,4.61,ACCURACY_BAD
4,4.0,5400.0,73.19,3.29,5.27,ACCURACY_BAD
5,5.0,5500.0,74.58,0.23,3.59,ACCURACY_BAD
6,6.0,5600.0,75.29,-4.01,3.53,ACCURACY_BAD
7,7.0,5700.0,74.58,-4.25,4.19,ACCURACY_BAD
8,8.0,5800.0,75.29,-6.17,3.53,ACCURACY_BAD
9,9.0,5900.0,75.29,-6.17,3.53,ACCURACY_BAD
10,10.0,6000.0,73.91,-1.5,0.17,ACCURACY_BAD
11,11.0,6100.0,71.81,6.77,3.59,ACCURACY_BAD
12,12.0,6200.0,69.72,8.93,3.59,ACCURACY_BAD
13,13.0,6300.0,67.61,10.73,4.85,ACCURACY_BAD
14,14.0,6400.0,65.51,16.68,6.77,ACCURACY_BAD
15,15.0,6500.0,65.51,15.59,7.79,ACCURACY_BAD
16,16.0,6600.0,66.23,15.59,7.79,ACCURACY_BAD
17,17.0,6700.0,69.0,10.73,4.85,ACCURACY_BAD
18,18.0,6800.0,69.0,10.73,4.85,ACCURACY_BAD
19,19.0,6900.0,76.01,7.07,7.19,ACCURACY_BAD
20,20.0,7000.0,78.77,1.97,2.7,ACCURACY_BAD
21,21.0,7100.0,80.15,-1.19,5.94,ACCURACY_BAD
22,22.0,7200.0,80.15,-2.93,4.61,ACCURACY_BAD
23,23.0,7300.0,76.01,-3.53,4.44,ACCURACY_BAD
24,24.0,7400.0,73.91,2.39,1.43,ACCURACY_BAD
25,25.0,7500.0,73.19,3.72,3.95,ACCURACY_BAD
26,26.0,7600.0,72.47,10.73,7.01,ACCURACY_BAD
27,27.0,7700.0,68.33,18.23,10.85,ACCURACY_BAD
28,28.0,7800.0,65.51,21.6,14.03,ACCURACY_BAD
29,29.0,7900.0,67.61,20.03,12.11,ACCURACY_BAD
30,15.0,6500.0,65.51,15.59,7.79,ACCURACY_BAD
31,16.0,6600.0,66.23,15.59,7.79,ACCURACY_BAD
32,17.0,6700.0,69.0,10.73,4.85,ACCURACY_BAD
33,18.0,6800.0,69.0,10.73,4.85,ACCURACY_BAD
34,19.0,6900.0,76.01,7.07,7.19,ACCURACY_BAD
35,20.0,7000.0,78.77,1.97,2.7,ACCURACY_BAD
36,21.0,7100.0,80.15,-1.19,5.94,ACCURACY_BAD
37,22.0,7200.0,80.15,-2.93,4.61,ACCURACY_BAD
38,23.0,7300.0,76.01,-3.53,4.44,ACCURACY_BAD
39,24.0,7400.0,73.91,2.39,1.43,ACCURACY_BAD
40,25.0,7500.0,73.19,3.72,3.95,ACCURACY_BAD
41,26.0,7600.0,72.47,10.73,7.01,ACCURACY_BAD
42,27.0,7700.0,68.33,18.23,10.85,ACCURACY_BAD
43,28.0,7800.0,65.51,21.6,14.03,ACCURACY_BAD
44,29.0,7900.0,67.61,20.03,12.11,ACCURACY_BAD
45,30.0,8000.0,67.61,16.97,10.43,ACCURACY_BAD
46,31.0,8100.0,69.0,11.46,9.3,ACCURACY_BAD
47,32.0,8200.0,70.43,11.09,12.77,ACCURACY_BAD
48,33.0,8300.0,70.43,10.67,14.03,ACCURACY_BAD
49,34.0,8400.0,70.43,8.69,15.53,ACCURACY_BAD
50,35.0,8500.0,69.0,10.31,17.45,ACCURACY_BAD
51,36.0,8600.0,70.43,11.39,18.6,ACCURACY_BAD
52,37.0,8700.0,71.09,10.31,17.45,ACCURACY_BAD
53,38.0,8800.0,71.09,10.31,19.61,ACCURACY_BAD
54,39.0,8900.0,70.43,12.96,22.61,ACCURACY_BAD
55,40.0,9000.0,66.9,13.25,26.21,ACCURACY_BAD
56,41.0,9100.0,66.23,14.46,35.88,ACCURACY_BAD
57,42.0,9200.0,66.9,13.97,44.21,ACCURACY_BAD
58,43.0,9300.0,76.01,20.93,56.45,ACCURACY_BAD
59,44.0,9400.0,105.29,43.2,68.63,ACCURACY_BAD
60,30.0,8000.0,67.61,16.97,10.43,ACCURACY_BAD
61,31.0,8100.0,69.0,11.46,9.3,ACCURACY_BAD
62,32.0,8200.0,70.43,11.09,12.77,ACCURACY_BAD
63,33.0,8300.0,70.43,10.67,14.03,ACCURACY_BAD
64,34.0,8400.0,70.43,8.69,15.53,ACCURACY_BAD
65,35.0,8500.0,69.0,10.31,17.45,ACCURACY_BAD
66,36.0,8600.0,70.43,11.39,18.6,ACCURACY_BAD
67,37.0,8700.0,71.09,10.31,17.45,ACCURACY_BAD
68,38.0,8800.0,71.09,10.31,19.61,ACCURACY_BAD
69,39.0,8900.0,70.43,12.96,22.61,ACCURACY_BAD
70,40.0,9000.0,66.9,13.25,26.21,ACCURACY_BAD
71,41.0,9100.0,66.23,14.46,35.88,ACCURACY_BAD
72,42.0,9200.0,66.9,13.97,44.21,ACCURACY_BAD
73,43.0,9300.0,76.01,20.93,56.45,ACCURACY_BAD
74,44.0,9400.0,105.29,43.2,68.63,ACCURACY_BAD
75,45.0,9500.0,117.11,47.57,37.38,ACCURACY_BAD
76,46.0,9600.0,114.36,33.05,23.45,ACCURACY_BAD
77,47.0,9700.0,112.97,34.07,15.96,ACCURACY_BAD
78,48.0,9800.0,110.87,43.43,16.19,ACCURACY_BAD
79,49.0,9900.0,110.87,57.84,28.01,ACCURACY_BAD
80,50.0,10000.0,106.68,61.5,50.45,ACCURACY_BAD
81,51.0,10100.0,101.09,53.52,68.4,ACCURACY_BAD
82,52.0,10200.0,98.33,46.91,70.55,ACCURACY_BAD
83,53.0,10300.0,95.51,56.81,58.13,ACCURACY_BAD
84,54.0,10400.0,91.31,61.37,57.53,ACCURACY_BAD
85,55.0,10500.0,82.25,58.85,65.22,ACCURACY_BAD
86,56.0,10600.0,75.29,47.93,65.22,ACCURACY_BAD
87,57.0,10700.0,69.0,35.27,63.95,ACCURACY_BAD
88,58.0,10800.0,65.51,24.35,54.71,ACCURACY_BAD
89,59.0,10900.0,60.65,19.07,48.71,ACCURACY_BAD
90,45.0,9500.0,117.11,47.57,37.38,ACCURACY_BAD
91,46.0,9600.0,114.36,33.05,23.45,ACCURACY_BAD
92,47.0,9700.0,112.97,34.07,15.96,ACCURACY_BAD
93,48.0,9800.0,110.87,43.43,16.19,ACCURACY_BAD
94,49.0,9900.0,110.87,57.84,28.01,ACCURACY_BAD
95,50.0,10000.0,106.68,61.5,50.45,ACCURACY_BAD
96,51.0,10100.0,101.09,53.52,68.4,ACCURACY_BAD
97,52.0,10200.0,98.33,46.91,70.55,ACCURACY_BAD
98,53.0,10300.0,95.51,56.81,58.13,ACCURACY_BAD
99,54.0,10400.0,91.31,61.37,57.53,ACCURACY_BAD
100,55.0,10500.0,82.25,58.85,65.22,ACCURACY_BAD
101,56.0,10600.0,75.29,47.93,65.22,ACCURACY_BAD
102,57.0,10700.0,69.0,35.27,63.95,ACCURACY_BAD
103,58.0,10800.0,65.51,24.35,54.71,ACCURACY_BAD
104,59.0,10900.0,60.65,19.07,48.71,ACCURACY_BAD
105,60.0,11000.0,59.27,12.89,47.45,ACCURACY_BAD
106,61.0,11100.0,62.03,12.0,43.55,ACCURACY_BAD
107,62.0,11200.0,61.31,11.57,44.87,ACCURACY_BAD
108,63.0,11300.0,60.65,7.61,43.61,ACCURACY_BAD
109,64.0,11400.0,59.93,7.79,42.95,ACCURACY_BAD
110,65.0,11500.0,58.55,6.96,41.21,ACCURACY_BAD
111,66.0,11600.0,58.55,8.27,41.63,ACCURACY_BAD
112,67.0,11700.0,57.18,6.11,43.79,ACCURACY_BAD
113,68.0,11800.0,57.84,5.87,44.39,ACCURACY_BAD
114,69.0,11900.0,57.84,6.05,41.63,ACCURACY_BAD
115,70.0,12000.0,56.45,3.59,40.13,ACCURACY_BAD
116,71.0,12100.0,56.45,-0.29,36.71,ACCURACY_BAD
117,72.0,12200.0,54.36,0.11,37.61,ACCURACY_BAD
118,73.0,12300.0,52.25,-0.23,38.87,ACCURACY_BAD
119,74.0,12400.0,50.87,1.62,39.47,ACCURACY_BAD
120,60.0,11000.0,59.27,12.89,47.45,ACCURACY_BAD
121,61.0,11100.0,62.03,12.0,43.55,ACCURACY_BAD
122,62.0,11200.0,61.31,11.57,44.87,ACCURACY_BAD
123,63.0,11300.0,60.65,7.61,43.61,ACCURACY_BAD
124,64.0,11400.0,59.93,7.79,42.95,ACCURACY_BAD
125,65.0,11500.0,58.55,6.96,41.21,ACCURACY_BAD
126,66.0,11600.0,58.55,8.27,41.63,ACCURACY_BAD
127,67.0,11700.0,57.18,6.11,43.79,ACCURACY_BAD
128,68.0,11800.0,57.84,5.87,44.39,ACCURACY_BAD
129,69.0,11900.0,57.84,6.05,41.63,ACCURACY_BAD
130,70.0,12000.0,56.45,3.59,40.13,ACCURACY_BAD
131,71.0,12100.0,56.45,-0.29,36.71,ACCURACY_BAD
132,72.0,12200.0,54.36,0.11,37.61,ACCURACY_BAD
133,73.0,12300.0,52.25,-0.23,38.87,ACCURACY_BAD
134,74.0,12400.0,50.87,1.62,39.47,ACCURACY_BAD
135,75.0,12500.0,51.59,6.05,41.63,ACCURACY_BAD
136,76.0,12600.0,54.36,8.46,41.04,ACCURACY_BAD
