,Unnamed: 0,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_yz,sp_cov_a_xz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,Unnamed: 0r_,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
0,0,-8.365310859680175,-0.8702923119068146,4.107043528556824,9.378283142870977,0.11768270124166548,0.0911215703303362,0.209171222908438,0.05107688905913988,0.0003855008871860928,0.10664562586872366,-0.03212767361595946,-0.050288396379873264,-0.02559523975949715,0.010838985011260816,1.1394664316863656,1.1019574285279579,1.3759843833162624,0.9233538218569662,2.721985417212482,2.8290307954901293,2.8382472257916667,2.7594628582610103,0,-7.212206768989563,2.441516661643982,-6.178507208824158,9.807846700549227,0.013376132697198095,0.026862878571621132,0.007792189572057913,0.002793849011134811,0.005105633305858644,-0.00834135817144132,-0.0014037505227974733,-0.003046299120282089,0.0040433324192513005,0.0006945670005298493,0.6420447293646071,0.7811174691712212,0.5749766199827622,0.4311613821916711,2.6937781849668645,2.726336694183616,2.718006550194678,2.673722869569085
1,1,-8.539967775344849,-1.0017938375473023,4.135773921012879,9.546113347397323,0.020316152322637164,0.05378665018837291,0.04186567024547203,0.022269926702934213,-0.0011916859252717315,0.003744535946985221,-0.005809375148646752,-0.016901207482171988,-0.006815267757349314,0.014629687847303676,0.7429385237346376,0.9113112217982838,0.8355626354247567,0.7776146324184972,2.78334546999206,2.631571477182,2.634017403203352,2.832559661922938,1,-7.231349229812622,2.4624537944793703,-6.179583954811096,9.82655914853091,0.0030869390606623587,0.011226342060578992,0.005269056753300178,0.0007228941268126163,0.0003664998380971167,-0.002819750278897453,0.0032000367820441684,-0.00043244977363784704,0.00046473827719641455,-0.00044456632608379075,0.4448754575209977,0.6181764959514388,0.488597631926758,0.3280361144571856,2.69256058523476,2.703516070099309,2.5661071187512987,2.7730723707152736
2,2,-8.569865512847901,-1.0403105676174165,4.260002994537354,9.626982974493675,0.001439659013311394,0.005394286673660715,0.0009091047746503377,0.001074953274669255,-0.0019233219515860293,-0.0002686965912289606,0.0011778162170015074,-0.0011693915532254018,0.0016078941195795864,0.0005092700495426806,0.4004367715043564,0.5678550791604471,0.33605918197828105,0.3654359228561925,2.8836614669826237,2.9259423215554987,2.7281327430178823,2.8199448043014463,2,-7.226563572883606,2.481596302986145,-6.185207223892213,9.831434819191006,0.002050306058971556,0.016190145647592673,0.0032062673063903433,0.0016773320759971954,0.0034950966739601226,-0.001595873135167829,-0.003228085118781881,0.00035459777510295334,0.0034836367996858818,-0.001668086746805802,0.3912518017023232,0.6964589492127208,0.4235463439989511,0.39390462825958333,2.6161655467857194,2.720663808482377,2.5684294068599955,2.720188235937782
3,3,-8.56983561515808,-1.0567407667636872,4.255573678016662,9.626608832959004,0.00025992028957404044,0.002493565579113489,0.00043895165015389034,0.00013267456740858474,-1.5507654001732106e-05,0.00019473033413471613,0.00032922386142891075,-0.00014273478052383753,-0.00011038212624942891,-1.3759744018672044e-05,0.25178078359973816,0.4229676778334063,0.2882086231684008,0.21638501852366315,2.7554926422153914,2.6435159790689204,2.8055349796357087,2.840700260608455,3,-7.256473898887634,2.509831690788269,-6.136393642425537,9.830725182244748,0.009016541661077012,0.02422286832788034,0.003923849667865513,0.003308404185349361,0.01078847684073322,-0.0020738840984521056,-0.003802694424654736,-0.0026445981892159105,0.0004965150684922302,-0.0019251258131174288,0.6102063947179504,0.7679946374459824,0.4926576194217622,0.4453704634734791,2.79859030303484,2.76720253425642,2.7761876283348035,2.6466247208532816
4,4,-8.570763301849365,-1.0547954738140106,4.25883584022522,9.628620064529596,0.00027192742135843657,0.0017471486102634054,0.0003924630114158416,0.00023831254970773383,-0.0003276995882222505,2.788571204482931e-05,-0.00010743401454318186,-0.00019419171849622242,5.099462967756264e-05,0.00015996443773496204,0.2544331864424059,0.4024448414076665,0.2677652918669125,0.25074321717812603,2.7762371762294,2.754877403229593,2.7253432047333463,2.8434738318611337,4,-7.268438005447388,2.3374288856983183,-6.1414186477661135,9.804959217164576,0.018434237751896284,0.11643360413987468,0.005966932446340456,0.007742765493538193,0.013406086048767136,-0.0018012403876820997,0.015619520563001591,-0.009334704572821468,0.005427356551369127,0.0006297286838751144,0.7078121038208126,1.1761443990305065,0.5536829334289833,0.5685564936665086,2.7100116828854386,2.8477786820742965,2.807133056710206,2.697637744474293
5,5,-8.572379398345948,-1.0493786096572877,4.244440722465515,9.623171057444457,0.0017672896680730784,0.0022646598501089967,0.0009424044660656788,0.0015426290150329454,0.00035669145867669685,0.0001729392521467208,9.455966822818732e-05,-0.0015397299746835152,-0.0005303575988548907,0.0002501812868059365,0.3948339686998708,0.4233560645741252,0.3248985812968461,0.3926593468083198,2.6934753043121886,2.7173108903629464,2.67670861968945,2.779236032396751,5,-7.322037220001222,1.7686548829078674,-6.1673808813095095,9.748044868444454,0.04789730766108392,0.21027678800589544,0.018619925676908792,0.016349099083752483,0.002246808768778659,-0.01840810125188325,0.02664730352541244,-0.02267141009390953,0.01999704860877351,0.006242700931967609,0.8996500585565497,1.2393325614750526,0.7358433360743631,0.6552965265960914,2.7199645416101355,2.645204246537991,2.817618009074353,2.6019574527864
6,6,-8.574474382400513,-1.0784681677818295,4.224419212341308,9.61947807241412,0.0025852800990330397,0.0031718559504959705,0.00047546528825669407,0.0020892532363549128,0.0004950120271784828,0.000196366383993572,0.000404326607457217,-0.002271948531386477,-0.0006241296409865494,-1.1330227823754108e-05,0.4502036291370703,0.4436693270441025,0.3038688115140974,0.4313375894075273,2.8140849801658807,2.6412892307774687,2.887780540513217,2.846924579293764,6,-7.460342288017273,1.4885749578475953,-6.122036790847777,9.769371112748033,0.04749928568585768,0.038105924686951634,0.02247356214727569,0.014694550844098975,-0.022240777204513656,-0.023657554521132787,0.019936541448197686,-0.023485574304668463,0.009609943387948787,0.0063977176000394615,0.8692148619801847,0.8703757404441377,0.7540813316491674,0.655367254558041,2.6113152395713195,2.764440272288452,2.781072591441157,2.6472618711057554
7,7,-8.56699242591858,-1.1012130856513975,4.263714051246643,9.633310116475817,0.008211289670273406,0.0019186130060118859,0.008658626101721223,0.0026024196821312013,0.0010270750494322358,0.007174401569305269,0.0014770673569432168,-0.004206828577397198,-0.000473676366972263,-0.002668265056742645,0.5816538282831084,0.4205294330219829,0.590875651262706,0.4347282317510356,2.6974282896512842,2.8364035821736358,2.721325912560569,2.66910685010154,7,-7.520402216911316,1.4438291609287262,-6.14979350566864,9.824693490273942,0.00800490334553988,0.03232035199579025,0.028824367509032788,0.002255027698501038,-0.0029703054389423056,-0.013184454654136556,0.01306124300552445,0.0017217922068327098,-0.0010407086403852388,-0.005992263711138833,0.5582719883756552,0.7927133934254494,0.7435438748131717,0.42102376461568,2.6227944994558112,2.6637129967634934,2.623562372966436,2.769927588114502
8,8,-8.548407316207888,-1.111957049369812,4.294778823852538,9.631932573090328,0.0090254054934671,0.004030561606835864,0.008139704677313097,0.0030021735601826237,0.003511816571936407,0.007782211720089079,0.003217754743302153,-0.004940916621997866,-0.0021220849286967096,-0.003642591681426271,0.6204423748005229,0.5043355313418747,0.5732267800058394,0.4767535677246131,2.8303401697731143,2.8161874435875,2.7014818150848576,2.8637131181453075,8,-7.464410352706909,1.318923819065094,-6.20207667350769,9.796003094365908,0.005631267093430756,0.0169716361220799,0.02223545664933699,0.0038493002197152134,-0.002374615740510705,-0.008814542502154622,0.0035504149373501203,0.00086093839177883,0.0018823175800353718,-0.006727327192144434,0.5204145211049659,0.7119454899548627,0.7198299427896852,0.4870105932486451,2.6857433727758537,2.7467060810182105,2.6284693934407377,2.743144196295936
9,9,-8.549125671386719,-1.135509991645813,4.276223826408386,9.626613068947194,0.002453307716725821,0.00607047262122185,0.001992889038996596,0.0014047963335469676,0.001699345162418657,0.0014624856719245465,0.00175655546746132,-0.0017134491857510815,-0.0014100196765616682,-0.0006089831816226972,0.453876094199363,0.5632243163292104,0.4266363800819911,0.3971952339573577,2.8667966920779,2.8378029008103867,2.8123527216585607,2.8810285320577926,9,-7.440960693359375,1.4358132362365723,-6.200401735305786,9.793862095898444,0.0007913994219913703,0.04279220806453108,0.0072708085930021015,0.0031729583722645304,-0.0021330166110296715,-0.0006594967519241467,0.005003918586543785,-0.0004858773913135211,0.004760321159124511,-0.003347782741283922,0.3261295841798115,0.8782118249281416,0.5589944329824004,0.46603743316263707,2.7229111554164542,2.720266027757889,2.691995565083816,2.738880983899898
