,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_xz,sp_cov_a_yz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_xz,sw_cov_a_yz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
85,-6.877823257446289,0.4976946786046028,6.612635493278503,9.554063927838067,0.00043352337098008894,0.0008616218089596569,0.0001914230044654297,0.00039539295340010913,-0.0001659345679576364,-7.853432463745714e-05,-0.00019264272323389994,-0.0003745886389262197,2.9566040996070214e-05,0.00017952166168752178,0.2740382245564961,0.32610522764191396,0.22486683903051186,0.28163713889855496,2.7076113875420598,2.66112320217028,2.732465756308828,2.811148692375723,-0.21846470311284066,-0.2283949177712202,-9.616754150390625,9.622780470609701,0.001526686323914248,0.01529245948025149,0.0010185513504486834,0.000940295552263135,-0.0004453007186752053,0.000807008810250697,-0.0013527426081987785,-0.0008035638324867667,0.0009735322907789548,-0.0009743549876673282,0.3796472714061937,0.7028641938987917,0.3519562118076686,0.34800925087786994,2.694638229303379,2.7937364994472356,2.757575024070896,2.7869113433750954
86,-6.879409408569336,0.501046559214592,6.616675639152527,9.558153769447248,0.00045901004239950224,0.0002112957279231847,0.0006740021814440099,0.0007279906559821845,3.9369006191238286e-05,-0.00017502883665896428,-7.683811188905493e-05,-0.0004495922860718849,-7.049831810772105e-05,0.0005889604937004266,0.26879022768615546,0.24674344004052462,0.32088963459778025,0.30896537522849266,2.6233791991411346,2.840821135074508,2.811555716994128,2.6859897987613883,-0.2110469564795494,-0.22528425082564354,-9.615557622909545,9.62152236910529,0.0013088121870765339,0.019069427120527165,0.0009700302379721814,0.0008740714505232901,-0.00023101285397490688,0.0005249479747664013,-0.0016415776608388823,-0.000521779367683901,0.0011988094498472314,-0.0009165350825520286,0.3781607965553143,0.7230389169408815,0.33684839446523523,0.3265008878013947,2.7648402462287613,2.745119504610764,2.6818803498970802,2.6765404138161233
87,-6.872376465797425,0.5003582298755646,6.619369149208069,9.554950407176175,0.000523819568055437,0.000830546315692428,0.0009122083798280484,0.0010953066234959336,8.315977929326156e-05,-0.00041181086254483116,-0.0002843084819696558,-0.0006580360601781851,-0.00021570496783420044,0.0009136190459694877,0.2942528286244977,0.34170641927045703,0.3508181335247442,0.35720642642957684,2.7512470047417605,2.8239411816726134,2.830989678349969,2.768304746583204,-0.1909472480416298,-0.2420340109616518,-9.67143006324768,9.67711534014797,0.0024081271057949296,0.013454723818520937,0.0021692700441354714,0.002284200716593755,0.00283103792504143,-0.0005480359452697104,0.002096613234495505,0.00042445791680076697,-0.0024889873865835323,-0.0022201787753612194,0.4218092497764857,0.6411451227751062,0.3635257666346846,0.3671548554510162,2.673475594876572,2.6546406249272803,2.4488279784088167,2.4241994630305146
88,-6.875159740447998,0.5097554698586464,6.613593173027039,9.553456473698848,0.0005910675899461886,0.0010493054373339704,0.0009286246387683805,0.0012596915389199753,3.738198127672699e-05,-0.0005386848746231979,-0.0003888172664730759,-0.0007965118486269547,-0.00024337289417385207,0.0010100817391660312,0.29599572499109583,0.36665970123324765,0.33293705786785205,0.3616835492810936,2.6718239106359416,2.8634505060603543,2.701044017019977,2.741612310807202,-0.19238294214010238,-0.24394826591014862,-9.692487001419067,9.697989436489992,0.002429101010949248,0.008360265975393156,0.0018142755855501905,0.0018953428594720221,0.002365697292530452,4.483658317492074e-05,0.0008448728749252081,-0.00015815894117248138,-0.001147794441803304,-0.0018489990499254746,0.4211183797420508,0.5900746953735738,0.38125277059273033,0.3865099681657,2.682909022372602,2.74957912273223,2.613125425332001,2.6316665920057436
89,-6.895690011978149,0.5153219893574714,6.623948097229004,9.575672027836513,0.0003005727596557485,0.0004859731644775527,0.0008990592352921895,0.0009393989527693206,2.3595154925790723e-05,-0.0003775238850194996,-0.0002979476523069919,-0.0004762068212709452,-0.00019727962090762785,0.000877759806578264,0.24613293277271645,0.2823293316963252,0.3338593433845184,0.3324340447254748,2.619147839945497,2.72108640758546,2.7408211410581442,2.7124704085665976,-0.21655045375227927,-0.20458633601665496,-9.659705400466919,9.664530810510765,0.0003251538521017966,0.004370441825543729,0.0014371066801183805,0.0013982859398255696,0.00014434564181328716,0.00010381364308847908,-0.0008644106041904714,-0.00011301393717613479,0.0007658808191174326,-0.0014164975756507713,0.24255664777042138,0.5042099990615305,0.37311888717839214,0.3722405918897933,2.6314811612871534,2.7622758580394247,2.71394933870327,2.7283376216393633
90,-6.913466906547546,0.5072714895009994,6.630532169342041,9.592623318960346,0.0005691947978418247,0.0007044765390717476,0.000504029209246501,0.0006026912898511307,-8.674741406412114e-05,-6.866201273815508e-05,-0.00016300202365336188,-0.00046284197594300243,-1.327633356236168e-05,0.00038952213555587615,0.294187332051018,0.31238977416455876,0.26151000446774186,0.2695823609918836,2.7151204021709208,2.7174923462345126,2.5461653751778934,2.508373132469798,-0.22827528193593025,-0.22863419726490974,-9.680762243270873,9.686656083877327,0.0032692576649743363,0.007007818176197257,0.00496307159937477,0.00496090946490417,-0.00152704777541518,-0.0015480130390969663,0.0015605959734781862,0.001498762791744028,-0.0016750158779788155,-0.004960081336089702,0.4583570932868705,0.5687180802264835,0.49804196848087456,0.49748706429602824,2.7188475830956653,2.763838386661189,2.65728219223855,2.6538715578494214
91,-6.904488658905029,0.5082590967416764,6.610809946060181,9.57260409652572,0.001289302770400295,0.0008005578074143086,0.0011553450844530662,0.0015082630054363854,-0.00025014390295991906,-0.00027920142099806424,-0.00017622944106885434,-0.001136582490229084,0.00010137177952269012,0.0009892251533897376,0.3661214448133046,0.32046294726731506,0.3674141080498202,0.3824143771048971,2.7016531902933045,2.6911577911610625,2.8007176428256946,2.7632766766156185,-0.22564317807555198,-0.2568695031106472,-9.693922758102417,9.700372504322496,0.003416736978032541,0.005111620219945361,0.004605077998815582,0.004510806649864908,-0.0017388046001285626,-0.0019362998432312785,0.0001549499436139324,0.0018846800307647403,-0.0002321614071815777,-0.004556250224685661,0.4570170798725568,0.5311868317604662,0.49294349541951066,0.49070759498861105,2.672944959532734,2.805292625714371,2.6500801464869874,2.6507235075925557
92,-6.892757153511047,0.5207687973976135,6.58384518623352,9.546190815824279,0.0008667285481130038,0.0006437216776122131,0.0010474963993649534,0.0010418011336537267,-0.00034538958262738865,-5.0351939141469886e-05,0.00017110628442771963,-0.0006791842857058079,0.0004020272381319876,0.0007680368716262824,0.3365499035339861,0.2912222227064541,0.34047402668826005,0.350779730841521,2.7326474259886973,2.6097074431858287,2.652911542186609,2.730236200040965,-0.20003997907042503,-0.23712871987372636,-9.677053213119507,9.683075724835678,0.0012502300240973645,0.02017032387418895,0.000976726983253698,0.0009756173657901537,0.0019915448339285265,-0.0005539906474649077,4.204998333912425e-05,0.0004858256313141342,-0.0006084551911794975,-0.000967628761274911,0.36662416035394174,0.7161736799556132,0.34470009082718467,0.34365981279019636,2.7640938725144673,2.7057954206120045,2.7510950796171194,2.7415180471835265
93,-6.8924877643585205,0.525587123632431,6.58725688457489,9.548584575227084,0.0005216743588669884,0.00038673160020605345,0.0009803298902212256,0.0009574510859400288,5.1525695394465805e-05,-0.0002229122962286301,-1.081819936544833e-05,-0.0005278569525544117,-2.3815154772205934e-05,0.0008368667299136842,0.2752750250028586,0.2744214830247656,0.34531642333330015,0.3377751219474888,2.576895002329472,2.748453076912947,2.770252241815853,2.7146051132454825,-0.20362920835614204,-0.29802605602890253,-9.697870683670043,9.705945917108922,0.0018767307652981507,0.026022233508644667,0.00236550752900637,0.0024687201307439593,0.0037993570077285476,-0.0002066566869421161,0.0023755504251010647,6.224263895008512e-05,-0.003142466107317146,-0.002404920878223338,0.4124429775602645,0.7526434683560161,0.41976637740974776,0.41922076173788897,2.792562230435434,2.6484684499817632,2.7005529065329217,2.672169380690497
94,-6.897784900665283,0.5022735834121704,6.6094032526016235,9.566465224971134,0.00039353475002780106,0.0008069308382498596,0.0014011966318530546,0.0012013920712738507,0.00033922734175493126,-0.00040153375963008706,-0.0006594688316567855,-0.0005433294606674886,-0.0006583110211332011,0.0012224620561621525,0.2645251360170568,0.31938199094996406,0.3857363183360169,0.35845094722994963,2.671717257385568,2.6899790179784078,2.796826845208838,2.7297232010105756,-0.2177468590438366,-0.3018545750528574,-9.700742149353028,9.708575947079197,0.0010691801370283853,0.013204001606262368,0.0022045866870795978,0.002247460149799646,0.0015365699543544906,-0.00030556376325884113,0.001205001744378241,0.00023142550680178714,-0.0016141397720613722,-0.0022190860242892766,0.35740928375451225,0.6088624048999497,0.41942224648477144,0.4203562854180239,2.772959036322015,2.6196922031197256,2.7605317183921385,2.7546980002527928
