,timestamp,mx,my,mz,mAc,pressure,light,gx,gy,gz,ax,ay,az,uv
0,5000.0,13.79,-20.45,17.76,ACCURACY_VERYGOOD,1001.69,34.0,6.470240116119385,-3.5403199195861816,-4.822159767150879,-5.106283187866211,4.201796531677246,-7.817351341247559,0.0
1,5100.0,13.79,-20.45,17.76,ACCURACY_VERYGOOD,1001.69,34.0,6.470240116119385,-3.5403199195861816,-4.822159767150879,-5.106283187866211,4.201796531677246,-7.817351341247559,0.0
2,5200.0,14.51,-20.03,16.44,ACCURACY_VERYGOOD,1001.69,34.0,6.470240116119385,-3.5403199195861816,-4.822159767150879,-5.106283187866211,4.201796531677246,-7.817351341247559,0.0
3,5300.0,15.23,-19.13,16.02,ACCURACY_VERYGOOD,1001.69,34.0,6.470240116119385,-3.5403199195861816,-4.822159767150879,-5.106283187866211,4.201796531677246,-7.817351341247559,0.0
4,5400.0,13.79,-19.79,15.77,ACCURACY_VERYGOOD,1001.69,34.0,8.301440238952638,4.3338398933410645,2.1363999843597408,-5.31685209274292,2.8139593601226807,-7.668996810913086,0.0
5,5500.0,15.23,-19.13,16.02,ACCURACY_VERYGOOD,1001.69,33.0,8.301440238952638,4.3338398933410645,2.1363999843597408,-5.31685209274292,2.8139593601226807,-7.668996810913086,0.0
6,5600.0,15.23,-19.13,16.02,ACCURACY_VERYGOOD,1001.71,31.0,8.301440238952638,4.3338398933410645,2.1363999843597408,-5.31685209274292,2.8139593601226807,-7.668996810913086,0.0
7,5700.0,13.79,-19.61,15.17,ACCURACY_VERYGOOD,1001.71,31.0,1.2207999229431152,-0.122079998254776,-0.3051999807357788,-5.422136306762695,2.9168508052825928,-7.640282154083253,0.0
8,5800.0,13.79,-18.29,15.59,ACCURACY_VERYGOOD,1001.73,31.0,1.2207999229431152,-0.122079998254776,-0.3051999807357788,-5.422136306762695,2.9168508052825928,-7.640282154083253,0.0
9,5900.0,15.23,-17.15,16.61,ACCURACY_VERYGOOD,1001.73,31.0,12.452159881591795,4.761119842529297,-1.3428800106048584,-5.312066078186035,3.2207393646240234,-7.432106971740723,0.0
10,6000.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,1001.75,30.0,12.452159881591795,4.761119842529297,-1.3428800106048584,-5.312066078186035,3.2207393646240234,-7.432106971740723,0.0
11,6100.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,1001.75,30.0,12.452159881591795,4.761119842529297,-1.3428800106048584,-5.312066078186035,3.2207393646240234,-7.432106971740723,0.0
12,6200.0,15.89,-17.63,17.94,ACCURACY_VERYGOOD,1001.77,31.0,5.798799991607666,-2.5636799335479736,-5.4325599670410165,-5.345565319061278,2.562713146209717,-7.434500217437744,0.0
13,6300.0,16.61,-17.39,15.17,ACCURACY_VERYGOOD,1001.77,31.0,5.798799991607666,-2.5636799335479736,-5.4325599670410165,-5.345565319061278,2.562713146209717,-7.434500217437744,0.0
14,6400.0,15.89,-17.15,16.61,ACCURACY_VERYGOOD,1001.78,33.0,-6.4091997146606445,-3.723439931869507,-9.033920288085938,-5.1637115478515625,3.086741209030152,-7.716853141784668,0.0
15,6500.0,16.61,-17.63,15.83,ACCURACY_VERYGOOD,1001.78,33.0,-6.4091997146606445,-3.723439931869507,-9.033920288085938,-5.1637115478515625,3.086741209030152,-7.716853141784668,0.0
16,6600.0,15.89,-14.15,14.09,ACCURACY_VERYGOOD,1001.78,33.0,29.848560333251953,-3.84552001953125,-3.0520000457763667,-4.761716842651367,3.493520975112915,-7.623533248901367,0.0
17,6700.0,17.27,-12.53,16.02,ACCURACY_VERYGOOD,1001.79,33.0,29.848560333251953,-3.84552001953125,-3.0520000457763667,-4.761716842651367,3.493520975112915,-7.623533248901367,0.0
18,6800.0,17.27,-12.53,16.02,ACCURACY_VERYGOOD,1001.79,35.0,29.848560333251953,-3.84552001953125,-3.0520000457763667,-4.761716842651367,3.493520975112915,-7.623533248901367,0.0
19,6900.0,18.0,-8.88,15.77,ACCURACY_VERYGOOD,1001.79,35.0,88.14176177978516,-13.24567985534668,-1.8312000036239624,-4.321437358856201,0.5503491759300232,-9.128618240356444,0.0
20,6000.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,1001.75,30.0,12.452159881591795,4.761119842529297,-1.3428800106048584,-5.312066078186035,3.2207393646240234,-7.432106971740723,0.0
21,6100.0,14.51,-18.0,19.19,ACCURACY_VERYGOOD,1001.75,30.0,12.452159881591795,4.761119842529297,-1.3428800106048584,-5.312066078186035,3.2207393646240234,-7.432106971740723,0.0
22,6200.0,15.89,-17.63,17.94,ACCURACY_VERYGOOD,1001.77,31.0,5.798799991607666,-2.5636799335479736,-5.4325599670410165,-5.345565319061278,2.562713146209717,-7.434500217437744,0.0
23,6300.0,16.61,-17.39,15.17,ACCURACY_VERYGOOD,1001.77,31.0,5.798799991607666,-2.5636799335479736,-5.4325599670410165,-5.345565319061278,2.562713146209717,-7.434500217437744,0.0
24,6400.0,15.89,-17.15,16.61,ACCURACY_VERYGOOD,1001.78,33.0,-6.4091997146606445,-3.723439931869507,-9.033920288085938,-5.1637115478515625,3.086741209030152,-7.716853141784668,0.0
25,6500.0,16.61,-17.63,15.83,ACCURACY_VERYGOOD,1001.78,33.0,-6.4091997146606445,-3.723439931869507,-9.033920288085938,-5.1637115478515625,3.086741209030152,-7.716853141784668,0.0
26,6600.0,15.89,-14.15,14.09,ACCURACY_VERYGOOD,1001.78,33.0,29.848560333251953,-3.84552001953125,-3.0520000457763667,-4.761716842651367,3.493520975112915,-7.623533248901367,0.0
27,6700.0,17.27,-12.53,16.02,ACCURACY_VERYGOOD,1001.79,33.0,29.848560333251953,-3.84552001953125,-3.0520000457763667,-4.761716842651367,3.493520975112915,-7.623533248901367,0.0
28,6800.0,17.27,-12.53,16.02,ACCURACY_VERYGOOD,1001.79,35.0,29.848560333251953,-3.84552001953125,-3.0520000457763667,-4.761716842651367,3.493520975112915,-7.623533248901367,0.0
29,6900.0,18.0,-8.88,15.77,ACCURACY_VERYGOOD,1001.79,35.0,88.14176177978516,-13.24567985534668,-1.8312000036239624,-4.321437358856201,0.5503491759300232,-9.128618240356444,0.0
30,7000.0,19.37,-5.57,19.02,ACCURACY_VERYGOOD,1001.8,30.0,88.14176177978516,-13.24567985534668,-1.8312000036239624,-4.321437358856201,0.5503491759300232,-9.128618240356444,0.0
31,7100.0,19.37,-5.4,18.35,ACCURACY_VERYGOOD,1001.8,30.0,48.22159957885742,15.321040153503418,-22.828960418701172,-4.488935470581055,-0.27756744623184204,-9.841679573059082,0.0
32,7200.0,18.0,-3.0,17.69,ACCURACY_VERYGOOD,1001.83,30.0,48.22159957885742,15.321040153503418,-22.828960418701172,-4.488935470581055,-0.27756744623184204,-9.841679573059082,0.0
33,7300.0,18.0,-3.0,17.69,ACCURACY_VERYGOOD,1001.83,30.0,48.22159957885742,15.321040153503418,-22.828960418701172,-4.488935470581055,-0.27756744623184204,-9.841679573059082,0.0
34,7400.0,19.37,-3.24,18.35,ACCURACY_VERYGOOD,1001.85,29.0,-13.489839553833008,-9.522239685058594,-10.43783950805664,-4.2065820693969735,0.5934200286865234,-9.166903495788574,0.0
35,7500.0,19.37,-2.33,17.94,ACCURACY_VERYGOOD,1001.85,29.0,-13.489839553833008,-9.522239685058594,-10.43783950805664,-4.2065820693969735,0.5934200286865234,-9.166903495788574,0.0
36,7600.0,18.0,-1.86,18.77,ACCURACY_VERYGOOD,1001.86,31.0,5.066319942474365,-5.127359867095947,-1.7701599597930908,-4.431507587432861,0.5479563474655151,-8.642874717712402,0.0
37,7700.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.86,31.0,5.066319942474365,-5.127359867095947,-1.7701599597930908,-4.431507587432861,0.5479563474655151,-8.642874717712402,0.0
38,7800.0,18.71,-2.51,18.53,ACCURACY_VERYGOOD,1001.86,31.0,-1.0376800298690796,1.4039199352264404,-2.1974399089813232,-4.106083393096924,0.20817556977272034,-8.877371788024902,0.0
39,7900.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.88,33.0,-1.0376800298690796,1.4039199352264404,-2.1974399089813232,-4.106083393096924,0.20817556977272034,-8.877371788024902,0.0
40,7000.0,19.37,-5.57,19.02,ACCURACY_VERYGOOD,1001.8,30.0,88.14176177978516,-13.24567985534668,-1.8312000036239624,-4.321437358856201,0.5503491759300232,-9.128618240356444,0.0
41,7100.0,19.37,-5.4,18.35,ACCURACY_VERYGOOD,1001.8,30.0,48.22159957885742,15.321040153503418,-22.828960418701172,-4.488935470581055,-0.27756744623184204,-9.841679573059082,0.0
42,7200.0,18.0,-3.0,17.69,ACCURACY_VERYGOOD,1001.83,30.0,48.22159957885742,15.321040153503418,-22.828960418701172,-4.488935470581055,-0.27756744623184204,-9.841679573059082,0.0
43,7300.0,18.0,-3.0,17.69,ACCURACY_VERYGOOD,1001.83,30.0,48.22159957885742,15.321040153503418,-22.828960418701172,-4.488935470581055,-0.27756744623184204,-9.841679573059082,0.0
44,7400.0,19.37,-3.24,18.35,ACCURACY_VERYGOOD,1001.85,29.0,-13.489839553833008,-9.522239685058594,-10.43783950805664,-4.2065820693969735,0.5934200286865234,-9.166903495788574,0.0
45,7500.0,19.37,-2.33,17.94,ACCURACY_VERYGOOD,1001.85,29.0,-13.489839553833008,-9.522239685058594,-10.43783950805664,-4.2065820693969735,0.5934200286865234,-9.166903495788574,0.0
46,7600.0,18.0,-1.86,18.77,ACCURACY_VERYGOOD,1001.86,31.0,5.066319942474365,-5.127359867095947,-1.7701599597930908,-4.431507587432861,0.5479563474655151,-8.642874717712402,0.0
47,7700.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.86,31.0,5.066319942474365,-5.127359867095947,-1.7701599597930908,-4.431507587432861,0.5479563474655151,-8.642874717712402,0.0
48,7800.0,18.71,-2.51,18.53,ACCURACY_VERYGOOD,1001.86,31.0,-1.0376800298690796,1.4039199352264404,-2.1974399089813232,-4.106083393096924,0.20817556977272034,-8.877371788024902,0.0
49,7900.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.88,33.0,-1.0376800298690796,1.4039199352264404,-2.1974399089813232,-4.106083393096924,0.20817556977272034,-8.877371788024902,0.0
50,8000.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.88,35.0,-1.0376800298690796,1.4039199352264404,-2.1974399089813232,-4.106083393096924,0.20817556977272034,-8.877371788024902,0.0
51,8100.0,18.71,-4.07,18.77,ACCURACY_VERYGOOD,1001.88,35.0,1.4649599790573118,4.089679718017578,-4.578000068664551,-4.3405799865722665,0.1579262912273407,-8.774479866027832,0.0
52,8200.0,20.81,-1.19,16.85,ACCURACY_VERYGOOD,1001.88,36.0,1.4649599790573118,4.089679718017578,-4.578000068664551,-4.3405799865722665,0.1579262912273407,-8.774479866027832,0.0
53,8300.0,18.71,-2.15,17.34,ACCURACY_VERYGOOD,1001.88,36.0,-1.4039199352264404,-4.761119842529297,-0.976639986038208,-4.335794448852538,0.2488535493612289,-8.738588333129883,0.0
54,8400.0,20.1,-1.01,16.19,ACCURACY_VERYGOOD,1001.85,35.0,-1.4039199352264404,-4.761119842529297,-0.976639986038208,-4.335794448852538,0.2488535493612289,-8.738588333129883,0.0
55,8500.0,20.1,-1.5,15.35,ACCURACY_VERYGOOD,1001.85,35.0,-2.3805599212646484,-6.165040016174316,0.488319993019104,-4.335794448852538,0.2488535493612289,-8.738588333129883,0.0
56,8600.0,20.1,-1.01,16.19,ACCURACY_VERYGOOD,1001.83,36.0,-2.3805599212646484,-6.165040016174316,0.488319993019104,-3.7232320308685294,0.42831525206565857,-9.138189315795898,0.0
57,8700.0,20.81,-0.59,17.03,ACCURACY_VERYGOOD,1001.83,36.0,-2.3805599212646484,-6.165040016174316,0.488319993019104,-3.7232320308685294,0.42831525206565857,-9.138189315795898,0.0
58,8800.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.81,38.0,-2.075360059738159,6.1040000915527335,-2.014319896697998,-4.0390844345092765,0.3349951505661011,-8.791230201721191,0.0
59,8900.0,18.71,-0.11,17.94,ACCURACY_VERYGOOD,1001.81,38.0,-2.075360059738159,6.1040000915527335,-2.014319896697998,-4.0390844345092765,0.3349951505661011,-8.791230201721191,0.0
60,8000.0,18.0,-1.91,16.61,ACCURACY_VERYGOOD,1001.88,35.0,-1.0376800298690796,1.4039199352264404,-2.1974399089813232,-4.106083393096924,0.20817556977272034,-8.877371788024902,0.0
61,8100.0,18.71,-4.07,18.77,ACCURACY_VERYGOOD,1001.88,35.0,1.4649599790573118,4.089679718017578,-4.578000068664551,-4.3405799865722665,0.1579262912273407,-8.774479866027832,0.0
