timestamp,uv
1483080247489,0
1483080247786,0
1483080247990,0
1483080248282,0
1483080248496,0
1483080248784,0
1483080249080,0
1483080249286,0
1483080249585,0
1483080249880,0
1483080250181,0
1483080250392,0
1483080250680,0
1483080250980,0
1483080251181,0
1483080251478,0
1483080251678,0
1483080251981,0
1483080252275,0
1483080252498,0
1483080252775,0
1483080253075,0
1483080253378,0
1483080253695,0
1483080253973,0
1483080254272,0
1483080254572,0
1483080254775,0
1483080255069,0
1483080255271,0
1483080255573,0
1483080255775,0
1483080256066,0
1483080256288,0
1483080256568,0
1483080256769,0
1483080256971,0
1483080257265,0
1483080257477,0
1483080257765,0
1483080258064,0
1483080258268,0
1483080258566,0
1483080258767,0
1483080259062,0
1483080259262,0
1483080259564,0
1483080259764,0
1483080260060,0
1483080260362,0
1483080260564,0
1483080260859,0
1483080261079,0
1483080261360,0
1483080261658,0
1483080261960,0
1483080262277,0
1483080262556,0
1483080262757,0
1483080262960,0
1483080263252,0
1483080263466,0
1483080263754,0
1483080264051,0
1483080264252,0
1483080264554,0
1483080264754,0
1483080264955,0
1483080265250,0
1483080265550,0
1483080265752,0
1483080266047,0
1483080266249,0
1483080266468,0
1483080266747,0
1483080266948,0
1483080267148,0
1483080267350,0
1483080267644,0
1483080267857,0
1483080268145,0
1483080268347,0
1483080268548,0
1483080268841,0
1483080269060,0
1483080269344,0
1483080269641,0
1483080269947,0
1483080270238,0
1483080270462,0
1483080270740,0
1483080270940,0
1483080271143,0
1483080271437,0
1483080271650,0
1483080271940,0
1483080272237,0
1483080272539,0
1483080272847,0
1483080273135,0
1483080273434,0
1483080273737,0
1483080274031,0
1483080274253,0
1483080274532,0
1483080274732,0
1483080274934,0
1483080275138,0
1483080275428,0
1483080275653,0
1483080275929,0
1483080276129,0
1483080276332,0
1483080276625,0
1483080276839,0
1483080277130,0
1483080277426,0
1483080277730,0
1483080278023,0
1483080278242,0
1483080278525,0
1483080278824,0
1483080279128,0
1483080279444,0
1483080279722,0
1483080280019,0
1483080280221,0
1483080280522,0
1483080280819,0
1483080281119,0
1483080281322,0
1483080281523,0
1483080281816,0
1483080282041,0
1483080282321,0
1483080282615,0
1483080282815,0
1483080283118,0
1483080283319,0
1483080283613,0
1483080283813,0
1483080284116,0
1483080284425,0
1483080284712,0
1483080284913,0
1483080285117,0
1483080285409,0
1483080285632,0
1483080285910,0
1483080286209,0
1483080286509,0
1483080286711,0
1483080286911,0
1483080287207,0
1483080287508,0
1483080287710,0
1483080288004,0
1483080288222,0
1483080288504,0
1483080288706,0
1483080288908,0
1483080289201,0
1483080289415,0
1483080289703,0
1483080289904,0
1483080290200,0
1483080290401,0
1483080290701,0
1483080290904,0
1483080291199,0
1483080291508,0
1483080291796,0
1483080292018,0
1483080292297,0
1483080292597,0
1483080292900,0
1483080293193,0
1483080293412,0
1483080293694,0
1483080293995,0
1483080294295,0
1483080294604,0
1483080294892,0
1483080295190,0
1483080295391,0
1483080295693,0
1483080295893,0
1483080296188,0
1483080296498,0
1483080296786,0
1483080297001,0
1483080297292,0
1483080297586,0
1483080297889,0
1483080298202,0
1483080298485,0
1483080298687,0
1483080298889,0
1483080299182,0
1483080299395,0
1483080299682,0
1483080299884,0
1483080300086,0
1483080300379,0
1483080300599,0
1483080300880,0
1483080301180,0
1483080301497,0
1483080301777,0
1483080302001,0
1483080302277,0
1483080302477,0
1483080302677,0
1483080302880,0
1483080303173,0
1483080303387,0
1483080303676,0
1483080303973,0
1483080304275,0
1483080304476,0
1483080304677,0
1483080304972,0
1483080305272,0
1483080305472,0
1483080305675,0
1483080305968,0
1483080306190,0
1483080306472,0
1483080306769,0
1483080307069,0
1483080307383,0
1483080307589,0
1483080307867,0
1483080308166,0
1483080308470,0
1483080308763,0
1483080308976,0
1483080309263,0
1483080309463,0
1483080309668,0
1483080309960,0
1483080310181,0
1483080310461,0
1483080310662,0
1483080310865,0
1483080311158,0
1483080311381,0
1483080311660,0
1483080311958,0
1483080312261,0
1483080312580,0
1483080312859,0
1483080313155,0
1483080313355,0
1483080313657,0
1483080313857,0
1483080314154,0
1483080314454,0
1483080314752,0
1483080315060,0
1483080315350,0
1483080315573,0
1483080315851,0
