timestamp,uv
1483078474427,0
1483078474715,0
1483078474938,0
1483078475216,0
1483078475516,0
1483078475819,0
1483078476134,0.05
1483078476415,0
1483078476712,0
1483078476913,0
1483078477213,0
1483078477414,0
1483078477615,0
1483078477910,0
1483078478110,0
1483078478311,0
1483078478611,0
1483078478812,0
1483078479111,0
1483078479408,0
1483078479612,0
1483078479905,0
1483078480118,0
1483078480406,0
1483078480706,0
1483078481007,0
1483078481207,0
1483078481504,0
1483078481803,0
1483078482009,0
1483078482301,0
1483078482514,0
1483078482800,0
1483078483001,0
1483078483202,0
1483078483407,0
1483078483697,0
1483078483916,0
1483078484202,0
1483078484497,0
1483078484801,0
1483078485116,0
1483078485397,0
1483078485600,0
1483078485801,0
1483078486093,0
1483078486306,0
1483078486519,0
1483078486793,0
1483078486994,0
1483078487196,0
1483078487491,0
1483078487716,0
1483078487993,0
1483078488290,0
1483078488491,0.05
1483078488792,0
1483078489090,0
1483078489390,0
1483078489592,0
1483078489885,0
1483078490111,0
1483078490387,0
1483078490594,0
1483078490886,0
1483078491189,0
1483078491389,0
1483078491682,0
1483078491883,0
1483078492083,0
1483078492386,0
1483078492702,0
1483078492983,0
1483078493281,0
1483078493481,0
1483078493781,0
1483078493983,0
1483078494279,0
1483078494479,0
1483078494780,0
1483078495090,0
1483078495377,0
1483078495675,0
1483078495876,0
1483078496177,0
1483078496378,0
1483078496672,0
1483078496873,0
1483078497179,0
1483078497471,0
1483078497696,0
1483078497976,0
1483078498270,0
1483078498575,0
1483078498868,0
1483078499092,0
1483078499369,0
1483078499570,0
1483078499772,0
1483078500066,0
1483078500286,0
1483078500566,0
1483078500866,0
1483078501168,0
1483078501369,0
1483078501664,0
1483078501963,0
1483078502170,0
1483078502460,0
1483078502684,0
1483078502963,0
1483078503261,0
1483078503461,0
1483078503763,0
1483078504062,0
1483078504360,0
1483078504566,0
1483078504856,0
1483078505071,0.05
1483078505358,0
1483078505559,0
1483078505760,0
1483078506053,0
1483078506276,0
1483078506555,0
1483078506853,0.05
1483078507156,0
1483078507472,0
1483078507752,0
1483078507952,0
1483078508158,0
1483078508450,0
1483078508673,0
1483078508952,0
1483078509249,0
1483078509550,0
1483078509750,0.05
1483078509952,0
1483078510247,0
1483078510551,0
1483078510844,0
1483078511069,0
1483078511346,0.05
1483078511644,0
1483078511947,0
1483078512147,0
1483078512347,0
1483078512641,0
1483078512841,0
1483078513042,0
1483078513343,0
1483078513544,0
1483078513842,0
1483078514141,0
1483078514341,0
1483078514541,0
1483078514853,0
1483078515140,0
1483078515436,0
1483078515636,0
1483078515940,0
1483078516233,0
1483078516454,0
1483078516735,0
1483078517033,0
1483078517233,0
1483078517536,0
1483078517835,0
1483078518133,0
1483078518337,0
1483078518629,0
1483078518851,0
1483078519130,0
1483078519330,0
1483078519534,0
1483078519826,0
1483078520040,0
1483078520329,0
1483078520626,0
1483078520827,0
1483078521129,0
1483078521425,0
1483078521724,0
1483078521928,0
1483078522222,0
1483078522444,0
1483078522722,0
1483078522922,0
1483078523126,0
1483078523420,0
1483078523642,0
1483078523921,0
1483078524122,0
1483078524322,0
1483078524617,0
1483078524839,0
1483078525119,0
1483078525319,0
1483078525525,0
1483078525814,0
1483078526035,0
1483078526316,0
1483078526517,0
1483078526719,0
1483078527012,0
1483078527233,0
1483078527514,0
1483078527716,0
1483078527916,0
1483078528211,0
1483078528431,0
1483078528711,0
1483078529010,0
1483078529211,0
1483078529511,0
1483078529807,0
1483078530009,0
1483078530308,0
1483078530511,0
1483078530805,0
1483078531019,0
1483078531307,0
1483078531603,0
1483078531803,0
1483078532108,0
1483078532426,0
1483078532702,0
1483078532903,0
1483078533107,0
1483078533400,0
1483078533623,0
1483078533901,0
1483078534101,0
1483078534303,0
1483078534597,0
1483078534817,0
1483078535101,0
1483078535398,0
1483078535697,0
1483078535899,0
