timestamp,mx,my,mz
1474472139398,-221.18899536132813,-167.33700561523438,-768.9229736328125
1474472139399,-220.2779998779297,-167.33700561523438,-768.2470092773438
1474472139415,-218.35699462890625,-168.1739959716797,-766.9979858398438
1474472139432,-217.7530059814453,-168.1739959716797,-766.9979858398438
1474472139451,-216.27000427246094,-169.20399475097656,-766.5750122070313
1474472139471,-214.97799682617188,-170.11199951171875,-765.06298828125
1474472139495,-213.5709991455078,-170.43600463867188,-764.0560302734375
1474472139511,-214.16700744628906,-171.1479949951172,-762.5989990234375
1474472139531,-212.67999267578125,-171.7689971923828,-761.7050170898438
1474472139552,-210.5749969482422,-172.18099975585938,-760.3389892578125
1474472139572,-211.2969970703125,-172.18099975585938,-761.3090209960938
1474472139592,-211.2969970703125,-172.6820068359375,-759.7969970703125
1474472139612,-210.7779998779297,-172.6820068359375,-760.1279907226563
1474472139632,-211.8780059814453,-172.29100036621094,-760.7579956054688
1474472139652,-211.1840057373047,-172.74600219726563,-760.0050048828125
1474472139676,-211.1840057373047,-172.22500610351563,-761.427001953125
1474472139693,-211.1840057373047,-172.22500610351563,-760.8040161132813
1474472139712,-210.7740020751953,-172.22500610351563,-760.1309814453125
1474472139732,-211.28199768066406,-172.22500610351563,-761.5139770507813
1474472139752,-211.28199768066406,-171.86099243164063,-760.2899780273438
1474472139772,-211.28199768066406,-171.86099243164063,-760.9929809570313
1474472139793,-211.61099243164063,-171.86099243164063,-760.9929809570313
1474472139812,-211.0709991455078,-171.86099243164063,-760.635009765625
1474472139832,-211.53199768066406,-171.86099243164063,-761.1480102539063
1474472139860,-211.53199768066406,-171.86099243164063,-761.1480102539063
1474472139872,-211.53199768066406,-172.18600463867188,-761.1480102539063
1474472139892,-211.53199768066406,-172.18600463867188,-760.8209838867188
1474472139912,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472139935,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472139954,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472139973,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472139992,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472140015,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472140035,-211.13999938964844,-172.18600463867188,-760.8209838867188
1474472140052,-211.13999938964844,-172.49899291992188,-760.8209838867188
1474472140072,-211.13999938964844,-172.49899291992188,-760.8209838867188
1474472140092,-211.13999938964844,-172.49899291992188,-760.8209838867188
1474472140113,-211.13999938964844,-172.49899291992188,-760.8209838867188
1474472140132,-211.13999938964844,-172.49899291992188,-760.8209838867188
1474472140153,-211.13999938964844,-172.49899291992188,-760.8209838867188
1474472140172,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140192,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140216,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140232,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140251,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140272,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140292,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140312,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140333,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140352,-211.13999938964844,-172.83299255371094,-760.8209838867188
1474472140372,-211.13999938964844,-173.14999389648438,-760.8209838867188
1474472140398,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140412,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140432,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140453,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140472,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140492,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140513,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140533,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140553,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140578,-211.13999938964844,-173.14999389648438,-760.5020141601563
1474472140593,-211.13999938964844,-173.14999389648438,-760.1710205078125
1474472140613,-211.13999938964844,-173.14999389648438,-760.1710205078125
1474472140633,-211.13999938964844,-173.14999389648438,-760.1710205078125
1474472140653,-211.13999938964844,-173.14999389648438,-760.1710205078125
1474472140673,-211.13999938964844,-173.14999389648438,-760.1710205078125
1474472140693,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140713,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140733,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140758,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140773,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140793,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140813,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140833,-210.82899475097656,-173.14999389648438,-760.1710205078125
1474472140853,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140873,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140893,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140913,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140939,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140953,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140973,-210.82899475097656,-173.14999389648438,-759.833984375
1474472140993,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141013,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141033,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141056,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141073,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141136,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141136,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141136,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141152,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141173,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141193,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141216,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141236,-210.82899475097656,-173.14999389648438,-759.833984375
1474472141253,-210.82899475097656,-173.14999389648438,-760.1799926757813
1474472141273,-210.82899475097656,-173.14999389648438,-760.1799926757813
1474472141296,-210.82899475097656,-173.14999389648438,-760.1799926757813
1474472141313,-210.82899475097656,-173.14999389648438,-760.1799926757813
1474472141333,-210.82899475097656,-173.46800231933594,-760.1799926757813
1474472141353,-210.82899475097656,-173.46800231933594,-760.5360107421875
