1474192285009,48.11,-9,38.87,ACCURACY_BAD
1474192285103,45.29,12.96,24.77,ACCURACY_BAD
1474192285206,45.29,11.03,26.21,ACCURACY_BAD
1474192285303,46.68,11.63,24.35,ACCURACY_BAD
1474192285404,46.02,12.77,23.27,ACCURACY_BAD
1474192285502,47.39,11.46,22.79,ACCURACY_BAD
1474192285604,47.39,11.27,23.45,ACCURACY_BAD
1474192285731,46.68,12.11,23.03,ACCURACY_BAD
1474192285804,45.29,11.46,22.79,ACCURACY_BAD
1474192285900,46.68,9.71,23.69,ACCURACY_BAD
1474192286009,46.02,11.63,24.35,ACCURACY_BAD
1474192286105,47.39,9.05,23.45,ACCURACY_BAD
1474192286206,45.29,9.53,24.35,ACCURACY_BAD
1474192286316,46.68,9.05,23.45,ACCURACY_BAD
1474192286469,46.68,8.39,23.27,ACCURACY_BAD
1474192286505,46.02,11.27,23.45,ACCURACY_BAD
1474192286603,45.29,9.05,23.45,ACCURACY_BAD
1474192286705,46.68,10.13,24.53,ACCURACY_BAD
1474192286799,46.02,11.27,23.45,ACCURACY_BAD
1474192286916,46.02,9.96,23.03,ACCURACY_BAD
1474192286998,45.29,9.71,23.69,ACCURACY_BAD
1474192287114,46.68,8.39,23.27,ACCURACY_BAD
1474192287201,45.29,9.71,23.69,ACCURACY_BAD
1474192287298,46.68,10.38,23.93,ACCURACY_BAD
1474192287401,46.02,9.96,23.03,ACCURACY_BAD
1474192287523,45.29,9.05,23.45,ACCURACY_BAD
1474192287602,47.39,8.34,21.11,ACCURACY_BAD
1474192287697,46.68,10.55,23.21,ACCURACY_BAD
1474192287796,45.29,9.96,23.03,ACCURACY_BAD
1474192287896,45.29,8.81,24.11,ACCURACY_BAD
1474192287997,45.29,10.55,23.21,ACCURACY_BAD
1474192288098,46.02,11.03,24.11,ACCURACY_BAD
1474192288197,45.29,10.85,24.77,ACCURACY_BAD
1474192288298,44.57,9.3,24.95,ACCURACY_BAD
1474192288399,46.68,10.55,23.21,ACCURACY_BAD
1474192288497,46.02,9.05,23.45,ACCURACY_BAD
1474192288597,45.29,10.38,23.93,ACCURACY_BAD
1474192288696,46.02,9.53,24.35,ACCURACY_BAD
1474192288797,46.02,10.13,24.53,ACCURACY_BAD
1474192288910,46.68,10.8,22.61,ACCURACY_BAD
1474192288997,47.39,8.81,24.11,ACCURACY_BAD
1474192289095,46.68,11.03,24.11,ACCURACY_BAD
1474192289197,44.57,10.13,24.53,ACCURACY_BAD
1474192289296,46.68,11.88,23.63,ACCURACY_BAD
1474192289394,46.02,7.98,24.53,ACCURACY_BAD
1474192289527,45.29,8.69,26.87,ACCURACY_BAD
1474192289594,45.29,3.89,30.35,ACCURACY_BAD
1474192289695,44.57,-2.33,29.63,ACCURACY_BAD
1474192289796,47.39,-9,36.71,ACCURACY_BAD
1474192289895,51.59,-15.29,38.27,ACCURACY_BAD
1474192289998,59.27,-26.45,38.87,ACCURACY_BAD
1474192290094,63.41,-27.59,33.54,ACCURACY_BAD
1474192290197,64.13,-28.5,33.95,ACCURACY_BAD
1474192290292,64.86,-24.84,31.55,ACCURACY_BAD
1474192290394,66.9,-21.77,29.03,ACCURACY_BAD
1474192290508,65.51,-20.03,28.19,ACCURACY_BAD
1474192290596,66.23,-17.21,26.27,ACCURACY_BAD
1474192290693,65.51,-20.03,26.03,ACCURACY_BAD
1474192290792,67.61,-17.69,25.37,ACCURACY_BAD
1474192290892,69,-19.43,26.27,ACCURACY_BAD
1474192290995,65.51,-17.21,26.27,ACCURACY_BAD
1474192291092,66.9,-18.29,25.19,ACCURACY_BAD
1474192291194,66.23,-18.53,25.85,ACCURACY_BAD
1474192291294,67.61,-17.45,24.71,ACCURACY_BAD
1474192291392,66.23,-17.94,26.03,ACCURACY_BAD
1474192291489,64.86,-16.79,27.11,ACCURACY_BAD
1474192291592,66.23,-17.94,23.93,ACCURACY_BAD
1474192291701,67.61,-18.77,24.29,ACCURACY_BAD
1474192291790,65.51,-17.21,26.27,ACCURACY_BAD
1474192291891,65.51,-15.96,24.53,ACCURACY_BAD
1474192291989,66.23,-18.53,25.85,ACCURACY_BAD
1474192292087,65.51,-16.79,24.95,ACCURACY_BAD
1474192292190,66.9,-16.79,24.95,ACCURACY_BAD
1474192292290,64.86,-15.96,24.53,ACCURACY_BAD
1474192292392,66.23,-17.69,25.37,ACCURACY_BAD
1474192292488,66.23,-16.19,25.19,ACCURACY_BAD
1474192292592,67.61,-22.92,25.79,ACCURACY_BAD
1474192292688,72.47,-29.81,33.54,ACCURACY_BAD
1474192292789,71.81,-24.23,52.37,ACCURACY_BAD
1474192292887,71.81,-0.11,63.05,ACCURACY_BAD
1474192292989,68.33,13.85,53.45,ACCURACY_BAD
1474192293105,71.09,15.59,50.39,ACCURACY_BAD
1474192293188,71.81,15.11,47.39,ACCURACY_BAD
1474192293287,70.43,15.35,48.95,ACCURACY_BAD
1474192293389,71.09,13.61,49.79,ACCURACY_BAD
1474192293487,69.72,13.31,48.29,ACCURACY_BAD
1474192293587,71.81,13.55,47.63,ACCURACY_BAD
1474192293687,69.72,13.13,48.89,ACCURACY_BAD
1474192293787,69.72,14.69,48.71,ACCURACY_BAD
1474192293887,72.47,12.71,48.11,ACCURACY_BAD
1474192293988,69.72,13.79,49.13,ACCURACY_BAD
1474192294085,69.72,12.53,48.71,ACCURACY_BAD
1474192294186,70.43,13.79,49.13,ACCURACY_BAD
1474192294284,71.09,12.53,48.71,ACCURACY_BAD
1474192294384,71.09,11.39,49.79,ACCURACY_BAD
1474192294486,70.43,13.61,49.79,ACCURACY_BAD
1474192294585,70.43,12.3,51.47,ACCURACY_BAD
1474192294691,69.72,13.13,48.89,ACCURACY_BAD
