,timestamp,mx,my,mz,mAc
105,15500.0,72.47,11.21,10.01,ACCURACY_BAD
106,15600.0,72.47,8.22,8.27,ACCURACY_BAD
107,15700.0,71.09,2.46,5.69,ACCURACY_BAD
108,15800.0,69.0,-1.62,2.93,ACCURACY_BAD
109,15900.0,71.09,-5.15,2.51,ACCURACY_BAD
110,16000.0,69.72,-6.65,2.7,ACCURACY_BAD
111,16100.0,66.9,-7.07,1.86,ACCURACY_BAD
112,16200.0,66.9,-9.47,2.46,ACCURACY_BAD
113,16300.0,65.51,-8.46,1.43,ACCURACY_BAD
114,16400.0,65.51,-8.46,1.43,ACCURACY_BAD
115,16500.0,66.9,-6.48,2.09,ACCURACY_BAD
116,16600.0,69.0,-6.48,2.03,ACCURACY_BAD
117,16700.0,70.43,6.59,4.19,ACCURACY_BAD
118,16800.0,69.72,8.81,6.35,ACCURACY_BAD
119,16900.0,70.43,9.42,6.59,ACCURACY_BAD
120,17000.0,69.72,8.51,4.85,ACCURACY_BAD
121,17100.0,69.72,8.51,4.85,ACCURACY_BAD
122,17200.0,70.43,6.59,4.19,ACCURACY_BAD
123,17300.0,69.72,4.73,0.83,ACCURACY_BAD
124,17400.0,68.33,1.67,1.19,ACCURACY_BAD
125,17500.0,66.9,-3.24,-1.01,ACCURACY_BAD
126,17600.0,64.13,-11.09,-1.5,ACCURACY_BAD
127,17700.0,63.41,-13.97,-3.83,ACCURACY_BAD
128,17800.0,64.86,-9.84,-5.27,ACCURACY_BAD
129,17900.0,64.86,-10.97,-4.25,ACCURACY_BAD
130,18000.0,62.03,-10.97,-4.25,ACCURACY_BAD
131,18100.0,62.03,-13.55,-3.0,ACCURACY_BAD
132,18200.0,62.03,-10.97,-4.25,ACCURACY_BAD
133,18300.0,62.75,-12.23,-4.67,ACCURACY_BAD
134,18400.0,65.51,-7.01,-5.09,ACCURACY_BAD
135,18500.0,66.23,-1.31,-2.46,ACCURACY_BAD
136,18600.0,68.33,3.83,-2.93,ACCURACY_BAD
137,18700.0,69.72,4.44,-2.75,ACCURACY_BAD
138,18800.0,71.09,3.35,-3.77,ACCURACY_BAD
139,18900.0,72.47,2.7,-4.01,ACCURACY_BAD
140,19000.0,71.09,1.86,-3.59,ACCURACY_BAD
141,19100.0,69.72,-0.05,-4.19,ACCURACY_BAD
142,19200.0,69.72,-2.63,-5.09,ACCURACY_BAD
143,19300.0,67.61,-7.01,-5.09,ACCURACY_BAD
144,19400.0,65.51,-11.88,-5.94,ACCURACY_BAD
145,19500.0,64.13,-15.35,-6.35,ACCURACY_BAD
