,timestamp,uv,timestamp,gx,gy,gz,timestamp,ax,ay,az,timestamp,light,timestamp,mx,my,mz,mAc,timestamp,pressure
0,5000.0,0.0,5000.0,-3.84552001953125,0.7324799895286559,1.2207999229431152,5000.0,-1.4213367700576782,3.658626079559326,-9.025726318359377,5000.0,112.0,5000.0,51.59,-16.97,14.27,ACCURACY_BAD,5000.0,1000.5
1,5100.0,0.0,5100.0,-3.84552001953125,0.7324799895286559,1.2207999229431152,5100.0,-1.4213367700576782,3.658626079559326,-9.025726318359377,5100.0,112.0,5100.0,51.59,-16.97,14.27,ACCURACY_BAD,5100.0,1000.5
2,5200.0,0.0,5200.0,-3.84552001953125,0.7324799895286559,1.2207999229431152,5200.0,-1.4213367700576782,3.658626079559326,-9.025726318359377,5200.0,112.0,5200.0,51.59,-16.97,14.27,ACCURACY_BAD,5200.0,1000.5
3,5300.0,0.0,5300.0,-7.99623966217041,-0.5493599772453308,1.1597599983215332,5300.0,-1.6845470666885376,3.5964124202728267,-8.729016304016112,5300.0,112.0,5300.0,51.59,-16.97,14.27,ACCURACY_BAD,5300.0,1000.5
4,5400.0,0.0,5400.0,-7.99623966217041,-0.5493599772453308,1.1597599983215332,5400.0,-1.6845470666885376,3.5964124202728267,-8.729016304016112,5400.0,112.0,5400.0,51.59,-16.97,14.27,ACCURACY_BAD,5400.0,1000.5
5,5500.0,0.0,5500.0,-3.0520000457763667,0.6714400053024292,1.7091200351715088,5500.0,-1.5026925802230835,3.90987229347229,-8.731410026550293,5500.0,112.0,5500.0,50.15,-16.97,14.27,ACCURACY_BAD,5500.0,1000.5
6,5600.0,0.0,5600.0,-3.0520000457763667,0.6714400053024292,1.7091200351715088,5600.0,-1.5026925802230835,3.90987229347229,-8.731410026550293,5600.0,112.0,5600.0,50.15,-16.97,14.27,ACCURACY_BAD,5600.0,1000.5
7,5700.0,0.0,5700.0,-3.0520000457763667,0.6714400053024292,1.7091200351715088,5700.0,-1.5026925802230835,3.90987229347229,-8.731410026550293,5700.0,112.0,5700.0,50.15,-16.97,14.27,ACCURACY_BAD,5700.0,1000.5
8,5800.0,0.0,5800.0,0.244159996509552,-0.488319993019104,-0.3051999807357788,5800.0,-1.584048628807068,4.027120590209962,-8.843873023986816,5800.0,112.0,5800.0,50.15,-16.97,14.27,ACCURACY_BAD,5800.0,1000.49
9,5900.0,0.0,5900.0,0.244159996509552,-0.488319993019104,-0.3051999807357788,5900.0,-1.584048628807068,4.027120590209962,-8.843873023986816,5900.0,112.0,5900.0,50.87,-16.31,14.46,ACCURACY_BAD,5900.0,1000.49
10,6000.0,0.0,6000.0,2.807839870452881,0.6103999614715576,0.7324799895286559,6000.0,-1.6223337650299072,3.845265865325928,-8.934800148010254,6000.0,109.0,6000.0,50.87,-16.31,14.46,ACCURACY_BAD,6000.0,1000.47
11,6100.0,0.0,6100.0,2.807839870452881,0.6103999614715576,0.7324799895286559,6100.0,-1.6223337650299072,3.845265865325928,-8.934800148010254,6100.0,109.0,6100.0,50.87,-16.07,16.02,ACCURACY_BAD,6100.0,1000.47
12,6200.0,0.0,6200.0,1.5260000228881836,1.0987199544906616,1.7701599597930908,6200.0,-1.856830358505249,4.371686935424806,-8.465806007385254,6200.0,113.0,6200.0,50.87,-16.07,16.02,ACCURACY_BAD,6200.0,1000.46
13,6300.0,0.0,6300.0,1.5260000228881836,1.0987199544906616,1.7701599597930908,6300.0,-1.856830358505249,4.371686935424806,-8.465806007385254,6300.0,113.0,6300.0,51.59,-16.07,13.85,ACCURACY_BAD,6300.0,1000.46
14,6400.0,0.0,6400.0,1.5260000228881836,1.0987199544906616,1.7701599597930908,6400.0,-1.856830358505249,4.371686935424806,-8.465806007385254,6400.0,113.0,6400.0,51.59,-16.07,13.85,ACCURACY_BAD,6400.0,1000.43
15,6500.0,0.0,6500.0,-0.488319993019104,1.7091200351715088,2.5636799335479736,6500.0,-1.5601203441619873,3.5964124202728267,-8.989834785461426,6500.0,113.0,6500.0,51.59,-15.23,13.43,ACCURACY_BAD,6500.0,1000.43
16,6600.0,0.0,6600.0,-0.488319993019104,1.7091200351715088,2.5636799335479736,6600.0,-1.5601203441619873,3.5964124202728267,-8.989834785461426,6600.0,113.0,6600.0,51.59,-15.23,13.43,ACCURACY_BAD,6600.0,1000.43
17,6700.0,0.0,6700.0,-24.11079978942871,2.5636799335479736,-0.3051999807357788,6700.0,-1.6319050788879397,4.764110088348389,-8.484949111938478,6700.0,113.0,6700.0,51.59,-15.23,13.43,ACCURACY_BAD,6700.0,1000.43
18,6800.0,0.0,6800.0,-24.11079978942871,2.5636799335479736,-0.3051999807357788,6800.0,-1.6319050788879397,4.764110088348389,-8.484949111938478,6800.0,113.0,6800.0,51.59,-13.31,11.88,ACCURACY_BAD,6800.0,1000.39
19,6900.0,0.0,6900.0,-3.3571999073028564,1.0987199544906616,1.0376800298690796,6900.0,-1.7515461444854736,4.792823314666748,-8.123632431030272,6900.0,113.0,6900.0,51.59,-13.31,11.88,ACCURACY_BAD,6900.0,1000.39
20,6000.0,0.0,6000.0,2.807839870452881,0.6103999614715576,0.7324799895286559,6000.0,-1.6223337650299072,3.845265865325928,-8.934800148010254,6000.0,109.0,6000.0,50.87,-16.31,14.46,ACCURACY_BAD,6000.0,1000.47
21,6100.0,0.0,6100.0,2.807839870452881,0.6103999614715576,0.7324799895286559,6100.0,-1.6223337650299072,3.845265865325928,-8.934800148010254,6100.0,109.0,6100.0,50.87,-16.07,16.02,ACCURACY_BAD,6100.0,1000.47
