,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_yz,sp_cov_a_xz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
65,-3.0587722301483153,-2.9828760981559754,8.374423694610595,9.401389432340254,0.0006301796150450958,0.0011359865761603367,0.00022105511030904112,0.00043474049445791236,0.000254174469401175,0.00010003149376970763,-0.0001434005309455168,-0.00019756024490909151,-0.000573559641321856,0.00021006243181359303,0.36308354073608845,0.4057837636741091,0.2766639375196328,0.31399866934337056,3.4645454773564035,3.3774182718256998,3.436665747573151,3.3165210267314595,-4.8726244330406185,8.087261962890626,-2.6359932482242585,9.804521438435843,0.008158990447547813,0.011198708603268893,0.025065993165833862,0.009649015106617661,0.003549461571839921,-0.003164754716044258,-0.004057968199866744,-0.0003971384161341308,0.00859554823503885,-0.008479872513606294,0.5847870516905705,0.7239237303966884,0.8927929600713632,0.7058343570808061,3.0812306604912054,3.377008166586787,3.4011013680054027,3.410888714715158
66,-3.0487614393234255,-2.9860633611679077,8.377221965789795,9.401623058410028,0.0002918445806343673,0.0010665546559260831,0.00011970662950867721,0.0003011238135390482,9.983703601899772e-05,1.0338507809138752e-05,-8.98947208987462e-05,-0.0001179017539192017,-0.00045350078273451573,0.00013207490883220446,0.2991586788439916,0.4293293024324349,0.23417049965381115,0.2991881776567427,3.4521861512782572,3.554305953797645,3.391028072960265,3.4194660144681928,-4.813043081760407,8.139305782318115,-2.5723441541194916,9.799889754148456,0.0013236277626346566,0.006427299425792128,0.0031583252400000502,0.0035221536875659765,0.0008520749994332561,0.000364761002501261,0.001941208143444475,-3.8841757847492514e-05,0.004409622320149261,0.0006055161827749778,0.41342220120230105,0.613718032245962,0.48428756007416074,0.5470159427522534,3.338892920401259,3.3341205227127624,3.232127331683905,3.395319324688161
67,-3.0559291005134583,-2.9930813312530518,8.375605869293214,9.404730862617097,0.0004602109596547539,0.000575073340574141,0.00010631358619810675,0.0001668310524658804,0.00011690260768586924,4.145959572456476e-05,4.351756899431752e-05,-0.00015010928691490155,-0.0001826118724461904,6.721217268339316e-05,0.32897753183611983,0.3301682505960271,0.23388659052711427,0.2485954892245139,3.393689666669885,3.2993761614464345,3.460371576876515,3.362689688029746,-4.786841678619385,8.207381510734558,-2.4993630230426787,9.824779944426167,0.0012011981161170447,0.0035381267025974363,0.002552146049798921,0.0026546334013531317,0.00019672190971900836,0.0005501680550021412,0.0005614071627695854,-0.0005604960265664179,0.0027160675769958035,-0.00044733586243481994,0.41038240616840593,0.566327477776863,0.5106718178881708,0.5380086386047739,3.384661296506425,3.4783663219043617,3.4177569507257717,3.5338324020210434
68,-3.0600142121315,-3.0052917301654816,8.367525506019593,9.40276584514365,0.0003880766464139749,0.0007813772561744824,0.0002381167648186784,0.00032338311481201466,0.00017655667410565576,-3.0911718390425864e-05,7.222948535274504e-05,-0.0002106155513722934,-0.0002430719168858106,0.00019887269332396893,0.32461146717488265,0.351876571501712,0.2865404178360583,0.29859477101837206,3.4577269126584596,3.3312534827278184,3.4772794519205537,3.3535984105125882,-4.7550172209739685,8.225746488571167,-2.4440290093421937,9.810717640953841,0.0009628397798269045,0.0030111970822545783,0.0028565749854857223,0.002924185163634573,-0.000478544714039158,-5.465174525212712e-06,-4.4807354213222264e-05,-0.0008665757118145309,0.0027653466374836263,-0.0007498311231824003,0.3932258678478845,0.5277319316026919,0.5238492023752505,0.5149469019437046,3.358820990951894,3.4272615854659163,3.4302104793459054,3.378127316320419
69,-3.057305747270584,-2.9959094703197477,8.367719984054565,9.39906151647046,0.00021566685241112543,0.0008058314317371704,0.00031399258000069707,0.0002814680902091932,8.739496654853274e-05,3.6840480346454134e-05,0.00012269892962071878,-6.560874010096857e-05,-0.0001767596078172324,0.00022847166368787926,0.2860186530279656,0.3704186539372314,0.2989854712654219,0.3042794431121679,3.5165966585090285,3.367099881514849,3.4110124683970637,3.51212062354651,-4.752504718303681,8.241838264465333,-2.3864816606044768,9.808838680086335,0.0009365157036775613,0.0031178976216231086,0.0022575164106721102,0.002391457476816236,-0.0003654966560437405,-0.0005264759282734766,0.0008291214319773993,-0.0006299055901634095,0.0025975866354233297,0.0004007011245685364,0.3951399304553397,0.5371991837044255,0.4905493505051616,0.48476809057257275,3.397490494848796,3.4332848502337394,3.399620217975285,3.3477216833403483
70,-3.0608671426773073,-2.986676847934723,8.373196673393249,9.402164128574144,0.0003055753012993052,0.0007428066667640805,0.0002910237666624014,0.00018913885085349616,0.00019023621333877732,0.00015839026770068305,0.00017186788270959612,-1.9063408404867766e-05,-0.00014562015217405665,0.00015306174869835162,0.2833767199784446,0.3693591101534986,0.2908138234503995,0.27373268824705904,3.315680808224601,3.37261729343359,3.3994308600326946,3.484854897582211,-4.7478386759758,8.287780404090881,-2.328395903110504,9.831330205678144,0.0012588104147080415,0.0028688929593272583,0.0023984031990212907,0.002064555872212406,3.0659163822001604e-05,0.0007175217584956305,0.001360604025580579,-0.0007510941894573824,0.002083531646828232,0.00023437427323095574,0.4056902058358373,0.5044810300218096,0.4869989220031376,0.46486381984257513,3.302019295002264,3.3147354008344854,3.3540319080952807,3.3195941668254845
71,-3.043359565734863,-3.0022092044353483,8.372957348823547,9.40129421364865,0.0014435415660284748,0.0010258819004361124,0.0007540063241129398,0.0005356627966202778,4.1947659535532494e-05,0.0005751242599671847,-2.6623849141102255e-06,3.410260542345184e-05,-0.00034495306881675406,0.0004883895632140801,0.43870071720146564,0.3955587332527976,0.3597223016046422,0.34829025925966584,3.4161126668778916,3.3349834469861177,3.3551364115406845,3.4236831142841413,-4.734678161144257,8.330193161964417,-2.1958335280418395,9.831947519474632,0.0016848526223056455,0.005946511943557747,0.033270255337479106,0.003761376236109252,0.0004564550723627632,0.003262577351512735,0.007594308127454188,-0.0010939045492305444,0.003290348989697203,-0.0020025641087073344,0.45272608021762073,0.6411267419836739,0.8901406658157935,0.5666493604792083,3.395049560569093,3.458989302477178,3.210946824266975,3.4172920610852535
72,-2.9962386965751646,-2.992797005176544,8.393188428878783,9.401259385405783,0.0019976700084759474,0.0012651677832686834,0.001307584112087961,0.0006875624500824606,0.0008476614139230881,0.001149750191883362,0.00035588641026209543,0.00011886728146300579,-0.00035403405954890886,0.0006869809349342238,0.4779324369379587,0.4121200220370451,0.42280077623192674,0.3611457827979148,3.414250327996354,3.344796414674336,3.365665430074392,3.352501253836909,-4.6968716263771055,8.421000766754151,-1.8763916909694671,9.827174416257051,0.0027881563224604207,0.01174274769951015,0.06977829952752905,0.003638186875117013,0.0035971264557247305,0.011742121572911877,0.022615651594020562,-0.0005974972770926576,0.0038586603713550607,-0.00012255694012033768,0.4679111731053169,0.7159936386551149,0.9801467570196629,0.5615293608565989,3.2319824492961,3.327951411497838,3.0514089166390446,3.4358127700572867
73,-2.9656078934669496,-2.9693039119243623,8.413179922103883,9.401868289013029,0.0005480972618220042,0.001123086954384525,0.0007833181997925823,0.00046986334510315146,0.0004398135914675715,0.0002492308626939898,0.00047736634022145844,-8.888531447592414e-05,-6.601027716280718e-05,0.000471028012110959,0.3526758469691075,0.37765215008199376,0.38117184116502656,0.3343092962937643,3.475975160574174,3.222860738550112,3.4330574488085714,3.4168931583622877,-4.663372099399567,8.49338357448578,-1.6292130917310714,9.825559060999847,0.0007915398993364538,0.0015488409705650978,0.00208857861628621,0.00168877269116948,-0.0005824107915956133,-0.0006790679748348424,0.0002547766108032671,-0.0007655501043000062,0.001572178262227042,0.00019584879124786536,0.37825905510477065,0.45350556676607295,0.4789627649213335,0.4604403234033777,3.4328902280221127,3.414875395426188,3.3972511808766797,3.4245720047549217
74,-2.9677327513694762,-2.9671491384506226,8.410246920585632,9.399203730193538,0.00030511519931978887,0.0008880785643295608,0.0005391352740744892,0.0003315053406867371,0.0003150341708912158,0.0001651340477136563,0.0003337206735027467,-4.820532866275092e-05,-8.119353865665249e-05,0.00032484438030410426,0.2993474352548088,0.3678874727257699,0.33294562518369714,0.31768479523973986,3.4065828867896575,3.3029931288437515,3.3778760033930513,3.511435487351595,-4.697828686237335,8.486145210266113,-1.5990635275840759,9.830769050693482,0.0015251210400549532,0.0010529251304549996,0.0013207015308790437,0.001066883223173024,-0.00015590919567142744,-0.00033271606173792157,0.0006250491203410643,-0.0008077966302903191,0.0008806825832789043,0.00048090970148518153,0.41804816108637294,0.41600418011593576,0.4485112579213697,0.4119725041149214,3.2603243815461247,3.467685583747228,3.5060166371488215,3.4246234767037786
