timestamp,pressure
1481189682233,1001.2
1481189682623,1001.2
1481189682827,1001.22
1481189683224,1001.21
1481189683425,1001.23
1481189683819,1001.23
1481189684021,1001.25
1481189684226,1001.26
1481189684618,1001.27
1481189684822,1001.26
1481189685023,1001.26
1481189685417,1001.26
1481189685641,1001.27
1481189686036,1001.29
1481189686417,1001.34
1481189686617,1001.38
1481189687013,1001.44
1481189687220,1001.45
1481189687612,1001.44
1481189687816,1001.4
1481189688214,1001.3
1481189688416,1001.23
1481189688808,1001.2
1481189689029,1001.18
1481189689407,1001.19
1481189689611,1001.2
1481189690012,1001.21
1481189690212,1001.22
1481189690607,1001.22
1481189691007,1001.26
1481189691211,1001.27
1481189691606,1001.29
1481189691809,1001.3
1481189692207,1001.3
1481189692607,1001.29
1481189693001,1001.28
1481189693204,1001.26
1481189693407,1001.24
1481189693805,1001.23
1481189694210,1001.22
1481189694597,1001.23
1481189694808,1001.24
1481189695201,1001.28
1481189695402,1001.28
1481189695795,1001.3
1481189695997,1001.32
1481189696398,1001.35
1481189696797,1001.36
1481189697195,1001.36
1481189697427,1001.36
1481189697794,1001.35
1481189697995,1001.34
1481189698392,1001.31
1481189698592,1001.3
1481189698792,1001.29
1481189698997,1001.27
1481189699394,1001.27
1481189699793,1001.26
1481189700187,1001.27
1481189700603,1001.3
1481189700990,1001.28
1481189701190,1001.29
1481189701584,1001.27
1481189701787,1001.26
1481189701990,1001.26
1481189702386,1001.26
1481189702786,1001.26
1481189703180,1001.26
1481189703383,1001.26
1481189703589,1001.25
1481189703978,1001.27
1481189704183,1001.28
1481189704577,1001.31
1481189704780,1001.31
1481189704986,1001.31
1481189705377,1001.31
1481189705580,1001.31
1481189705983,1001.32
1481189706183,1001.31
1481189706578,1001.33
1481189706780,1001.3
1481189707176,1001.3
1481189707378,1001.29
1481189707771,1001.28
1481189707974,1001.29
1481189708175,1001.27
1481189708375,1001.25
1481189708774,1001.24
1481189708974,1001.24
1481189709375,1001.28
1481189709773,1001.29
1481189710168,1001.31
1481189710372,1001.3
1481189710765,1001.28
1481189710968,1001.28
1481189711368,1001.28
1481189711570,1001.27
1481189711967,1001.26
1481189712168,1001.27
1481189712561,1001.25
1481189712764,1001.26
1481189713161,1001.25
1481189713366,1001.24
1481189713566,1001.24
1481189713965,1001.24
1481189714370,1001.23
1481189714762,1001.25
1481189714964,1001.27
1481189715358,1001.28
1481189715559,1001.29
1481189715763,1001.28
1481189716155,1001.27
1481189716361,1001.27
1481189716753,1001.27
1481189716955,1001.27
1481189717383,1001.3
1481189717779,1001.31
1481189718153,1001.32
1481189718355,1001.32
1481189718748,1001.3
1481189718949,1001.29
1481189719152,1001.28
1481189719355,1001.26
1481189719751,1001.28
1481189719953,1001.27
1481189720154,1001.28
1481189720548,1001.28
1481189720749,1001.27
1481189720998,1001.27
1481189721344,1001.27
1481189721549,1001.27
1481189721943,1001.27
1481189722146,1001.27
1481189722395,1001.27
1481189722745,1001.28
1481189722947,1001.31
1481189723342,1001.32
1481189723543,1001.33
1481189723944,1001.34
1481189724344,1001.34
1481189724738,1001.34
1481189724944,1001.33
1481189725341,1001.3
1481189725541,1001.27
1481189725935,1001.26
1481189726138,1001.23
1481189726536,1001.23
1481189726741,1001.22
1481189727139,1001.21
