timestamp,uv
1481092428229,0.16
1481092428547,0
1481092428827,0.05
1481092429126,0.11
1481092429428,0.11
1481092429725,0.11
1481092429944,0.05
1481092430223,0.11
1481092430423,0.11
1481092430623,0.11
1481092430825,0.11
1481092431123,0.11
1481092431333,0.05
1481092431620,0.05
1481092431923,0.05
1481092432223,0.05
1481092432519,0.05
1481092432741,0.11
1481092433018,0.05
1481092433319,0.05
1481092433620,0.05
1481092433914,0
1481092434140,0
1481092434415,0
1481092434616,0.05
1481092434915,0.05
1481092435115,0.11
1481092435420,0.11
1481092435713,0.11
1481092435932,0.11
1481092436213,0.11
1481092436512,0.16
1481092436814,0.16
1481092437015,0.11
1481092437310,0.05
1481092437533,0.11
1481092437808,0.16
1481092438008,0.11
1481092438309,0.05
1481092438608,0.11
1481092438926,0.11
1481092439205,0.11
1481092439505,0.05
1481092439706,0
1481092440007,0
1481092440305,0
1481092440516,0
1481092440803,0
1481092441103,0
1481092441405,0
1481092441701,0.05
1481092441921,0.05
1481092442202,0.11
1481092442500,0.05
1481092442800,0.05
1481092443098,0.05
1481092443318,0.11
1481092443598,0.05
1481092443897,0.05
1481092444097,0.05
1481092444397,0.05
1481092444717,0.05
1481092444993,0.05
1481092445294,0.05
1481092445495,0.11
1481092445696,0.11
1481092445991,0.11
1481092446192,0.11
1481092446494,0.16
1481092446790,0.11
1481092446991,0.11
1481092447196,0.11
1481092447490,0.11
1481092447790,0.11
1481092448109,0.11
1481092448388,0.11
1481092448687,0.11
1481092448888,0.16
1481092449187,0.16
1481092449485,0.16
1481092449687,0.11
1481092449892,0.16
1481092450184,0.16
1481092450385,0.11
1481092450586,0.11
1481092450883,0.16
1481092451187,0.11
1481092451482,0.11
1481092451703,0.11
1481092451982,0.11
1481092452284,0.11
1481092452581,0.11
1481092452878,0.11
1481092453099,0.11
1481092453378,0.11
1481092453678,0.11
1481092453980,0.11
1481092454276,0.11
1481092454497,0.05
1481092454775,0.11
1481092455078,0.11
1481092455377,0.05
1481092455672,0.05
1481092455886,0.05
1481092456172,0.05
1481092456373,0.05
1481092456672,0.11
1481092456973,0.05
1481092457283,0.05
1481092457487,0.05
1481092457769,0.05
1481092457969,0.05
1481092458270,0.11
1481092458570,0.16
1481092458867,0.16
1481092459167,0.16
1481092459367,0.16
1481092459568,0.16
1481092459863,0.22
1481092460067,0.22
1481092460366,0.22
1481092460566,0.22
1481092460883,0.22
1481092461163,0.22
1481092461462,0.16
1481092461662,0.16
1481092461963,0.22
1481092462282,0.22
1481092462560,0.22
1481092462761,0.22
1481092463059,0.16
1481092463360,0.22
1481092463560,0.16
1481092463858,0.22
1481092464060,0.16
1481092464357,0.16
1481092464657,0.22
1481092464956,0.22
1481092465275,0.16
1481092465554,0.22
1481092465755,0.22
1481092466054,0.22
1481092466355,0.16
1481092466652,0.16
1481092466953,0.16
1481092467153,0.16
1481092467452,0.16
1481092467749,0.16
1481092468050,0.11
1481092468252,0.16
1481092468550,0.11
1481092468845,0.11
1481092469048,0.11
1481092469269,0.11
1481092469546,0.11
1481092469847,0.16
1481092470146,0.16
1481092470348,0.11
1481092470647,0.16
1481092470864,0.16
1481092471145,0.16
1481092471443,0.16
1481092471746,0.22
1481092472040,0.11
1481092472263,0.16
1481092472540,0.11
1481092472741,0.11
1481092473040,0.16
1481092473338,0.16
1481092473660,0.11
1481092473937,0.11
1481092474238,0.11
1481092474539,0.11
1481092474835,0.16
1481092475052,0.11
1481092475334,0.11
1481092475636,0.11
1481092475938,0.11
1481092476232,0.22
1481092476455,0.27
1481092476732,0.22
1481092476932,0.22
1481092477231,0.16
1481092477530,0.11
1481092477730,0.11
1481092477931,0.16
1481092478228,0.11
1481092478429,0.11
1481092478732,0.11
1481092479026,0
1481092479248,0.11
1481092479526,0.05
1481092479826,0.05
1481092480027,0.11
1481092480228,0.05
1481092480525,0.11
1481092480725,0.05
1481092481025,0.05
1481092481322,0.11
1481092481523,0.05
1481092481724,0.05
1481092482021,0.11
1481092482221,0.05
1481092482520,0.05
1481092482822,0.05
1481092483118,0.05
1481092483318,0.11
1481092483522,0.11
1481092483816,0.11
1481092484037,0.11
1481092484317,0.11
1481092484616,0.11
1481092484919,0.05
1481092485215,0.11
1481092485437,0.11
1481092485715,0.11
1481092486014,0.11
1481092486215,0.11
1481092486416,0.11
1481092486713,0.11
1481092487033,0.11
1481092487310,0.11
1481092487613,0.11
1481092487913,0.11
1481092488209,0.11
1481092488431,0.11
1481092488708,0.11
1481092488909,0.11
1481092489208,0.11
1481092489408,0.11
1481092489608,0.11
1481092489908,0.11
1481092490219,0.11
1481092490505,0.11
1481092490705,0.11
1481092491005,0.11
1481092491305,0.11
1481092491602,0.11
1481092491903,0.11
1481092492104,0.11
1481092492402,0.11
1481092492700,0.11
1481092493000,0.11
1481092493299,0.16
1481092493501,0.11
1481092493799,0.11
1481092494000,0.11
1481092494298,0.11
1481092494498,0.11
1481092494703,0.11
1481092494995,0.11
1481092495216,0.11
1481092495494,0.11
1481092495695,0.11
1481092495995,0.11
1481092496196,0.11
1481092496494,0.11
1481092496695,0.11
1481092496993,0.11
1481092497291,0.05
1481092497591,0.11
1481092497890,0.16
1481092498091,0.22
1481092498389,0.22
1481092498689,0.22
1481092498988,0.16
1481092499288,0.05
1481092499608,0.05
1481092499886,0.05
1481092500186,0.11
1481092500386,0.05
1481092500588,0.16
1481092500885,0.11
1481092501085,0.11
1481092501385,0.11
1481092501682,0.11
1481092501983,0.11
1481092502284,0.11
1481092502581,0.16
1481092502805,0.16
1481092503079,0.11
1481092503380,0.11
1481092503580,0.11
1481092503880,0.11
1481092504200,0.05
1481092504477,0.05
1481092504777,0.05
1481092505078,0.05
1481092505375,0.05
1481092505596,0.11
1481092505874,0.11
1481092506175,0.05
1481092506476,0.11
1481092506676,0.11
1481092506993,0.11
1481092507272,0.11
1481092507572,0.11
1481092507873,0.11
1481092508170,0.11
1481092508392,0.05
1481092508668,0.11
1481092508868,0.05
1481092509169,0.11
1481092509369,0.05
1481092509670,0.11
1481092509968,0.05
1481092510265,0.11
1481092510566,0.11
1481092510864,0.11
1481092511067,0.11
1481092511365,0.11
1481092511663,0.16
1481092511964,0.05
1481092512266,0.11
1481092512560,0.11
1481092512784,0.11
1481092513060,0.11
1481092513359,0.11
1481092513560,0.11
1481092513862,0.11
1481092514158,0.05
1481092514381,0.05
1481092514656,0.05
1481092514958,0.05
1481092515257,0.11
1481092515461,0.11
1481092515755,0.11
1481092515973,0.11
1481092516256,0.11
1481092516555,0.11
1481092516854,0.11
1481092517152,0.11
1481092517374,0.11
1481092517651,0.11
1481092517953,0.11
1481092518254,0.11
1481092518549,0.16
1481092518772,0.16
1481092519048,0.16
1481092519249,0.16
1481092519548,0.16
1481092519748,0.22
1481092520048,0.22
1481092520346,0.22
1481092520644,0.22
1481092520844,0.22
1481092521047,0.22
1481092521344,0.22
1481092521565,0.16
1481092521843,0.16
1481092522144,0.22
1481092522344,0.22
1481092522544,0.22
1481092522839,0.22
1481092523039,0.22
1481092523240,0.38
1481092523540,0.27
1481092523741,0.22
1481092524038,0.27
1481092524360,0.33
1481092524637,0.44
1481092524838,0.5
1481092525136,0.33
1481092525337,0.33
1481092525636,0.55
1481092525955,0.61
1481092526234,0.33
1481092526435,0.5
1481092526734,0.38
1481092527035,0.38
1481092527235,0.33
1481092527554,0.33
1481092527831,0.33
1481092528131,0.38
1481092528338,0.33
1481092528634,0.27
1481092528929,0.22
1481092529152,0.22
1481092529428,0.16
1481092529728,0.11
1481092530029,0.16
1481092530326,0.16
1481092530547,0.11
1481092530825,0.16
1481092531126,0.16
1481092531430,0.16
1481092531723,0.22
1481092531943,0.22
1481092532223,0.22
1481092532523,0.22
1481092532824,0.27
1481092533120,0.22
1481092533336,0.22
1481092533621,0.22
1481092533920,0.16
1481092534222,0.16
1481092534518,0.22
1481092534741,0.22
1481092535017,0.16
1481092535318,0.16
1481092535618,0.16
1481092535915,0.22
1481092536137,0.22
1481092536414,0.22
1481092536716,0.22
1481092537016,0.27
1481092537315,0.27
1481092537534,0.38
1481092537811,0.27
1481092538113,0.33
1481092538413,0.27
1481092538710,0.27
1481092538929,0.22
1481092539209,0.22
1481092539508,0.22
1481092539708,0.22
1481092540008,0.22
1481092540209,0.27
1481092540507,0.27
1481092540806,0.27
1481092541106,0.27
1481092541406,0.27
1481092541725,0.22
1481092542003,0.22
1481092542305,0.16
1481092542604,0.22
1481092542902,0.16
1481092543123,0.16
1481092543400,0.16
1481092543701,0.22
1481092544003,0.38
1481092544298,0.38
1481092544520,0.38
1481092544797,0.5
1481092544998,0.5
1481092545298,0.61
1481092545599,0.83
1481092545895,0.61
1481092546197,0.27
1481092546516,0.72
1481092546795,0.33
1481092547094,0.27
1481092547396,0.27
1481092547691,0.33
1481092547912,0.27
1481092548191,0.66
1481092548491,0.33
1481092548791,0.44
1481092549088,0.77
1481092549311,0.77
