timestamp,light
1482905907553,38
1482905907953,20
1482905908353,18
1482905908748,17
1482905908950,25
1482905909347,28
1482905909551,30
1482905909751,30
1482905910146,28
1482905910346,28
1482905910759,33
1482905911145,34
1482905911347,43
1482905911743,20
1482905911946,35
1482905912346,43
1482905912741,39
1482905912942,26
1482905913344,17
1482905913742,18
1482905914143,32
1482905914541,31
1482905914938,36
1482905915338,33
1482905915738,40
1482905916137,44
1482905916534,47
1482905916735,47
1482905917134,40
1482905917534,42
1482905917735,42
1482905918130,41
1482905918332,46
1482905918752,52
1482905919128,51
1482905919534,56
1482905919931,43
1482905920329,48
1482905920726,38
1482905920926,41
1482905921324,48
1482905921527,48
1482905921925,42
1482905922320,46
1482905922522,38
1482905922726,39
1482905923119,34
1482905923322,34
1482905923718,25
1482905923922,20
1482905924122,30
1482905924519,28
1482905924947,26
1482905925320,29
1482905925720,30
1482905926113,33
1482905926315,36
1482905926519,32
1482905926916,35
1482905927311,42
1482905927517,34
1482905927930,39
1482905928311,28
1482905928512,38
1482905928909,50
1482905929109,47
1482905929511,35
1482905929711,30
1482905930110,25
1482905930505,23
1482905930708,25
1482905931104,34
1482905931512,36
1482905931922,41
1482905932305,43
1482905932705,28
1482905933100,23
1482905933302,23
1482905933529,23
1482905933899,23
1482905934099,25
1482905934300,21
1482905934503,18
1482905934897,37
1482905935102,38
1482905935498,42
1482905935699,36
1482905936093,32
1482905936295,33
1482905936498,38
1482905936895,34
1482905937095,33
1482905937492,35
1482905937693,36
1482905937895,34
1482905938096,33
1482905938493,30
1482905938893,23
1482905939289,16
1482905939494,30
1482905939887,43
1482905940090,43
1482905940290,52
1482905940688,54
1482905940890,54
1482905941286,47
1482905941486,47
1482905941883,24
1482905942087,19
1482905942486,25
1482905942879,30
1482905943089,30
1482905943482,33
1482905943684,33
1482905944082,41
1482905944481,50
1482905944876,46
1482905945079,50
1482905945280,46
1482905945681,31
1482905946077,30
1482905946278,28
1482905946677,33
1482905946896,41
1482905947272,21
1482905947473,30
1482905947876,19
1482905948273,21
1482905948671,25
1482905948872,28
1482905949074,26
1482905949469,25
1482905949868,27
1482905950087,27
1482905950296,25
1482905950666,22
1482905951066,20
1482905951465,31
1482905951867,32
1482905952263,37
1482905952464,21
1482905952864,20
1482905953066,25
1482905953459,25
1482905953661,27
1482905953861,27
1482905954260,25
1482905954464,24
1482905954860,25
1482905955258,21
1482905955490,23
1482905955858,15
1482905956060,22
1482905956451,21
1482905956654,21
1482905957057,27
1482905957453,30
1482905957852,18
1482905958054,24
1482905958448,23
1482905958653,28
1482905959052,23
1482905959450,30
1482905959853,44
1482905960250,42
1482905960648,29
1482905961050,22
1482905961250,17
1482905961647,15
1482905962044,23
1482905962247,21
1482905962645,21
1482905963043,18
1482905963443,19
1482905963645,22
1482905964042,35
1482905964442,43
1482905964837,35
1482905965043,36
1482905965439,37
1482905965837,35
1482905966238,28
1482905966637,38
1482905967035,46
1482905967436,46
1482905967639,47
1482905968034,47
1482905968235,23
1482905968631,28
1482905968831,30
1482905969036,36
1482905969432,35
1482905969829,36
1482905970231,35
1482905970626,32
1482905970847,33
1482905971223,30
1482905971444,24
1482905971825,19
1482905972026,18
1482905972424,16
1482905972823,21
1482905973025,23
1482905973424,27
1482905973818,25
1482905974021,27
1482905974222,20
1482905974424,18
1482905974821,15
1482905975215,27
1482905975418,12
1482905975816,13
1482905976019,14
1482905976219,14
1482905976636,12
1482905977015,12
1482905977416,13
1482905977812,13
1482905978014,14
1482905978410,15
1482905978621,16
1482905979015,15
1482905979411,13
1482905979831,14
1482905980223,12
1482905980607,11
1482905980807,12
1482905981007,12
1482905981207,12
1482905981612,12
1482905982004,13
1482905982406,12
1482905982803,17
1482905983007,15
1482905983401,15
1482905983603,15
1482905984002,13
1482905984203,15
1482905984597,13
1482905984802,12
1482905985196,15
1482905985398,13
1482905985600,15
1482905985998,13
1482905986392,13
1482905986597,16
1482905986995,17
1482905987197,18
1482905987593,17
1482905987993,15
1482905988395,15
1482905988789,14
1482905988994,17
1482905989388,15
1482905989590,20
1482905989793,18
1482905990011,18
1482905990387,21
1482905990588,14
1482905990987,15
1482905991402,12
1482905991803,12
1482905992185,12
1482905992584,11
1482905992982,12
1482905993184,12
1482905993582,12
1482905993801,12
1482905994196,11
1482905994403,12
1482905994780,12
1482905995183,12
1482905995575,12
1482905995778,12
1482905995981,13
1482905996378,12
1482905996773,12
1482905996976,12
1482905997378,12
1482905997776,12
1482905997977,12
1482905998371,12
1482905998574,12
1482905998776,12
1482905999170,12
1482905999373,12
1482905999770,13
1482905999971,21
1482906000367,17
1482906000572,16
1482906000969,19
1482906001366,18
1482906001769,25
1482906001970,30
1482906002364,35
1482906002565,25
1482906002966,25
1482906003167,21
1482906003564,19
1482906003765,11
1482906004163,12
1482906004364,11
1482906004564,12
1482906004962,12
1482906005357,11
1482906005561,11
1482906005957,11
1482906006157,12
1482906006558,12
1482906006770,12
1482906007153,12
1482906007356,11
1482906007755,13
1482906008153,11
1482906008356,12
1482906008752,25
1482906008953,30
1482906009350,47
1482906009551,51
1482906009753,58
1482906009954,61
1482906010349,60
1482906010551,59
1482906010947,37
1482906011148,24
1482906011351,18
1482906011747,18
1482906012146,15
1482906012545,13
1482906012750,12
1482906013143,11
1482906013344,11
1482906013742,11
1482906013944,11
1482906014343,10
1482906014545,11
1482906014748,12
1482906015138,12
1482906015341,12
1482906015737,18
1482906015938,15
1482906016138,14
1482906016538,15
1482906016933,12
1482906017136,12
1482906017534,12
1482906017744,12
1482906018154,13
1482906018532,11
1482906018932,12
1482906019136,12
1482906019532,12
1482906019931,12
1482906020132,15
1482906020333,15
1482906020747,16
1482906021124,18
1482906021326,18
1482906021527,15
1482906021729,15
1482906022127,17
1482906022522,18
1482906022724,13
1482906022926,21
1482906023128,20
1482906023523,20
1482906023922,15
1482906024145,12
1482906024522,14
1482906024724,19
1482906025119,24
1482906025320,28
1482906025523,28
1482906025920,27
1482906026139,21
1482906026515,20
1482906026717,28
1482906026919,28
1482906027316,29
1482906027518,28
1482906027916,25
1482906028315,23
1482906028714,24
1482906029111,19
1482906029313,37
1482906029520,43
1482906029911,26
1482906030113,13
1482906030508,18
1482906030715,18
1482906031111,15
1482906031511,16
1482906031906,21
1482906032107,29
1482906032308,28
1482906032706,17
1482906033105,18
1482906033504,18
1482906033704,15
1482906034105,14
1482906034501,16
1482906034703,15
1482906034903,14
1482906035299,14
1482906035499,18
1482906035901,32
1482906036299,43
1482906036694,40
1482906036898,40
1482906037100,47
