,timestamp,gx,gy,gz
0,5000.0,12.635279655456545,-3.1130399703979488,-7.935199737548827
1,5100.0,12.635279655456545,-3.1130399703979488,-7.935199737548827
1102,115200.0,-11.963839530944824,-19.89904022216797,-19.349679946899414
1103,115300.0,-11.963839530944824,-19.89904022216797,-19.349679946899414
1104,115400.0,-11.963839530944824,-19.89904022216797,-19.349679946899414
1105,115500.0,-47.24496078491211,-25.02639961242676,-34.487598419189446
2596,264600.0,-15.68727970123291,-8.179359436035156,-96.74839782714844
