timestamp,mx,my,mz
1482156404023,-84.23400115966797,-32.03499984741211,-212.49000549316406
1482156404023,-82.71099853515625,-33.18299865722656,-211.27999877929688
1482156404035,-82.05500030517578,-33.60499954223633,-210.53399658203125
1482156404056,-82.05500030517578,-33.60499954223633,-210.00900268554688
1482156404076,-82.05500030517578,-33.60499954223633,-210.00900268554688
1482156404096,-80.74299621582031,-34.20800018310547,-208.8159942626953
1482156404116,-80.74299621582031,-33.52000045776367,-208.8159942626953
1482156404136,-81.28800201416016,-34.132999420166016,-209.98899841308594
1482156404156,-81.28800201416016,-33.82099914550781,-208.02000427246094
1482156404179,-81.85199737548828,-33.82099914550781,-209.26800537109375
1482156404196,-80.4000015258789,-33.82099914550781,-207.86199951171875
1482156404216,-81.32099914550781,-33.50299835205078,-209.3939971923828
1482156404236,-80.8479995727539,-34.00199890136719,-207.48699951171875
1482156404256,-80.8479995727539,-33.62699890136719,-208.35800170898438
1482156404281,-81.48400115966797,-34.0369987487793,-208.65899658203125
1482156404299,-81.02100372314453,-34.0369987487793,-207.60000610351563
1482156404316,-81.02100372314453,-33.6879997253418,-208.69700622558594
1482156404336,-81.02100372314453,-34.143001556396484,-207.99200439453125
1482156404361,-81.02100372314453,-33.82699966430664,-207.99200439453125
1482156404376,-80.68800354003906,-34.16699981689453,-208.36000061035156
1482156404396,-80.68800354003906,-34.16699981689453,-208.36000061035156
1482156404416,-80.68800354003906,-34.16699981689453,-208.36000061035156
1482156404436,-80.68800354003906,-34.16699981689453,-208.36000061035156
1482156404456,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404477,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404496,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404516,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404540,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404561,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404577,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404597,-80.68800354003906,-34.16699981689453,-208.052001953125
1482156404617,-80.68800354003906,-34.16699981689453,-208.3990020751953
1482156404638,-80.68800354003906,-34.16699981689453,-208.3990020751953
1482156404657,-80.68800354003906,-34.16699981689453,-208.86900329589844
1482156404686,-80.3489990234375,-34.16699981689453,-209.88699340820313
1482156404698,-80.3489990234375,-34.16699981689453,-209.88699340820313
1482156404734,-80.3489990234375,-33.854000091552734,-210.31700134277344
1482156404736,-79.98500061035156,-33.854000091552734,-210.79200744628906
1482156404758,-79.98500061035156,-33.854000091552734,-211.37600708007813
1482156404820,-79.98500061035156,-33.854000091552734,-211.37600708007813
1482156404820,-79.55599975585938,-33.854000091552734,-211.37600708007813
1482156404821,-79.55599975585938,-33.854000091552734,-211.37600708007813
1482156404837,-79.55599975585938,-33.854000091552734,-211.37600708007813
1482156404856,-79.13899993896484,-33.854000091552734,-211.37600708007813
1482156404876,-79.13899993896484,-33.854000091552734,-211.68499755859375
1482156404901,-79.13899993896484,-33.854000091552734,-211.68499755859375
1482156404917,-78.76499938964844,-33.854000091552734,-211.68499755859375
1482156404937,-78.76499938964844,-33.854000091552734,-211.68499755859375
1482156404959,-78.76499938964844,-33.854000091552734,-211.99000549316406
1482156404978,-78.76499938964844,-33.854000091552734,-211.99000549316406
1482156404998,-78.40499877929688,-33.854000091552734,-212.343994140625
1482156405019,-78.40499877929688,-33.854000091552734,-212.343994140625
1482156405038,-78.40499877929688,-34.222999572753906,-212.6540069580078
1482156405059,-78.40499877929688,-34.222999572753906,-212.6540069580078
1482156405085,-78.40499877929688,-34.222999572753906,-212.6540069580078
