,Unnamed: 0,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_yz,sp_cov_a_xz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude,activity
1824,129.0,0.6126762151718139,-9.63941512107849,-0.2651877664029598,9.66253446206974,8.573396169469415e-05,6.510466849153381e-05,0.0004949483663262692,6.509423683259964e-05,4.005383749891292e-05,6.266951807070979e-05,8.951513146427184e-05,-3.623422667982896e-05,-6.485473848141041e-05,-9.867419929935329e-05,0.19448865666429266,0.17510096949618456,0.27340525546397165,0.17348310184353194,2.833264559817408,2.73849680218377,2.6548277822612456,2.720805214826443,9.319087028503418,1.6345371186733246,-2.168854415416717,9.706862564379476,0.0007716933424059357,0.001855035361046884,0.0007168435588056318,0.0010733287491064805,0.0006421134019211921,-0.00014440711730028265,-9.438153954807468e-05,0.0008800139972303762,0.0009486731314949774,-0.00031425893596328706,0.31530692971210383,0.3677610970691141,0.3125097251300339,0.32413694747774024,2.6917025916815724,2.574703054594634,2.7203933184835,2.609997430211021,standing
1825,130.0,0.6111798405647277,-9.6355544090271,-0.2687491402029991,9.658687632669144,0.00018191785775448016,7.087097189804795e-05,0.00041958209181713874,7.119378280876706e-05,4.422242755984142e-05,-0.0001241095657216779,8.60406905765751e-05,-2.9275938029094568e-05,-7.029769095095842e-05,-0.00010521454461442338,0.22949651883499425,0.18313515917196466,0.2680982217825813,0.1819460920786098,2.790024393917773,2.8001038117568022,2.64874123046946,2.7795054573098468,9.324829912185669,1.6609778106212616,-2.1617955684661867,9.715241429632874,0.0006738086318436282,0.0006444473474251401,0.0007361730672264911,0.0007325578400112513,6.331802758921519e-06,-9.733807610725114e-05,-0.00017949694140377757,0.0006692161400498069,0.00015585904627781296,-0.0002875272898573813,0.3060883205074429,0.3194984268449886,0.32756231325842194,0.3122690159993985,2.6782245524654336,2.820054709723067,2.8077736231406387,2.691232626344133,standing
1826,131.0,0.604506003856659,-9.63151412010193,-0.24414871707558636,9.65359739350376,0.0003173253141914762,2.403666272154715e-05,0.0005767611546259506,3.1506930025148385e-05,-2.4690843020525006e-05,-0.00037756898614336987,3.70863386353688e-05,5.3915251605688407e-05,-2.6379995989637854e-05,-7.52340642542732e-05,0.26090192457866085,0.14047611949820574,0.3038933726861283,0.14272491916882654,2.720233624645335,2.8399321409354314,2.7462590019046758,2.6985554863248904,9.306883907318118,1.6545171797275544,-2.1672991275787354,9.69816668458446,0.000383006830998044,0.0009736406398633883,0.0009093932296907856,0.0004382814690967842,0.0003093358928212022,0.00022375015892784112,-9.831331626688596e-05,0.0003700250773653728,0.0004838979202748608,-5.078604965033201e-06,0.26587350583138164,0.34958954481469345,0.3443937990590156,0.27611079716305714,2.6472234102056085,2.7838827790394562,2.796855045774309,2.661907008732129,standing
1827,132.0,0.5989394873380661,-9.628760957717896,-0.22505495995283128,9.650017667738712,0.00020712398707717404,5.5233481914817505e-05,0.0002472765866665574,6.209478754652708e-05,-2.147042258280824e-05,-0.00013932636062785728,6.618404035469012e-05,3.7402956015244845e-05,-5.800939731236567e-05,-8.048151742081392e-05,0.22629611310299974,0.1686452140687629,0.24314170613318944,0.1733453257232382,2.6299550431238763,2.748006148338438,2.7306662191042994,2.749999614582464,9.308319664001463,1.6628920793533326,-2.149951171875,9.69717929151235,0.0002880255902901251,0.001018239525822207,0.0021856778753173863,0.0003644319631334295,0.00029173129371068976,0.00028416746020554483,0.00014931970251148594,0.000262958729926318,0.0004198306746303178,-0.00018517119401324441,0.2617323394906962,0.3514561041962509,0.4283921451971005,0.27813779624607354,2.8181991694382296,2.7802612273275,2.7897835725843976,2.84392241757641,standing
1828,133.0,0.6035183995962143,-9.630766248703004,-0.2325368382036686,9.652482986628506,0.0001318442919828767,0.00014271485789609678,0.0003663517170102823,0.00015519484277604493,-7.514346316428913e-05,-7.325520944705985e-05,5.908497327285396e-05,8.497672916146173e-05,-0.0001484905224900082,-7.250483792130634e-05,0.21349288678623612,0.21646063298143714,0.2685149264544576,0.219982951629453,2.8039297347693672,2.7691040834437564,2.7267828690523666,2.7501191190009435,9.306165981292725,1.6654045701026916,-2.13427814245224,9.692032538583149,0.0005289189179453078,0.0008329232841308113,0.0014606174658391518,0.0006604742824007452,0.0004309204054726705,0.00016055816033712928,-2.89284397367551e-05,0.0005469263409030132,0.0005635049153044025,-0.00017269845660748144,0.2774323783676697,0.3114752144508475,0.3960878494579515,0.2918834476965678,2.601995385457997,2.6198047410720613,2.850012540784859,2.6260570112211843,standing
1829,134.0,0.6016928195953369,-9.635644388198852,-0.2357390835881233,9.657319610630953,0.0002098616390794841,0.00010012927089423832,0.00039787026473814626,0.00010562815824592644,-5.7952725391214195e-05,-0.00010685178039686609,-5.217687770639525e-05,7.335806654048571e-05,-0.00010220652507490256,3.57836740979086e-05,0.23665051813993115,0.19355755857024287,0.2869904857147253,0.1972654938771919,2.776801245601449,2.7319593149773818,2.866246013043214,2.7417317450397443,9.302815818786618,1.6528422713279725,-2.1476779341697694,9.689611012579023,0.00045538933125881394,0.0006622852098490134,0.0012695634689388149,0.0005226758861512963,0.00028597787130053983,0.0001964209639051145,-0.00010991526256957064,0.00044345528681375606,0.000412850475127862,-0.00011301341118906424,0.26439077107253,0.31703638650147503,0.349386912384599,0.2776911069370364,2.5830485586277177,2.779433505750326,2.6186973156983533,2.6257594768893413,standing
1830,135.0,0.6058826744556427,-9.636302757263184,-0.2401982843875885,9.658356672049326,0.0003369131963889958,5.756422314765829e-05,0.0004275806706981353,4.969613928898269e-05,5.657031825099163e-05,-0.00026444500052650487,-5.190024825945355e-05,-2.8468876086847608e-05,-5.239194720425993e-05,2.4508841348959374e-05,0.265628118114166,0.17516837599665774,0.27317448651382337,0.16928710888348905,2.7747494046645294,2.8307229563864222,2.7124538565420586,2.8388389589148426,9.303772926330566,1.6503297984600067,-2.152104675769806,9.69106233777248,0.00025288588585681656,0.00025439689363924127,0.001202020093955232,0.00028236527843932186,-6.773891169886298e-05,1.7961652271266696e-05,-0.00015169753744378257,0.00022760742259897567,1.2007072423630756e-05,-0.00027614566428330316,0.24300449837984925,0.2478885977311766,0.36926300826705616,0.25966486829759183,2.6709716532367174,2.767931663570348,2.813230364910052,2.8188854422146283,standing
1831,136.0,0.6156390428543089,-9.636781644821166,-0.255102188885212,9.659822135621694,0.0002450317446779219,6.945180551540051e-05,0.00029866282865175496,7.139477450650982e-05,1.1130002973775765e-05,-0.00020888209196483,3.743155999678098e-05,1.0280937419536967e-05,-6.945202839781501e-05,-5.8604353771759605e-05,0.2516931454299098,0.18488562975417924,0.25536303723780346,0.18343404930250234,2.8278061062497564,2.8342418038450528,2.7638634211391078,2.804032787684049,9.295637321472167,1.6569100439548492,-2.1524635791778564,9.684427957655641,0.0006398064054098402,0.0003106735945764085,0.0006090114871241026,0.0006949638762245416,-4.1944246231658066e-05,-0.00015887236031151829,-0.0001552085307360744,0.0006423135485531049,4.806574052193344e-05,-0.0003147662672132718,0.30683849763659493,0.2710737481428365,0.3013755091768362,0.3097896443453209,2.7443792867446333,2.8749932946551384,2.724709263340351,2.691211402022881,standing
1832,137.0,0.6033088982105255,-9.63136477470398,-0.2428319074213505,9.653341488515434,0.0004741689241977703,8.901173230841532e-05,0.00046442523952944416,0.00011654425091419639,-0.00014353509188853335,-0.00030913710999015226,0.0001327799597893865,0.00018092898042123133,-0.00010121896033408804,-0.00016379327214835826,0.27447473002252115,0.15993558707246291,0.2708739411272808,0.17027678881887934,2.648362117404212,2.330630601413162,2.644384146437954,2.287714737401914,9.299226570129397,1.6634903073310852,-2.16598299741745,9.692043805894363,0.0007986207207929884,0.0007157597418458467,0.0009755245543175279,0.000999394397100142,9.727681547365855e-05,-0.00028471746068373604,-0.00048070994250897913,0.0008476336871186737,0.0003253612531573996,-0.000575357173951433,0.3254310566674481,0.2967814882841222,0.34578472687323225,0.3428286542497613,2.7211841170777467,2.5717033034605428,2.7256061645799283,2.724551009709112,standing
1833,138.0,0.5860407203435898,-9.629299736022947,-0.19674352630972866,9.649217343693731,0.0004474099034087405,9.564139177919734e-05,0.0014860770495147956,0.0001026034786979886,-7.006078031007274e-05,-0.0002057105403350949,-8.679110900404104e-05,0.00010163645013845169,-9.773520645116634e-05,4.4829214036652145e-05,0.2903910633374659,0.19325346266071936,0.3494892336783151,0.196681578408804,2.8114585286719,2.762101932358941,2.594814030831455,2.769993192456578,9.298748064041137,1.6807186603546145,-2.17411859035492,9.696367935918524,0.0005363316581415853,0.0007078048949916915,0.0006849040582060764,0.0006356406018718827,-3.859565200206105e-06,-0.0001599588495645001,-0.0002245638563830508,0.0005503002893504866,0.00016925124524721878,-0.0003465454401467315,0.3031357612814468,0.2938371341894153,0.31448168925993336,0.31416668394703234,2.804906309480674,2.5975493889464967,2.750341938936424,2.791015277040767,standing
