,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_xz,sp_cov_a_yz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude
0,-4.364509963989258,-5.948184657096863,6.074837851524353,9.557282660180935,0.006005331010893361,0.0028492562577669502,0.0007728603664268753,0.0010495701633598988,-0.0005285751782857206,0.0017307869800884407,0.0003856459468765013,-0.001300057238621864,-0.0012849022905765167,-0.0005345881118569233,0.5615908108826301,0.4561562983731213,0.33710107092281927,0.3656569173408971,2.8486433165935336,2.8070062115331456,2.8448980577091487,2.837794228502067
1,-4.359003305435181,-5.953302216529846,6.0857614278793335,9.564873538399642,0.00646103334162561,0.0011140671628152815,0.001057951211060696,0.0006366828947469199,-0.0005468996005399354,0.0020144933564133338,9.764058399386136e-05,-0.001317048026477447,-0.0003798193794082457,-0.0003072318250122892,0.5755621069901571,0.36283187003376555,0.36347378050890256,0.3181911355607081,2.860136952979563,2.7785441014358976,2.8229105908495233,2.826167646425942
2,-4.337335848808289,-5.961382627487183,6.1013835906982425,9.569724320870538,0.001299074105082522,0.0007553357995077121,0.000557136015365686,0.0003202196506788792,-0.0007387291093855819,0.0005139535060846465,-0.0003091914507805173,0.00020038693962146876,-0.0003344486827393279,0.00031607028666612774,0.3689072778144835,0.3209375937201259,0.29682034562088694,0.27071701758688804,2.7574650458889094,2.764441544410672,2.727154901841523,2.8517199583378083
3,-4.3303028583526615,-5.97143828868866,6.0929439783096315,9.567619848569759,0.0047141452731418575,0.001048367611902331,0.0008031329358220074,0.00047600029226210213,-0.0016503129175924449,0.0013697609067536835,-0.0006360284163849234,-0.00022610690411666644,-0.0003099180680577071,0.0002887125713840571,0.5123178937855131,0.3553685261921703,0.34713394236671063,0.29903568202694486,2.7542114522178993,2.787968999390434,2.896451214933791,2.856463860449675
4,-4.3490074634552,-5.962370276451111,6.087347555160522,9.566905220817393,0.005060512309661419,0.0008499191104437679,0.0011964154885749372,0.000633145763913089,-0.0011450081851223978,0.001507242460600441,-0.0003873916406770262,-0.0006104599557914338,-0.00025627010085859926,0.00031849230634734883,0.5125458390668999,0.33603248337343605,0.34952322353300636,0.29719236512083586,2.6918567025628137,2.7618200689418546,2.6724294876109123,2.6043772846339044
5,-4.374266314506531,-5.961592173576355,6.078937959671021,9.572561583419375,0.0024912039872219786,0.0010341546699351154,0.0030395609344012614,0.0006054284823183064,-0.00012079249607473219,0.0013602356947546308,0.0008605849522478222,-0.0002037007055430302,-4.255260893079757e-05,0.0007671520502106976,0.42507994041862573,0.342789966888943,0.4377154833483058,0.3133628651527708,2.727868014707025,2.727391917607623,2.6147637450612398,2.7777970101483334
6,-4.365707039833069,-5.956713914871216,6.080913162231445,9.56700816471047,0.003397673965725704,0.0016385761256467576,0.0042563147164400945,0.0005539166301009471,-0.0008043942960847365,0.002307445874162334,0.000906013700506791,0.0004140060503228014,-8.074769428429931e-05,0.0010860881137141891,0.46637006656780305,0.36740181321831605,0.4550026009251599,0.27951859789209627,2.7216769311996805,2.6555688324133424,2.549208937380795,2.6248996861278524
7,-4.342393469810486,-5.979668354988098,6.06409387588501,9.559976368078804,0.0023859617321985906,0.0019283162045278422,0.003514444082046733,0.0003561531973742796,-0.0007113804081002699,0.001935090753127762,0.000993323495255308,0.0005892453092200045,-0.0002489918194020596,0.0007355482978578569,0.43526379414869215,0.3747922556294398,0.44531100152041986,0.2537325782853147,2.788655970936143,2.586899355221698,2.6146454113380004,2.643867507506206
8,-4.33173930644989,-5.998732233047486,6.0541579246521,9.560787417785917,0.004737564066470223,0.0008253563596099358,0.0020361392837433888,0.0001526927416076109,-0.0007141865136310519,0.0023450252221400973,0.00026612276861239946,-0.00019569493571510216,-2.4287309685329914e-05,7.535607837828176e-05,0.5278262611651291,0.32833306135417967,0.41523341993680263,0.215051877092988,2.833842702563994,2.742013920678229,2.767262453313432,2.7399368552873886
9,-4.30797688961029,-6.016509175300598,6.092973971366883,9.585947840851919,0.006436624234569091,0.004062653827122045,0.0036986465889083816,0.004706710033123153,-0.0008717589644549449,8.995092944430241e-05,-0.0010651523645127444,-0.002286537267763729,-0.0028361400038921674,0.002983396545631929,0.559542605402061,0.5117837112071417,0.504315705853533,0.5124191198625979,2.7764224315215102,2.8394430236023593,2.8785363363735423,2.759465060000503
10,-4.294389820098877,-6.011990094184876,6.112217402458191,9.58922949792657,0.00669624074916531,0.007927422682134377,0.005270049424456453,0.01114427133325963,0.003137976828740748,-0.003419926476240811,-0.0010144627710701787,-0.007151963079723256,-0.007029757942282713,0.005529631826038824,0.546026617734605,0.5607787782002492,0.5391784184429876,0.6320611627276055,2.701002333650079,2.6336370830181433,2.804431357722745,2.720080137477595
11,-4.2468948602676395,-5.99484167098999,6.090370225906372,9.543509662362933,0.012694385729385896,0.008897571403696555,0.006082391857965962,0.015332693620479365,0.004974387033955386,-0.003526025556848939,-0.002514774277350612,-0.011035953267925058,-0.009413855291540409,0.007039951811098677,0.6633955434582096,0.5891007827934871,0.5590421564650372,0.6898764138018649,2.7813722451950342,2.72260242470974,2.8026722681402783,2.7560759174469047
12,-4.285770750045776,-5.956295037269593,6.102041959762573,9.54462581864903,0.016147807895205014,0.00881880347106972,0.005334659552569304,0.009580801057499642,-0.0028912280203892277,-0.0028431103876300147,-0.0008837590587578359,-0.007260760402790304,-0.004765963280849338,0.00523940026474472,0.6974002373834426,0.5818717068257476,0.5196643417058239,0.610605966729531,2.7658101544253464,2.6953829864617154,2.714547892659161,2.7660016673885317
13,-4.368640041351318,-5.903502798080444,6.142683601379394,9.574642267903402,0.002766730937491979,0.0015638018660554395,0.0019393846637189925,0.0011629344931080906,-0.0008846090617273771,0.001251025572913184,-0.0005384151244087495,8.757930114178793e-05,-0.000905175373797314,0.0010062754741944073,0.45123079011569855,0.3645495785333537,0.41005493662947456,0.3672636021830958,2.7618428086232742,2.5796993626134053,2.7624840234889194,2.8049914862718928
14,-4.359422302246093,-5.92032208442688,6.1415164232254025,9.579980833144518,0.0018878955335822141,0.0010201373902203289,0.0006765237808508571,0.00039256302497041784,-0.00019038347424946682,0.0005922248964021848,0.00027037912737485714,-0.0003598577137122901,-0.0003722773997305069,-2.6283563514998526e-06,0.3982475489881779,0.3373324308262932,0.3072278547754813,0.28649416569222613,2.7024258512777575,2.6829223880406596,2.6980890340940578,2.8525972960228327
15,-4.333235740661621,-5.932203364372254,6.151332664489746,9.5818604382521,0.0038105397413442333,0.0007422611960003926,0.0015172424379144337,0.0006098660010734836,-0.000311207808839463,0.0007813981287414937,0.0005757856769067029,-0.0010311021731086193,5.0907422123273245e-05,0.0002676921092415076,0.4869429800652961,0.31085892921827374,0.3773793577458005,0.3064138561045867,2.7573854108151417,2.698979452367102,2.73468805552747,2.723981286518906
