,timestamp,pressure
0,5000.0,1000.65
1,5100.0,1000.65
2,5200.0,1000.65
3,5300.0,1000.65
4,5400.0,1000.65
5,5500.0,1000.65
6,5600.0,1000.56
7,5700.0,1000.56
8,5800.0,1000.76
9,5900.0,1000.76
10,6000.0,1000.76
11,6100.0,1000.76
12,6200.0,1001.1
13,6300.0,1001.1
14,6400.0,1001.1
15,6500.0,1001.12
16,6600.0,1001.12
17,6700.0,1001.12
18,6800.0,1001.03
19,6900.0,1001.03
20,7000.0,1001.03
21,7100.0,1001.03
22,7200.0,1000.8
23,7300.0,1000.8
24,7400.0,1000.82
25,7500.0,1000.82
26,7600.0,1000.82
27,7700.0,1000.89
28,7800.0,1000.89
29,7900.0,1000.89
30,8000.0,1001.04
31,8100.0,1001.04
32,8200.0,1001.04
33,8300.0,1001.04
34,8400.0,1001.0
35,8500.0,1001.0
36,8600.0,1001.0
37,8700.0,1001.0
38,8800.0,1001.0
39,8900.0,1000.89
40,9000.0,1000.89
41,9100.0,1000.89
42,9200.0,1000.91
43,9300.0,1000.91
44,9400.0,1000.88
45,9500.0,1000.88
46,9600.0,1000.88
47,9700.0,1000.88
48,9800.0,1000.83
49,9900.0,1000.83
50,10000.0,1000.83
51,10100.0,1000.75
52,10200.0,1000.75
53,10300.0,1000.75
54,10400.0,1000.48
55,10500.0,1000.48
56,10600.0,1000.48
57,10700.0,1000.48
58,10800.0,1000.55
59,10900.0,1000.55
60,11000.0,1000.55
61,11100.0,1000.55
62,11200.0,1000.55
63,11300.0,1000.89
64,11400.0,1000.89
65,11500.0,1000.92
66,11600.0,1000.92
67,11700.0,1000.92
68,11800.0,1000.99
69,11900.0,1000.99
70,12000.0,1000.99
71,12100.0,1000.99
72,12200.0,1000.87
73,12300.0,1000.87
74,12400.0,1000.7
75,12500.0,1000.7
76,12600.0,1000.7
77,12700.0,1000.64
78,12800.0,1000.64
79,12900.0,1000.64
80,13000.0,1000.8
81,13100.0,1000.8
82,13200.0,1000.8
83,13300.0,1000.8
84,13400.0,1001.03
85,13500.0,1001.03
86,13600.0,1001.11
87,13700.0,1001.11
88,13800.0,1001.11
89,13900.0,1001.1
90,14000.0,1001.1
91,14100.0,1001.1
92,14200.0,1001.11
93,14300.0,1001.11
94,14400.0,1000.99
95,14500.0,1000.99
96,14600.0,1000.99
97,14700.0,1000.99
98,14800.0,1000.7
99,14900.0,1000.7
100,15000.0,1000.7
101,15100.0,1000.66
102,15200.0,1000.66
103,15300.0,1000.66
104,15400.0,1000.6
105,15500.0,1000.6
106,15600.0,1000.6
107,15700.0,1000.6
108,15800.0,1000.66
109,15900.0,1000.66
110,16000.0,1000.66
111,16100.0,1000.66
112,16200.0,1000.66
113,16300.0,1000.81
114,16400.0,1000.81
115,16500.0,1000.81
116,16600.0,1000.9
117,16700.0,1000.9
118,16800.0,1000.9
119,16900.0,1000.9
120,17000.0,1000.81
121,17100.0,1000.81
122,17200.0,1000.81
123,17300.0,1000.81
124,17400.0,1000.7
125,17500.0,1000.7
126,17600.0,1000.7
127,17700.0,1000.67
128,17800.0,1000.67
129,17900.0,1000.67
130,18000.0,1000.77
131,18100.0,1000.77
132,18200.0,1000.77
133,18300.0,1000.77
134,18400.0,1000.96
135,18500.0,1000.96
136,18600.0,1000.9
137,18700.0,1000.9
138,18800.0,1000.9
139,18900.0,1000.9
140,19000.0,1000.9
141,19100.0,1000.9
142,19200.0,1000.9
143,19300.0,1000.9
144,19400.0,1000.82
145,19500.0,1000.82
146,19600.0,1000.82
147,19700.0,1000.82
148,19800.0,1000.75
149,19900.0,1000.75
150,20000.0,1000.86
151,20100.0,1000.86
152,20200.0,1000.86
153,20300.0,1000.86
154,20400.0,1001.07
155,20500.0,1001.07
156,20600.0,1001.07
157,20700.0,1001.07
158,20800.0,1001.12
159,20900.0,1001.12
160,21000.0,1001.12
161,21100.0,1001.12
162,21200.0,1000.95
163,21300.0,1000.95
164,21400.0,1000.95
165,21500.0,1000.95
166,21600.0,1000.82
167,21700.0,1000.82
168,21800.0,1000.82
169,21900.0,1000.82
170,22000.0,1000.96
171,22100.0,1000.96
172,22200.0,1001.17
173,22300.0,1001.17
174,22400.0,1001.38
175,22500.0,1001.38
176,22600.0,1001.38
177,22700.0,1001.38
178,22800.0,1001.51
179,22900.0,1001.51
180,23000.0,1001.51
181,23100.0,1001.51
182,23200.0,1001.0
183,23300.0,1001.0
184,23400.0,1000.87
185,23500.0,1000.87
186,23600.0,1000.67
187,23700.0,1000.67
188,23800.0,1000.67
189,23900.0,1000.67
190,24000.0,1000.4
191,24100.0,1000.4
192,24200.0,1000.4
193,24300.0,1000.4
194,24400.0,1000.73
195,24500.0,1000.73
196,24600.0,1000.73
197,24700.0,1000.73
198,24800.0,1000.97
199,24900.0,1000.97
200,25000.0,1000.97
201,25100.0,1000.97
202,25200.0,1001.01
203,25300.0,1001.01
204,25400.0,1001.0
205,25500.0,1001.0
206,25600.0,1001.0
207,25700.0,1001.0
208,25800.0,1000.67
209,25900.0,1000.67
210,26000.0,1000.58
211,26100.0,1000.58
212,26200.0,1000.58
213,26300.0,1000.58
214,26400.0,1000.72
215,26500.0,1000.72
216,26600.0,1000.72
217,26700.0,1000.72
218,26800.0,1001.05
219,26900.0,1001.05
220,27000.0,1001.05
221,27100.0,1001.05
222,27200.0,1001.07
223,27300.0,1001.07
224,27400.0,1001.02
225,27500.0,1001.02
226,27600.0,1001.02
227,27700.0,1001.02
228,27800.0,1000.8
229,27900.0,1000.8
230,28000.0,1000.67
231,28100.0,1000.67
